,Commissioning Region/Provider,Certain infectious and parasitic diseases,Neoplasms,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Endocrine, nutritional and metabolic diseases",Mental and behavioural disorders,Diseases of the nervous system,Diseases of the eye and adnexa,Diseases of the ear and mastoid process,Diseases of the circulatory system,Diseases of the respiratory system,Diseases of the digestive system,Diseases of the skin and subcutaneous tissue,Diseases of the musculoskeletal system and connective tissue,Diseases of the genitourinary system,"Pregnancy, childbirth and the puerperium",Certain conditions originating in the perinatal period,"Congenital malformations, deformations and chromosomal abnormalities","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Injury, poisoning and certain other consequences of external causes",Factors influencing health status and contact with health services,Date Period,Unnamed: 0,Codes for special purposes,Provider Code,ONS Geography Code
0, ENGLAND ," 172,683 "," 1,524,205 "," 235,309 "," 201,988 "," 164,982 "," 294,641 "," 549,545 "," 89,407 "," 926,461 "," 757,003 "," 1,589,433 "," 289,435 "," 1,077,760 "," 880,349 "," 1,349,505 "," 199,543 "," 110,997 "," 1,698,401 "," 914,260 "," 1,126,785 ",0809,,,,
1,,,,,,,,,,,,,,,,,,,,,,0809,,,,
2, Q33 East Midlands Strategic Health Authority ," 12,060 "," 135,824 "," 17,969 "," 16,033 "," 11,855 "," 27,063 "," 44,247 "," 6,646 "," 63,339 "," 54,101 "," 107,213 "," 20,383 "," 82,496 "," 63,587 "," 106,872 "," 13,421 "," 6,747 "," 129,310 "," 66,542 "," 89,982 ",0809,,,,
3, 5N6 Derbyshire County PCT , 53 , 535 , 78 , 63 , 284 , 387 , 794 , * , 655 , 402 , 594 , 394 ," 1,701 ", 620 , -   , -   , * ," 1,185 ", 760 ," 1,577 ",0809,,,,
4, 5N8 Nottinghamshire County Teaching PCT , 19 , 301 , * , 32 , 24 , 216 , -   , -   , 117 , 104 , 36 , 46 , 103 , 75 , -   , -   , * , 242 , 315 , 49 ,0809,,,,
5, 5PA Leicestershire County and Rutland PCT , 69 ," 1,017 ", 97 , 68 , 58 , 417 ," 2,021 ", 15 , 615 , 216 ," 1,920 ", 629 ," 1,124 "," 1,062 ", 254 , -   , 18 ," 1,102 ", 956 , 687 ,0809,,,,
6, 5PC Leicester City PCT , -   , * , -   , * , -   , * , -   , -   , * , 11 , * , * , 7 , * , -   , -   , -   , 297 , 9 , -   ,0809,,,,
7, 5PD Northamptonshire Teaching PCT , * , 254 , * , * , * , 281 , -   , * , 72 , 33 , 8 , * , 22 , * , -   , -   , * , 674 , 62 , 34 ,0809,,,,
8," NT213 Nuffield Health, Derby Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   ,0809,,,,
9," NT226 Nuffield Health, Leicester Hospital ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0809,,,,
10, NT322 Spire Leicester Hospital , -   , * , * , -   , -   , 23 , 185 , -   , 29 , * , 93 , 13 , 209 , 56 , -   , -   , -   , 753 , -   , 8 ,0809,,,,
11, NT502 Barlborough NHS Treatment Centre , -   , * , -   , * , -   , 166 , -   , -   , -   , -   , -   , 21 ," 3,516 ", -   , -   , * , * , 61 , 19 , 21 ,0809,,,,
12, NTA04 Nottingham NHS Treatment Centre(Nations Healthcare) , 29 ," 1,852 ", 253 , 7 , * , 471 , * , 13 , 436 , * ," 1,625 ", 461 ," 1,309 ", 413 , 495 , -   , 55 ," 2,532 ", 104 , 213 ,0809,,,,
13, NVC23 Woodland Hospital , -   , * , -   , -   , -   , -   , * , * , * , 29 , * , -   , 590 , 34 , -   , -   , * , 353 , -   , * ,0809,,,,
14, NVC26 Gainsborough NHS Treatment Centre , -   , 7 , * , -   , -   , 47 , 212 , -   , * , -   , 53 , 9 , 145 , 30 , -   , -   , * , 74 , * , 38 ,0809,,,,
15, NVC27 Boston NHS Treatment Centre , -   , 67 , * , -   , * , * , 626 , -   , 23 , -   , 260 , 21 , 14 , 60 , -   , -   , 7 , 76 , -   , 83 ,0809,,,,
16, NVC40 Nottingham Woodthorpe Hospital , -   , 6 , -   , -   , -   , -   , -   , -   , -   , -   , 160 , -   , 814 , 36 , -   , -   , -   , 81 , * , * ,0809,,,,
17, RFS Chesterfield Royal Hospital NHS Foundation Trust ," 1,046 "," 5,778 "," 1,449 ", 948 , 399 ," 1,227 "," 3,204 ", 380 ," 3,956 "," 4,219 "," 7,766 "," 1,453 "," 5,439 "," 4,929 "," 6,104 ", 704 , 253 ," 8,191 "," 4,596 "," 5,629 ",0809,,,,
18, RHA Nottinghamshire Healthcare NHS Trust , * , -   , -   , -   ," 1,180 ", 58 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , * ," 1,849 ", -   , 144 ,0809,,,,
19, RK5 Sherwood Forest Hospitals NHS Foundation Trust ," 1,061 "," 5,953 ", 896 , 839 , 393 ," 1,766 "," 3,191 ", 489 ," 5,233 "," 4,595 "," 7,927 "," 2,119 "," 6,629 "," 6,194 "," 9,144 ", * , * ," 9,506 "," 4,575 "," 7,310 ",0809,,,,
20, RNQ Kettering General Hospital NHS Foundation Trust , 847 ," 5,278 "," 1,001 "," 1,200 ", 394 ," 1,040 "," 2,594 ", 439 ," 4,323 "," 4,287 "," 9,208 "," 1,067 "," 4,913 "," 4,447 "," 6,637 ", 693 , 260 ," 9,610 "," 4,412 "," 8,430 ",0809,,,,
21, RNS Northampton General Hospital NHS Trust ," 1,120 "," 14,025 ", 761 ," 1,456 ", 267 ," 1,624 "," 4,291 ", 549 ," 4,038 "," 4,188 "," 9,442 "," 1,642 "," 6,786 "," 7,038 "," 10,015 "," 3,072 ", 579 ," 8,368 "," 5,548 "," 5,823 ",0809,,,,
22, RP1 Northamptonshire Healthcare NHS Trust , -   , -   , -   , -   , 514 , 40 , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   ," 1,034 ", -   , * ,0809,,,,
