,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table E: Finished admission episodes by primary diagnosis chapter for England, SHA and individual provider (2010-11)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The NHS Information Centre, Hospital Episode Statistics for England. Inpatient statistics, 2010-11. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please see HESonline [http://www.hesonline.nhs.uk] for more information on data quality.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, SHA/Provider ,Certain infectious and parasitic diseases (A00-B99),Neoplasms (C00-D48),Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Endocrine, nutritional and metabolic diseases (E00-E90)",Mental and behavioural disorders (F00-F99),Diseases of the nervous system (G00-G99),Diseases of the eye and adnexa (H00-H59),Diseases of the ear and mastoid process (H60-H95),Diseases of the circulatory system (I00-I99),Diseases of the respiratory system (J00-J99),Diseases of the digestive system (K00-K93),Diseases of the skin and subcutaneous tissue (L00-L99),Diseases of the musculoskeletal system and connective tissue (M00-M99),Diseases of the genitourinary system (N00-N99),"Pregnancy, childbirth and the puerperium (O00-O99)",Certain conditions originating in the perinatal period (P00-P96),"Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Injury, poisoning and certain other consequences of external causes (S00-T98)",Factors influencing health status and contact with health services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ENGLAND ," 201,751 "," 1,602,588 "," 252,591 "," 233,035 "," 178,474 "," 322,725 "," 587,599 "," 85,659 "," 944,114 "," 799,249 "," 1,730,780 "," 301,351 "," 1,163,780 "," 926,967 "," 1,354,242 "," 211,218 "," 111,050 "," 1,693,526 "," 987,927 "," 1,202,218 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q33, Q33 EAST MIDLANDS STRATEGIC HEALTH AUTHORITY ," 14,327 "," 139,129 "," 20,563 "," 18,603 "," 12,993 "," 28,498 "," 45,364 "," 7,004 "," 64,443 "," 55,957 "," 119,564 "," 22,134 "," 87,511 "," 67,006 "," 114,105 "," 12,315 "," 6,480 "," 138,156 "," 71,458 "," 105,205 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5N6, 5N6 Derbyshire County PCT , 53 , 488 , 45 , 65 , 194 , 400 , 792 , 30 , 616 , 401 , 673 , 378 ," 1,748 ", 535 , -   , -   , 10 ," 1,047 ", 815 ," 1,618 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5N8, 5N8 Nottinghamshire County Teaching PCT , 25 , 301 , 7 , 12 , 9 , 195 , * , -   , 247 , 89 , 61 , 25 , 140 , 64 , -   , -   , * , 235 , 617 , 11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5N9, 5N9 Lincolnshire Teaching PCT , 28 , 114 , 68 , 69 , 7 , 64 , * , 14 , 364 , 267 , 145 , 66 , 82 , 115 , -   , -   , -   , 638 , 146 , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PA, 5PA Leicestershire County and Rutland PCT , 48 ," 1,181 ", 159 , 53 , 72 , 384 ," 2,376 ", 10 , 871 , 217 ," 2,896 ", 652 ," 1,266 "," 1,170 ", 213 , -   , 14 ," 1,393 ", 784 , 662 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5PC, 5PC Leicester City PCT , -   , * , -   , -   , -   , -   , -   , * , * , * , * , * , * , * , -   , -   , -   , 391 , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT213," NT213 Nuffield Health, Derby Hospital ", -   , * , -   , -   , -   , * , -   , 15 , -   , 50 , 60 , * , 400 , -   , -   , -   , * , 25 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT226," NT226 Nuffield Health, Leicester Hospital ", -   , 25 , -   , * , -   , 26 , -   , -   , -   , -   , 163 , * , 721 , 95 , -   , -   , -   , 40 , * , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT322, NT322 Spire Leicester Hospital , -   , 62 , -   , * , -   , 48 , 392 , -   , 21 , -   , 171 , 94 , 468 , 129 , -   , -   , * , 16 , 14 , 77 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT407, NT407 BMI - Chatsworth Suite , -   , * , * , -   , -   , * , 8 , * , -   , 9 , 54 , * , -   , 86 , -   , -   , -   , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT427, NT427 BMI - The Park Hospital , -   , 36 , -   , -   , * , 18 , 52 , 46 , 88 , 50 , 180 , 33 , 366 , 133 , -   , -   , * , 75 , * , 52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT441, NT441 BMI - Three Shires Hospital , * , 31 , -   , * , -   , 88 , -   , -   , 38 , -   , 197 , 50 , 548 , 116 , * , -   , * , 36 , * , 14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT450, NT450 BMI The Lincoln Hospital , -   , * , -   , -   , -   , -   , 67 , -   , * , * , 82 , * , 162 , 40 , -   , -   , * , 8 , * , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT456, NT456 BMI The Castle Consulting Centre , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , * , * , 35 , 10 , -   , -   , * , * , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTA04, NTA04 Nottingham NHS Treatment Centre(Nations Healthcare) , 31 ," 3,973 ", 963 , 729 , * ," 1,055 ", * , 16 ," 1,024 ", 26 ," 5,320 "," 1,936 "," 4,017 "," 1,169 "," 1,046 ", -   , 130 ," 3,196 ", 204 ," 1,037 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTP13, NTP13 Barlborough NHS Treatment Centre , -   , * , -   , -   , -   , 132 , -   , -   , -   , -   , -   , 7 ," 2,320 ", -   , -   , -   , * , * , 64 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC23, NVC23 Woodland Hospital , * , 78 , 9 , * , * , 33 , 194 , 18 , 70 , 72 , 693 , 59 , 891 , 505 , -   , -   , 6 , 125 , 10 , 41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC26, NVC26 Gainsborough NHS Treatment Centre , -   , * , * , * , -   , -   , 269 , -   , * , -   , 59 , -   , * , -   , -   , -   , -   , 15 , -   , * ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC27, NVC27 Boston NHS Treatment Centre , * , 34 , 8 , * , 7 , 71 , 717 , -   , 121 , * , 338 , 56 , 455 , 108 , -   , -   , -   , 95 , * , 9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVC40, NVC40 Nottingham Woodthorpe Hospital , * , 56 , * , * , -   , 86 , -   , -   , * , * , 250 , 11 ," 1,652 ", 351 , * , -   , 6 , 105 , 24 , 39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
