"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2015-16)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2015-16.",,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)"
ALL, ENGLAND ,"373,369","1,928,992","332,820","261,045","176,981","371,092","716,522","82,101","1,001,933","984,550","2,033,936","329,776","1,331,909","928,322","1,270,286","257,023","105,436","1,687,636","1,015,354",9,"1,062,749"
,,,,,,,,,,,,,,,,,,,,,,
Y54, North Of England ,"124,116","571,525","103,171","88,743","58,038","110,586","255,056","27,180","323,109","329,713","669,917","107,280","447,353","291,474","376,007","71,288","31,470","496,613","323,155",1,"329,008"
Y55, Midlands and East of England ,"107,446","646,720","93,503","72,880","48,176","100,316","193,206","23,955","286,645","294,193","545,508","94,899","382,944","262,667","400,227","73,095","25,764","514,531","282,801",2,"310,256"
Y56, London ,"55,012","258,807","61,577","44,400","33,194","72,468","84,462","11,006","149,336","138,673","317,373","50,402","168,389","149,157","229,390","54,409","28,797","244,349","136,574",3,"180,779"
Y57, South of England ,"86,795","451,940","74,569","55,022","37,573","87,721","183,798","19,960","242,843","221,971","501,138","77,195","333,093","225,024","264,662","58,231","19,405","432,143","272,822",3,"242,704"
,,,,,,,,,,,,,,,,,,,,,,
RTQ, 2Gether NHS Foundation Trust , -   , -   , -   , * ,"1,232",10, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,23, * , -   ,14
RTV, 5 Boroughs Partnership NHS Foundation Trust , -   , -   , -   , * ,"2,120",150, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,90, * , -   ,18
REM, Aintree University Hospital NHS Foundation Trust ,"1,488","9,571","2,623","1,459","1,040","1,619","3,187",403,"6,182","6,465","17,647","2,164","6,417","4,957",43, -   ,158,"10,567","6,853", -   ,"4,738"
RCF, Airedale NHS Foundation Trust ,"1,703","9,873","1,391","1,282",259,838,"1,127",233,"3,847","3,338","8,165",934,"2,875","4,698","7,850",678,144,"5,944","2,734", -   ,"6,816"
RBS, Alder Hey Children's NHS Foundation Trust ,"1,341","4,861",673,"1,214",127,"1,250",427,568,258,"3,107","4,073",757,"2,502","2,077", -   ,526,"3,586","2,858","3,300", -   ,"1,578"
ARH01, Arthur Rank Hospice , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,278, -   , -   , -   
RTK, Ashford and St Peter's Hospitals NHS Foundation Trust ,"1,769","5,986","1,587","1,622",286,"1,457","3,570",256,"6,432","4,507","12,198","1,296","6,450","4,929","5,475","1,717",493,"6,241","3,783", -   ,"4,040"
NVC01, Ashtead Hospital ,16,46,25, * , -   ,82,192,7,150,58,665,24,"1,064",57, -   , -   , * ,146,16, -   ,56
NYW04, Aspen - Claremont Hospital , * ,25, -   , * , -   ,88,58, * ,69,29,289,17,"2,170",172, * , -   , * ,16,30, -   , * 
NYW03, Aspen - Highgate Hospital , * ,16, -   , -   , * ,8, -   , * , * ,16,41,23,292,45, -   , -   , * ,6, * , -   , -   
NYW02, Aspen - Parkside Hospital , -   ,9, -   , -   , -   ,9, -   , * , -   ,52,38, * ,166,27, -   , -   , * ,9, * , -   ,16
NYW20, Aspen - The Chelmsford , -   , -   , -   , -   , -   , -   ,63, -   , -   , -   , -   , -   ,71, -   , -   , -   , -   , * , -   , -   , -   
NYW01, Aspen - The Holly ,6,100, * , * , * ,68, -   ,39,10,161,237,43,928,528, -   , -   , * ,96,30, -   ,16
NYW17, Aspen Healthcare - Midland Eye , -   , -   , -   , -   , -   , -   ,845, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
RVN, Avon and Wiltshire Mental Health Partnership NHS Trust , -   , -   , -   , -   , * , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,422", -   , * , -   
RF4," Barking, Havering and Redbridge University Hospitals NHS Trust ","3,857","9,918","1,900","1,882",491,"2,539","2,966","1,042","7,714","9,886","17,131","4,272","7,814","11,332","11,184","5,032",583,"19,372","6,857", -   ,"8,176"
NTP13, Barlborough NHS Treatment Centre , -   , * , -   , -   , -   ,81, -   , -   , -   , -   , -   , * ,"2,611", -   , -   , -   , * , -   ,78, -   ,13
