"Table E: Finished admission episodes by primary diagnosis chapter for England, Commissioning Region and individual provider (2017-18)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"NHS Digital, Hospital Episode Statistics for England. Inpatient statistics, 2017-18.",,,,,,,,,,,,,,,,,,,,,,,
Activity in English NHS Hospitals and English NHS commissioned activity in the independent sector.,,,,,,,,,,,,,,,,,,,,,,,
For more information on data quality please see the data quality note accompanying this publication.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
, Commissioning Region/Provider ,"Certain infectious and parasitic diseases
(A00-B99)","Neoplasms
(C00-D48)","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
(D50-D89)","Endocrine, nutritional and metabolic diseases
(E00-E90)","Mental and behavioural disorders
(F00-F99)","Diseases of the nervous system
(G00-G99)","Diseases of the eye and adnexa
(H00-H59)","Diseases of the ear and mastoid process
(H60-H95)","Diseases of the circulatory system
(I00-I99)","Diseases of the respiratory system
(J00-J99)","Diseases of the digestive system
(K00-K93)","Diseases of the skin and subcutaneous tissue
(L00-L99)","Diseases of the musculoskeletal system and connective tissue
(M00-M99)","Diseases of the genitourinary system
(N00-N99)","Pregnancy, childbirth and the puerperium
(O00-O99)","Certain conditions originating in the perinatal period
(P00-P96)","Congenital malformations, deformations and chromosomal abnormalities
(Q00-Q99)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
(R00-R99)","Injury, poisoning and certain other consequences of external causes
(S00-T98)",Codes for special purposes (U00-U89) ,"Factors influencing health status and contact with health services 
(Z00-Z99)",
ALL, ENGLAND ," 511,062 "," 2,025,928 "," 367,394 "," 290,532 "," 169,968 "," 373,243 "," 689,998 "," 84,526 "," 932,154 "," 1,061,348 "," 2,145,872 "," 344,522 "," 1,308,276 "," 894,772 "," 1,232,986 "," 260,568 "," 103,857 "," 1,748,340 "," 1,027,937 ", 8 ," 1,049,648 ",
,,,,,,,,,,,,,,,,,,,,,,,
Y54, North Of England ," 166,095 "," 592,455 "," 109,365 "," 95,955 "," 53,295 "," 115,125 "," 233,330 "," 27,630 "," 296,820 "," 354,360 "," 691,585 "," 109,325 "," 434,580 "," 276,055 "," 361,355 "," 75,680 "," 32,220 "," 498,585 "," 327,405 ", * ," 305,205 ",
Y55, Midlands and East of England ," 150,670 "," 690,145 "," 105,305 "," 82,900 "," 47,310 "," 97,405 "," 200,050 "," 24,655 "," 271,365 "," 313,465 "," 579,305 "," 99,405 "," 381,320 "," 253,540 "," 391,400 "," 74,460 "," 25,010 "," 533,155 "," 284,735 ", * ," 312,815 ",
Y56, London ," 71,960 "," 283,185 "," 72,640 "," 49,645 "," 33,120 "," 71,505 "," 88,235 "," 12,015 "," 139,235 "," 149,610 "," 342,975 "," 52,620 "," 169,590 "," 145,290 "," 225,185 "," 54,535 "," 28,400 "," 252,645 "," 141,960 ", * ," 183,555 ",
Y57, South of England ," 122,340 "," 460,140 "," 80,080 "," 62,035 "," 36,245 "," 89,210 "," 168,330 "," 20,225 "," 224,730 "," 243,915 "," 532,000 "," 83,170 "," 322,490 "," 219,865 "," 255,050 "," 55,895 "," 18,230 "," 463,955 "," 273,830 ", -   ," 248,065 ",
,,,,,,,,,,,,,,,,,,,,,,,
RTQ, 2Gether NHS Foundation Trust (RTQ) , -   , -   , -   , -   ," 1,270 ", 35 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , * , -   , -   , 60 ,
REM, Aintree University Hospital NHS Foundation Trust (REM) ," 2,790 "," 8,915 "," 1,870 "," 1,520 "," 1,010 "," 1,570 "," 2,610 ", 440 ," 7,145 "," 7,350 "," 20,145 "," 2,205 "," 6,660 "," 4,465 ", 35 , -   , 145 ," 12,985 "," 8,230 ", -   ," 4,635 ",
RCF, Airedale NHS Foundation Trust (RCF) ," 2,160 "," 9,905 "," 1,360 "," 1,100 ", 290 , 760 ," 1,170 ", 215 ," 3,280 "," 3,670 "," 8,590 ", 920 ," 2,610 "," 4,630 "," 5,585 ", 535 , 120 ," 6,575 "," 2,865 ", -   ," 5,440 ",
NHM02, Aldeburgh Community Hospital (NHM02) , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 120 , -   , -   , -   ,
RBS, Alder Hey Children's NHS Foundation Trust (RBS) ," 2,295 "," 3,860 ", 730 ," 1,510 ", 150 ," 1,260 ", 625 , 565 , 370 ," 4,585 "," 4,875 ", 960 ," 2,530 "," 2,385 ", * , 930 ," 4,215 "," 4,220 "," 3,830 ", * ," 1,830 ",
RTK, Ashford And St Peter's Hospitals NHS Foundation Trust (RTK) ," 2,400 "," 6,510 "," 1,710 "," 2,060 ", 320 ," 1,410 "," 4,045 ", 260 ," 5,415 "," 4,905 "," 13,345 "," 1,425 "," 5,085 "," 4,845 "," 5,330 "," 1,745 ", 490 ," 6,845 "," 4,160 ", -   ," 4,015 ",
NVC01, Ashtead Hospital (NVC01) , 10 , 35 , * , -   , * , 70 , 260 , * , 30 , 30 , 680 , 30 , 475 , 75 , -   , -   , * , 115 , * , -   , 40 ,
NYW04, Aspen - Claremont Hospital (NYW04) , * , 20 , -   , * , -   , 45 , 80 , * , -   , 15 , 530 , 15 ," 1,685 ", 215 , * , -   , * , 340 , 20 , -   , 25 ,
NYW03, Aspen - Highgate Hospital (NYW03) , * , 30 , -   , * , -   , 20 , * , * , * , 65 , 185 , 40 , 470 , * , -   , -   , * , 20 , * , -   , 10 ,
