INDICATOR_CODE,PROVIDER,PROVIDER NAME,NUMERATOR,DENOMINATOR,RATE
I00731,R1F,ISLE OF WIGHT NHS TRUST,8,3449,0.2
I00731,R1H,BARTS HEALTH NHS TRUST,125,19564,0.6
I00731,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,63,16099,0.4
I00731,RA3,WESTON AREA HEALTH NHS TRUST,12,1739,0.7
I00731,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,21,3469,0.6
I00731,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,188,15213,1.2
I00731,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,39,5477,0.7
I00731,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,61,12890,0.5
I00731,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,66,9095,0.7
I00731,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,97,9787,1
I00731,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,16,2230,0.7
I00731,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,20,3692,0.5
I00731,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,14,3875,0.4
I00731,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,56,8606,0.7
I00731,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,29,4693,0.6
I00731,RBK,WALSALL HEALTHCARE NHS TRUST,21,4296,0.5
I00731,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,40,9030,0.4
I00731,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,27,8368,0.3
I00731,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,18,3991,0.5
I00731,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,27,3699,0.7
I00731,RC1,BEDFORD HOSPITAL NHS TRUST,16,3736,0.4
I00731,RC3,EALING HOSPITAL NHS TRUST,11,2132,0.5
I00731,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,43,7863,0.5
I00731,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,54,10068,0.5
I00731,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,22,4363,0.5
I00731,RCF,AIREDALE NHS FOUNDATION TRUST,33,3232,1
I00731,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",32,5117,0.6
I00731,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,34,6178,0.6
