INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00742,R1F,ISLE OF WIGHT NHS TRUST,791,*,243,337,134,41,*,*,30.7,42.6,16.9,5.2,*
I00742,R1H,BARTS HEALTH NHS TRUST,3539,1876,725,382,265,177,114,53,20.5,10.8,7.5,5,3.2
I00742,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1252,*,45,139,344,710,*,*,3.6,11.1,27.5,56.7,*
I00742,RA3,WESTON AREA HEALTH NHS TRUST,968,182,160,222,300,*,*,18.8,16.5,22.9,31,*,*
I00742,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,934,*,72,316,397,117,*,*,7.7,33.8,42.5,12.5,*
I00742,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1701,369,396,280,292,335,29,21.7,23.3,16.5,17.2,19.7,1.7
I00742,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1554,161,472,462,366,87,6,10.4,30.4,29.7,23.6,5.6,0.4
I00742,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1705,799,378,275,127,89,37,46.9,22.2,16.1,7.4,5.2,2.2
I00742,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2014,302,330,467,406,495,14,15,16.4,23.2,20.2,24.6,0.7
I00742,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1151,207,282,288,252,87,35,18,24.5,25,21.9,7.6,3
I00742,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,984,476,271,132,58,33,14,48.4,27.5,13.4,5.9,3.4,1.4
I00742,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,919,68,355,235,138,104,19,7.4,38.6,25.6,15,11.3,2.1
I00742,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1177,25,109,171,367,483,22,2.1,9.3,14.5,31.2,41,1.9
I00742,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1492,104,372,502,290,214,10,7,24.9,33.6,19.4,14.3,0.7
I00742,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1052,121,211,393,257,*,*,11.5,20.1,37.4,24.4,*,*
I00742,RBK,WALSALL HEALTHCARE NHS TRUST,1475,616,368,227,154,94,16,41.8,24.9,15.4,10.4,6.4,1.1
I00742,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2101,633,386,330,349,371,32,30.1,18.4,15.7,16.6,17.7,1.5
I00742,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,1945,942,346,344,163,133,17,48.4,17.8,17.7,8.4,6.8,0.9
I00742,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1408,210,258,247,242,439,12,14.9,18.3,17.5,17.2,31.2,0.9
I00742,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1234,67,308,484,303,66,6,5.4,25,39.2,24.6,5.3,0.5
I00742,RC1,BEDFORD HOSPITAL NHS TRUST,1097,66,239,169,265,351,7,6,21.8,15.4,24.2,32,0.6
I00742,RC3,EALING HOSPITAL NHS TRUST,632,145,226,207,36,*,*,22.9,35.8,32.8,5.7,*,*
I00742,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1515,203,359,325,293,305,30,13.4,23.7,21.5,19.3,20.1,2
