INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00742,R1F,ISLE OF WIGHT NHS TRUST,18675,1177,5869,6757,2652,696,1524,6.3,31.4,36.2,14.2,3.7,8.2
I00742,R1H,BARTS HEALTH NHS TRUST,164254,83549,32259,14449,8693,5370,19934,50.9,19.6,8.8,5.3,3.3,12.1
I00742,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,48498,268,2733,6045,11268,24662,3522,0.6,5.6,12.5,23.2,50.9,7.3
I00742,RA3,WESTON AREA HEALTH NHS TRUST,18492,3648,2777,3773,5638,2264,392,19.7,15,20.4,30.5,12.2,2.1
I00742,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23721,844,2469,6901,8913,2856,1738,3.6,10.4,29.1,37.6,12,7.3
I00742,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,71729,15371,13652,11459,13015,11855,6377,21.4,19,16,18.1,16.5,8.9
I00742,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38724,5189,10915,10930,7085,1996,2609,13.4,28.2,28.2,18.3,5.2,6.7
I00742,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,76704,39566,13924,9506,4892,2820,5996,51.6,18.2,12.4,6.4,3.7,7.8
I00742,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,51768,7995,9277,10150,9599,11050,3697,15.4,17.9,19.6,18.5,21.3,7.1
I00742,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,38288,6984,9294,8320,6919,2529,4242,18.2,24.3,21.7,18.1,6.6,11.1
I00742,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,34206,18184,8661,2678,1288,597,2798,53.2,25.3,7.8,3.8,1.7,8.2
I00742,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38803,3395,14118,8477,4469,3552,4792,8.7,36.4,21.8,11.5,9.2,12.3
I00742,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46849,1261,3932,7203,12778,14821,6854,2.7,8.4,15.4,27.3,31.6,14.6
I00742,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,51291,3186,12400,16131,9607,6389,3578,6.2,24.2,31.4,18.7,12.5,7
I00742,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,28355,3138,4678,9677,6564,2131,2167,11.1,16.5,34.1,23.1,7.5,7.6
I00742,RBK,WALSALL HEALTHCARE NHS TRUST,42861,19223,8716,4469,3179,2412,4862,44.8,20.3,10.4,7.4,5.6,11.3
I00742,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,65322,22371,11055,8447,9028,10286,4135,34.2,16.9,12.9,13.8,15.7,6.3
I00742,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,65680,30673,11045,9187,5818,4381,4576,46.7,16.8,14,8.9,6.7,7
