INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,R1F,ISLE OF WIGHT NHS TRUST,791,554,237,70,30
I00733,R1H,BARTS HEALTH NHS TRUST,3539,2812,727,79.5,20.5
I00733,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1252,824,428,65.8,34.2
I00733,RA3,WESTON AREA HEALTH NHS TRUST,968,647,321,66.8,33.2
I00733,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,934,606,328,64.9,35.1
I00733,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1701,1300,401,76.4,23.6
I00733,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1554,1016,538,65.4,34.6
I00733,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1705,1162,543,68.2,31.8
I00733,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2014,1322,692,65.6,34.4
I00733,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1151,825,326,71.7,28.3
I00733,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,984,760,224,77.2,22.8
I00733,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,919,693,226,75.4,24.6
I00733,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1177,791,386,67.2,32.8
I00733,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1492,974,518,65.3,34.7
I00733,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1052,708,344,67.3,32.7
I00733,RBK,WALSALL HEALTHCARE NHS TRUST,1475,1066,409,72.3,27.7
I00733,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2101,1468,633,69.9,30.1
I00733,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,1945,1343,602,69,31
I00733,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1408,1002,406,71.2,28.8
I00733,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1234,858,376,69.5,30.5
I00733,RC1,BEDFORD HOSPITAL NHS TRUST,1097,794,303,72.4,27.6
I00733,RC3,EALING HOSPITAL NHS TRUST,632,471,161,74.5,25.5
I00733,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1515,1077,438,71.1,28.9
I00733,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2913,2021,892,69.4,30.6
I00733,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,847,624,223,73.7,26.3
I00733,RCF,AIREDALE NHS FOUNDATION TRUST,973,676,297,69.5,30.5
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1511,1106,405,73.2,26.8
I00733,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,1875,1342,533,71.6,28.4
I00733,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1487,1104,383,74.2,25.8
I00733,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,1398,1032,366,73.8,26.2
I00733,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1110,825,285,74.3,25.7
I00733,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1976,1459,517,73.8,26.2
I00733,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2039,1378,661,67.6,32.4
I00733,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,1584,1095,489,69.1,30.9
I00733,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,1953,1534,419,78.5,21.5
I00733,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1104,841,263,76.2,23.8
I00733,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2126,1439,687,67.7,32.3
I00733,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1924,1365,559,70.9,29.1
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2903,2167,736,74.6,25.4
I00733,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1433,1019,414,71.1,28.9
I00733,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1416,990,426,69.9,30.1
I00733,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1613,1150,463,71.3,28.7
I00733,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,910,711,199,78.1,21.9
I00733,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1717,1208,509,70.4,29.6
I00733,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1435,1040,395,72.5,27.5
I00733,RGQ,IPSWICH HOSPITAL NHS TRUST,1823,1211,612,66.4,33.6
I00733,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1281,903,378,70.5,29.5
I00733,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2059,1348,711,65.5,34.5
I00733,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1790,1254,536,70.1,29.9
I00733,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2791,2211,580,79.2,20.8
I00733,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3422,2604,818,76.1,23.9
I00733,RHU,PORTSMOUTH HOSPITALS NHS TRUST,2850,1997,853,70.1,29.9
I00733,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1959,1420,539,72.5,27.5
I00733,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1361,980,381,72,28
I00733,RJ2,LEWISHAM AND GREENWICH NHS TRUST,1585,1233,352,77.8,22.2
I00733,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1227,947,280,77.2,22.8
I00733,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,1894,1461,433,77.1,22.9
I00733,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,82,59,23,72,28
I00733,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,800,548,252,68.5,31.5
I00733,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,3198,2259,939,70.6,29.4
