INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,R1F,ISLE OF WIGHT NHS TRUST,791,0,195,195,0,24.7,24.7
I00721,R1H,BARTS HEALTH NHS TRUST,3539,281,562,576,7.9,15.9,16.3
I00721,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1252,5,211,215,0.4,16.9,17.2
I00721,RA3,WESTON AREA HEALTH NHS TRUST,968,0,210,210,0,21.7,21.7
I00721,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,934,0,278,278,0,29.8,29.8
I00721,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1701,43,359,380,2.5,21.1,22.3
I00721,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1554,1,303,303,0.1,19.5,19.5
I00721,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1705,0,307,307,0,18,18
I00721,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2014,80,371,384,4,18.4,19.1
I00721,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1151,0,315,315,0,27.4,27.4
I00721,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,984,0,273,273,0,27.7,27.7
I00721,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,919,0,233,233,0,25.4,25.4
I00721,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1177,0,443,443,0,37.6,37.6
I00721,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1492,0,96,96,0,6.4,6.4
I00721,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1052,0,142,142,0,13.5,13.5
I00721,RBK,WALSALL HEALTHCARE NHS TRUST,1475,0,441,441,0,29.9,29.9
I00721,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2101,0,581,581,0,27.7,27.7
I00721,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,1945,0,435,435,0,22.4,22.4
I00721,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1408,0,303,303,0,21.5,21.5
I00721,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1234,0,250,250,0,20.3,20.3
I00721,RC1,BEDFORD HOSPITAL NHS TRUST,1097,0,236,236,0,21.5,21.5
I00721,RC3,EALING HOSPITAL NHS TRUST,632,0,141,141,0,22.3,22.3
I00721,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1515,0,207,207,0,13.7,13.7
I00721,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2913,0,552,552,0,18.9,18.9
I00721,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,847,0,168,168,0,19.8,19.8
I00721,RCF,AIREDALE NHS FOUNDATION TRUST,973,0,252,252,0,25.9,25.9
I00721,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1511,54,237,250,3.6,15.7,16.5
I00721,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,1875,0,366,366,0,19.5,19.5
I00721,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1487,171,434,442,11.5,29.2,29.7
I00721,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,1398,20,498,504,1.4,35.6,36.1
I00721,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1110,0,342,342,0,30.8,30.8
I00721,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1976,302,476,523,15.3,24.1,26.5
I00721,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2039,0,490,490,0,24,24
