INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00720,R1F,ISLE OF WIGHT NHS TRUST,18675,0,328,328,0,1.8,1.8
I00720,R1H,BARTS HEALTH NHS TRUST,164254,374,936,985,0.2,0.6,0.6
I00720,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,48498,7,323,328,0,0.7,0.7
I00720,RA3,WESTON AREA HEALTH NHS TRUST,18492,0,420,420,0,2.3,2.3
I00720,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23721,0,453,453,0,1.9,1.9
I00720,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,71729,48,631,655,0.1,0.9,0.9
I00720,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38724,3,556,557,0,1.4,1.4
I00720,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,76704,0,540,540,0,0.7,0.7
I00720,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,51768,116,696,723,0.2,1.3,1.4
I00720,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,38288,0,583,583,0,1.5,1.5
I00720,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,34206,0,524,524,0,1.5,1.5
I00720,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38803,0,424,424,0,1.1,1.1
I00720,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46849,0,610,610,0,1.3,1.3
I00720,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,51291,0,168,168,0,0.3,0.3
I00720,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,28355,0,275,275,0,1,1
I00720,RBK,WALSALL HEALTHCARE NHS TRUST,42861,0,659,659,0,1.5,1.5
I00720,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,65322,0,917,917,0,1.4,1.4
