INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,R1F,ISLE OF WIGHT NHS TRUST,18675,791,742.213,1.066,0.89,1.119,0.883,1.133,2
I00699,R1H,BARTS HEALTH NHS TRUST,164254,3539,4405.506,0.803,0.954,1.047,0.899,1.112,3
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,48498,1252,1411.959,0.887,0.92,1.085,0.892,1.122,3
I00699,RA3,WESTON AREA HEALTH NHS TRUST,18492,968,943.956,1.026,0.902,1.105,0.887,1.128,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23721,934,888.623,1.051,0.9,1.108,0.886,1.129,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,71729,1701,1770.247,0.961,0.928,1.076,0.894,1.119,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38724,1554,1655.985,0.938,0.926,1.078,0.893,1.12,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,76704,1705,1742.489,0.979,0.928,1.076,0.894,1.119,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,51768,2014,1935.816,1.04,0.931,1.072,0.895,1.118,2
I00699,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,38288,1151,1395.712,0.825,0.919,1.086,0.892,1.122,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,34206,984,1123.955,0.876,0.91,1.096,0.889,1.125,3
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38803,919,1056.909,0.87,0.908,1.099,0.888,1.126,3
I00699,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46849,1177,1312.992,0.896,0.917,1.088,0.891,1.123,2
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,51291,1492,1542.484,0.967,0.923,1.081,0.893,1.12,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,28355,1052,946.434,1.112,0.903,1.105,0.887,1.128,2
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,42861,1475,1466.276,1.006,0.921,1.083,0.892,1.121,2
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,65322,2101,2073.055,1.014,0.934,1.07,0.895,1.117,2
I00699,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,65680,1945,1942.634,1.001,0.931,1.072,0.895,1.118,2
