INDICATOR_CODE,DIAGNOSIS GROUP,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED
I00699,1,R1H,BARTS HEALTH NHS TRUST,248,*,9.4433
I00699,1,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0267
I00699,1,RA3,WESTON AREA HEALTH NHS TRUST,*,0,0.04
I00699,1,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,*,0,0.0102
I00699,1,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,17,0,0.9597
I00699,1,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,*,0,0.6135
I00699,1,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,82,*,3.0919
I00699,1,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0461
I00699,1,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,28,0,0.331
I00699,1,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,31,*,1.4197
I00699,1,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,29,0,1.3399
I00699,1,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,8,0,0.7681
I00699,1,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,*,0,0.0382
I00699,1,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,*,*,0.3587
I00699,1,RBK,WALSALL HEALTHCARE NHS TRUST,18,0,0.5453
I00699,1,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,*,*,0.3481
I00699,1,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,0.3231
I00699,1,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,*,0,0.1638
I00699,1,RC1,BEDFORD HOSPITAL NHS TRUST,6,*,0.1712
I00699,1,RC3,EALING HOSPITAL NHS TRUST,55,*,2.2783
I00699,1,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,33,0,0.9614
I00699,1,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,0.0843
I00699,1,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,*,0,0.4736
I00699,1,RCF,AIREDALE NHS FOUNDATION TRUST,7,*,1.1529
I00699,1,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,0,0.0394
I00699,1,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,*,0,0.0102
I00699,1,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,*,0,0.4116
I00699,1,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,27,*,0.5611
I00699,1,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,11,*,1.1485
I00699,1,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7,0,0.251
I00699,1,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,*,*,1.1475
I00699,1,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,7,*,0.5567
I00699,1,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,*,0,0.0284
I00699,1,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,*,0,0.0283
I00699,1,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,*,0,0.3435
I00699,1,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,*,0.2036
I00699,1,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",74,*,3.1449
I00699,1,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,*,*,0.1151
I00699,1,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,*,0,0.4267
I00699,1,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,26,*,0.6064
I00699,1,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,11,*,0.3911
I00699,1,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,0,0.4062
I00699,1,RGQ,IPSWICH HOSPITAL NHS TRUST,*,0,0.7456
I00699,1,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,*,*,0.5564
I00699,1,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,25,*,1.7298
I00699,1,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,7,*,0.5477
I00699,1,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,28,0,1.0488
