INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,R1F,ISLE OF WIGHT NHS TRUST,844,549,295,65.0474,34.9526
I00733,R1H,BARTS HEALTH NHS TRUST,3810,2983,827,78.294,21.706
I00733,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2616,2013,603,76.9495,23.0505
I00733,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1254,792,462,63.1579,36.8421
I00733,RA3,WESTON AREA HEALTH NHS TRUST,960,664,296,69.1667,30.8333
I00733,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,979,657,322,67.1093,32.8907
I00733,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1804,1322,482,73.2816,26.7184
I00733,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1733,1157,576,66.7628,33.2372
I00733,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1764,1181,583,66.9501,33.0499
I00733,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2230,1518,712,68.0717,31.9283
I00733,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2741,2016,725,73.5498,26.4502
I00733,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1416,1140,276,80.5085,19.4915
I00733,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,1037,815,222,78.5921,21.4079
I00733,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1226,878,348,71.615,28.385
I00733,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1628,1082,546,66.4619,33.5381
I00733,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1161,756,405,65.1163,34.8837
I00733,RBK,WALSALL HEALTHCARE NHS TRUST,1668,1195,473,71.6427,28.3573
I00733,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2111,1530,581,72.4775,27.5225
I00733,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2222,1556,666,70.027,29.973
I00733,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1444,972,472,67.313,32.687
I00733,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1246,925,321,74.2376,25.7624
I00733,RC1,BEDFORD HOSPITAL NHS TRUST,1163,805,358,69.2175,30.7825
I00733,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1639,1177,462,71.8121,28.1879
I00733,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,3148,2148,1000,68.2338,31.7662
I00733,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,983,694,289,70.6002,29.3998
I00733,RCF,AIREDALE NHS FOUNDATION TRUST,1053,694,359,65.9069,34.0931
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1462,1009,453,69.015,30.985
I00733,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1975,1434,541,72.6076,27.3924
I00733,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1612,1245,367,77.2333,22.7667
I00733,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1213,863,350,71.1459,28.8541
I00733,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1978,1459,519,73.7614,26.2386
I00733,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2236,1570,666,70.2147,29.7853
I00733,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3336,2480,856,74.3405,25.6595
I00733,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,2150,1706,444,79.3488,20.6512
I00733,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1176,896,280,76.1905,23.8095
I00733,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2303,1568,735,68.0851,31.9149
I00733,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1979,1377,602,69.5806,30.4194
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3195,2348,847,73.4898,26.5102
I00733,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1432,963,469,67.2486,32.7514
I00733,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1553,1129,424,72.698,27.302
I00733,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1777,1248,529,70.2307,29.7693
I00733,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,901,690,211,76.5816,23.4184
I00733,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1904,1339,565,70.3256,29.6744
I00733,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1522,1096,426,72.0105,27.9895
I00733,RGQ,IPSWICH HOSPITAL NHS TRUST,1898,1274,624,67.1233,32.8767
I00733,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1439,1047,392,72.7589,27.2411
I00733,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2289,1508,781,65.8803,34.1197
I00733,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1928,1327,601,68.8278,31.1722
I00733,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2819,2205,614,78.2192,21.7808
I00733,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3486,2621,865,75.1865,24.8135
I00733,RHU,PORTSMOUTH HOSPITALS NHS TRUST,3050,2124,926,69.6393,30.3607
I00733,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,2031,1449,582,71.3442,28.6558
I00733,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1411,1023,388,72.5018,27.4982
I00733,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2333,1786,547,76.5538,23.4462
I00733,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1280,956,324,74.6875,25.3125
I00733,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2130,1643,487,77.1362,22.8638
I00733,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1146,807,339,70.4188,29.5812
I00733,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,4304,3056,1248,71.0037,28.9963
I00733,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1336,983,353,73.5778,26.4222
I00733,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2308,1614,694,69.9307,30.0693
I00733,RJN,EAST CHESHIRE NHS TRUST,907,652,255,71.8853,28.1147
I00733,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1440,1025,415,71.1806,28.8194
I00733,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,3037,2253,784,74.1851,25.8149
I00733,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1897,1431,466,75.4349,24.5651
I00733,RK9,PLYMOUTH HOSPITALS NHS TRUST,2384,1654,730,69.3792,30.6208
I00733,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2897,2064,833,71.2461,28.7539
I00733,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,521,373,148,71.5931,28.4069
I00733,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2372,1786,586,75.2951,24.7049
I00733,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,2050,1522,528,74.2439,25.7561
I00733,RLQ,WYE VALLEY NHS TRUST,1163,808,355,69.4755,30.5245
I00733,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,975,682,293,69.9487,30.0513
I00733,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3484,2491,993,71.4983,28.5017
I00733,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,1944,1454,490,74.7942,25.2058
I00733,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,1756,1309,447,74.5444,25.4556
I00733,RMC,BOLTON NHS FOUNDATION TRUST,1812,1356,456,74.8344,25.1656
I00733,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,1388,932,456,67.147,32.853
I00733,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1732,1211,521,69.9192,30.0808
I00733,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2038,1531,507,75.1227,24.8773
I00733,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1551,1090,461,70.2772,29.7228
I00733,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,2377,1802,575,75.8098,24.1902
I00733,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,1820,1204,616,66.1538,33.8462
I00733,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1567,1098,469,70.0702,29.9298
I00733,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1836,1349,487,73.4749,26.5251
I00733,RNZ,SALISBURY NHS FOUNDATION TRUST,1124,834,290,74.1993,25.8007
I00733,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,2824,1975,849,69.9363,30.0637
I00733,RPA,MEDWAY NHS FOUNDATION TRUST,1906,1429,477,74.9738,25.0262
I00733,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,1975,1448,527,73.3165,26.6835
I00733,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,1850,1351,499,73.027,26.973
I00733,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,541,397,144,73.3826,26.6174
I00733,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,754,511,243,67.7719,32.2281
I00733,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1627,1070,557,65.7652,34.2348
I00733,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,558,416,142,74.552,25.448
I00733,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,4428,3271,1157,73.8708,26.1292
I00733,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1469,1072,397,72.9748,27.0252
