INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,R1F,"ISLE OF WIGHT NHS TRUST",1.0168,2,17398,819,805.4445,0.8946,1.1137,0.8878,1.1264
I00699,R1H,"BARTS HEALTH NHS TRUST",0.8952,3,155683,3760,4199.9871,0.9530,1.0486,0.9034,1.1069
I00699,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",0.8777,3,91789,2444,2784.5677,0.9425,1.0600,0.9014,1.1094
I00699,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",0.8846,3,45616,1286,1453.7663,0.9209,1.0837,0.8961,1.1160
I00699,RA3,"WESTON AREA HEALTH NHS TRUST",1.1638,1,17464,1028,883.3201,0.8992,1.1084,0.8894,1.1244
I00699,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",0.9791,2,25540,947,967.2238,0.9036,1.1034,0.8908,1.1226
I00699,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",0.9875,2,76425,1734,1756.0216,0.9279,1.0760,0.8980,1.1136
I00699,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",0.8341,3,47578,1788,2143.6388,0.9346,1.0686,0.8996,1.1116
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9637,2,74920,1787,1854.3881,0.9298,1.0739,0.8984,1.1130
I00699,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1.1251,1,53540,2239,1989.9920,0.9322,1.0712,0.8990,1.1123
I00699,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",0.9078,2,91508,2806,3091.1437,0.9453,1.0568,0.9020,1.1086
I00699,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",0.9244,2,48782,1343,1452.8306,0.9209,1.0838,0.8961,1.1160
