INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1972.182,2151.475,1920.182,2536.19,2543.086,2534.19,614.0085,25,0,829.0222,25,0,373.2128,25,0,86.654,12.444,0.902,2134085,0.742,0.749,0.059,0.871051527938203
I00699,2,147562.897,147823.568,147510.897,169685.992,169696.017,169683.992,22173.0947,25,0,20571.1474,25,0,14995.8725,25,0,74.028,24.787,1.185,4554801410,0.492,0.498,0.161,0.746207365822344
I00699,3,4056.058,4245.593,4004.058,5184.594,5191.884,5182.594,1178.5367,25,0,1197.533,25,0,420.4183,25,0,84.298,14.744,0.959,7079472,0.696,0.702,0.084,0.847770709454038
I00699,4,2912.718,3099.12,2860.718,3445.582,3452.752,3443.582,582.8643,25,0,533.368,25,0,252.2072,25,0,81.218,17.723,1.059,3846001,0.635,0.642,0.053,0.817476126501267
I00699,5,688.107,736.508,674.107,957.894,964.809,955.894,281.7874,6,0,272.7052,6,0,61.8254,6,0,90.646,5.386,3.968,646888,0.853,0.888,0.02,0.926298679214949
I00699,6,6980.435,7258.428,6928.435,10474.499,10485.191,10472.499,3544.0639,25,0,12664.5244,25,0,1840.616,25,0,91.53,2.702,5.768,239735295,0.888,0.943,0.004,0.944137268148188
I00699,7,13202.623,13428.132,13150.623,17731.148,17739.821,17729.148,4578.5246,25,0,5576.4205,25,0,3261.4003,25,0,85.811,12.798,1.392,92467647,0.73,0.74,0.072,0.865064155898765
I00699,8,22297.255,22471.651,22255.255,27781.243,27789.548,27779.243,5523.9883,20,0,4988.0473,20,0,3731.9071,20,0,80.099,18.919,0.981,129288484,0.612,0.618,0.177,0.805899151079844
I00699,9,14585.654,14767.007,14539.654,18578.071,18585.956,18576.071,4036.4166,22,0,3603.4203,22,0,2569.4326,22,0,81.028,18.047,0.925,57166256,0.63,0.636,0.187,0.814906629533339
I00699,10,33364.77,33586.18,33316.77,46754.231,46763.456,46752.231,13435.4602,23,0,13462.0669,23,0,7961.6531,23,0,86.797,12.412,0.791,479071187,0.744,0.75,0.127,0.871922090776877
I00699,11,17655.646,17849.597,17611.646,25379.565,25388.381,25377.565,7765.9196,21,0,8851.2475,21,0,4897.1394,21,0,87.915,11.116,0.97,162427416,0.768,0.776,0.101,0.88399623373926
I00699,12,14356.524,14561.739,14304.524,19501.505,19509.398,19499.505,5194.9807,25,0,4679.1409,25,0,3000.4234,25,0,83.506,15.808,0.686,61353060,0.677,0.682,0.212,0.838490435521879
I00699,13,23890.007,24085.115,23842.007,29580.44,29588.569,29578.44,5736.433,23,0,4870.0347,23,0,3707.4623,23,0,78.514,20.825,0.661,125824887,0.577,0.581,0.231,0.788448194672331
I00699,14,9873.708,10071.612,9821.708,12844.965,12852.577,12842.965,3021.2571,25,0,2744.7071,25,0,1864.1818,25,0,82.937,16.457,0.606,29098405,0.665,0.669,0.173,0.832402188367369
I00699,15,75735.045,75978.043,75683.045,97828.897,97838.243,97826.897,22143.8521,25,0,18202.8064,25,0,11775.8413,25,0,79.662,19.354,0.984,1394218340,0.603,0.609,0.235,0.801538468501282
I00699,16,4031.109,4191.356,3983.109,5081.362,5088.039,5079.362,1096.253,23,0,991.1274,23,0,658.9546,23,0,81.063,17.82,1.117,4530165,0.632,0.64,0.167,0.81621795232624
I00699,17,5085.541,5301.433,5033.541,9046.96,9055.264,9044.96,4011.4194,25,0,5999.683,25,0,2039.1449,25,0,92.672,5.157,2.171,30034228,0.875,0.895,0.059,0.937576887276743
I00699,18,17591.84,17826.285,17543.84,35064.698,35074.467,35062.698,17518.8585,23,0,28096.2433,23,0,6644.804,23,0,95.198,3.521,1.281,489833256,0.917,0.929,0.054,0.958387810034687
I00699,19,5203.98,5397.928,5155.98,9235.072,9243.153,9233.072,4077.0919,23,0,6076.094,23,0,2127.8674,23,0,93.382,5.129,1.489,26193024,0.883,0.896,0.081,0.941264819212932
I00699,20,4421.445,4624.659,4369.445,7050.434,7058.25,7048.434,2678.9888,25,0,3272.458,25,0,1458.7396,25,0,91.986,7.054,0.96,15316710,0.849,0.858,0.077,0.92466201945457
I00699,21,11575.175,11770.168,11527.175,16303.021,16311.146,16301.021,4773.8463,23,0,4697.1971,23,0,2710.3266,23,0,87.109,12.066,0.825,56389207,0.75,0.757,0.136,0.875218559111853
I00699,22,19489.695,19719.225,19439.695,33088.984,33098.165,33086.984,13647.2884,24,0,15345.4485,24,0,4829.3513,24,0,92.527,6.507,0.966,296347433,0.86,0.869,0.099,0.930101721178061
I00699,23,16442.032,16687.976,16390.032,27615.75,27625.21,27613.75,11223.7185,25,0,19273.1362,25,0,6963.3306,25,0,91.137,5.814,3.049,288299440,0.853,0.88,0.055,0.926616570951369
I00699,24,10417.629,10635.29,10365.629,16401.233,16409.605,16399.233,6033.6046,25,0,6747.1632,25,0,3074.4113,25,0,90.549,8.389,1.062,67458210,0.822,0.83,0.109,0.91079961949776
