INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.0767,0.2743,15.4074,1,0.0001
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-13.299,1610.8902,0.0001,1,0.9934
I00699,1,AGE_GROUP_10,0.3122,0.5732,0.2967,1,0.586
I00699,1,AGE_GROUP_11,1.4478,0.4434,10.663,1,0.0011
I00699,1,AGE_GROUP_12,1.8753,0.4256,19.4185,1,0
I00699,1,AGE_GROUP_13,2.0053,0.4257,22.1898,1,0
I00699,1,AGE_GROUP_14,2.4056,0.4151,33.5931,1,0
I00699,1,AGE_GROUP_15,2.5459,0.408,38.9402,1,0
I00699,1,AGE_GROUP_16,2.64,0.4104,41.3714,1,0
I00699,1,AGE_GROUP_17,2.9371,0.4028,53.1718,1,0
I00699,1,AGE_GROUP_18,3.1782,0.4057,61.3675,1,0
I00699,1,AGE_GROUP_19,3.5045,0.4274,67.2406,1,0
I00699,1,AGE_GROUP_2,-13.5251,1143.8399,0.0001,1,0.9906
I00699,1,AGE_GROUP_20,4.0285,0.4825,69.7145,1,0
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,AGE_GROUP_3,-13.3991,1339.1731,0.0001,1,0.992
I00699,1,AGE_GROUP_4,-13.5734,1106.5381,0.0002,1,0.9902
I00699,1,AGE_GROUP_5,-13.7422,667.3846,0.0004,1,0.9836
I00699,1,AGE_GROUP_6,-13.7783,497.3736,0.0008,1,0.9779
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,0.7782,0.4778,2.6531,1,0.1033
I00699,1,AGE_GROUP_9,1.0018,0.4683,4.5758,1,0.0324
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.421,0.1765,5.6891,1,0.0171
I00699,1,CHARLSON_INDEX_3,1.1509,0.1584,52.7838,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.0962,0.1305,0.5429,1,0.4612
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-5.0596,0.3737,183.2813,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,-0.1692,0.1602,1.1159,1,0.2908
I00699,1,YEAR_INDEX_3,-0.0056,0.1505,0.0014,1,0.9703
I00699,2,ADMIMETH_1,-0.6273,0.0505,154.3742,1,0
I00699,2,ADMIMETH_2,0,,,0,
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,AGE_GROUP_1,-3.865,0.1874,425.1635,1,0
I00699,2,AGE_GROUP_10,-1.5168,0.0678,501.1391,1,0
I00699,2,AGE_GROUP_11,-1.2473,0.0505,609.6798,1,0
I00699,2,AGE_GROUP_12,-1.0977,0.0428,658.7214,1,0
I00699,2,AGE_GROUP_13,-0.8879,0.0365,592.8348,1,0
I00699,2,AGE_GROUP_14,-0.6863,0.0311,487.7004,1,0
I00699,2,AGE_GROUP_15,-0.4748,0.0266,317.5967,1,0
I00699,2,AGE_GROUP_16,-0.2241,0.0254,78.0625,1,0
I00699,2,AGE_GROUP_17,0,,,0,
I00699,2,AGE_GROUP_18,0.4804,0.0229,441.3371,1,0
I00699,2,AGE_GROUP_19,0.8092,0.0233,1207.8854,1,0
I00699,2,AGE_GROUP_2,-3.1412,0.1622,375.2355,1,0
I00699,2,AGE_GROUP_20,1.1468,0.0249,2125.8119,1,0
I00699,2,AGE_GROUP_21,0,,,0,
I00699,2,AGE_GROUP_3,-2.8176,0.2066,186.0517,1,0
I00699,2,AGE_GROUP_4,-2.7604,0.2803,96.9657,1,0
