INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00732,ENG,"ENGLAND",285989,7603682,3.7612
I00732,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2057,39675,5.1846
I00732,RCF,"AIREDALE NHS FOUNDATION TRUST",1023,31807,3.2163
I00732,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1796,35843,5.0107
I00732,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3282,75344,4.3560
I00732,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1470,37362,3.9345
I00732,R1H,"BARTS HEALTH NHS TRUST",3621,135386,2.6746
I00732,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2178,49300,4.4178
I00732,RC1,"BEDFORD HOSPITAL NHS TRUST",1197,31479,3.8025
I00732,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2387,49723,4.8006
I00732,RMC,"BOLTON NHS FOUNDATION TRUST",1754,58139,3.0169
I00732,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1795,66201,2.7114
I00732,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2445,60098,4.0684
I00732,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1529,50663,3.0180
I00732,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",1287,39063,3.2947
I00732,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2315,57858,4.0012
I00732,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2235,56210,3.9762
I00732,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1631,86251,1.8910
I00732,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1560,80733,1.9323
I00732,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1918,45644,4.2021
I00732,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2069,44778,4.6206
I00732,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",2300,49862,4.6127
I00732,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1518,43709,3.4730
I00732,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3014,74101,4.0674
I00732,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",*,*,3.1451
I00732,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1455,41858,3.4760
I00732,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",3240,74120,4.3713
I00732,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2836,65421,4.3350
I00732,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1116,26916,4.1462
I00732,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2392,58335,4.1005
I00732,RJN,"EAST CHESHIRE NHS TRUST",931,18565,5.0148
I00732,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4113,90635,4.5380
I00732,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2657,68765,3.8639
I00732,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2589,45653,5.6710
I00732,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1926,52767,3.6500
I00732,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3467,109997,3.1519
I00732,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1447,29309,4.9371
I00732,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",*,*,5.0903
I00732,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",3091,73431,4.2094
I00732,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1721,50763,3.3903
I00732,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1317,59555,2.2114
I00732,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",1959,53622,3.6534
I00732,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",921,22513,4.0910
