INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00743,ENG,"ENGLAND",293623,60298,59300,60287,58235,50899,4604,20.5359,20.1960,20.5321,19.8333,17.3348,1.5680
I00743,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2114,1222,284,278,188,134,8,57.8051,13.4342,13.1504,8.8931,6.3387,0.3784
I00743,RCF,"AIREDALE NHS FOUNDATION TRUST",1052,151,117,247,324,213,0,14.3536,11.1217,23.4791,30.7985,20.2471,0.0000
I00743,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1839,8,146,304,367,1008,6,0.4350,7.9391,16.5307,19.9565,54.8124,0.3263
I00743,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3327,530,983,818,674,294,28,15.9303,29.5461,24.5867,20.2585,8.8368,0.8416
I00743,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1495,506,484,307,141,*,*,33.8462,32.3746,20.5351,9.4314,*,*
I00743,R1H,"BARTS HEALTH NHS TRUST",3756,1981,815,411,291,183,75,52.7423,21.6986,10.9425,7.7476,4.8722,1.9968
I00743,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2225,317,598,513,362,422,13,14.2472,26.8764,23.0562,16.2697,18.9663,0.5843
I00743,RC1,"BEDFORD HOSPITAL NHS TRUST",1209,*,261,179,300,388,*,*,21.5881,14.8056,24.8139,32.0926,*
I00743,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2437,640,505,515,431,339,7,26.2618,20.7222,21.1325,17.6857,13.9105,0.2872
I00743,RMC,"BOLTON NHS FOUNDATION TRUST",1792,820,380,220,241,*,*,45.7589,21.2054,12.2768,13.4487,*,*
I00743,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1850,870,394,318,141,103,24,47.0270,21.2973,17.1892,7.6216,5.5676,1.2973
I00743,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2491,268,477,592,524,618,12,10.7587,19.1489,23.7656,21.0357,24.8093,0.4817
I00743,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1555,*,233,230,264,819,*,*,14.9839,14.7910,16.9775,52.6688,*
I00743,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",1301,134,245,335,380,207,0,10.2998,18.8317,25.7494,29.2083,15.9108,0.0000
I00743,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2355,581,598,389,482,*,*,24.6709,25.3928,16.5180,20.4671,*,*
I00743,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2320,61,255,388,652,873,91,2.6293,10.9914,16.7241,28.1034,37.6293,3.9224
I00743,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1752,867,403,228,140,90,24,49.4863,23.0023,13.0137,7.9909,5.1370,1.3699
I00743,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1613,165,559,416,303,127,43,10.2294,34.6559,25.7905,18.7849,7.8735,2.6658
I00743,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1938,347,524,362,441,*,*,17.9051,27.0382,18.6791,22.7554,*,*
