INDICATOR_CODE,DIAGNOSIS_GROUP,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,RCF,"AIREDALE NHS FOUNDATION TRUST",*,0,0.4264
I00699,1,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",20,*,1.2182
I00699,1,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",62,*,2.4955
I00699,1,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",*,0,0.0093
I00699,1,R1H,"BARTS HEALTH NHS TRUST",143,*,5.3297
I00699,1,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",7,0,0.6505
I00699,1,RC1,"BEDFORD HOSPITAL NHS TRUST",*,0,0.0700
I00699,1,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",9,0,0.4913
I00699,1,RMC,"BOLTON NHS FOUNDATION TRUST",10,0,0.5703
I00699,1,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",20,0,0.9347
I00699,1,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",25,0,0.9442
I00699,1,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",12,*,0.4404
I00699,1,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",*,0,0.0318
I00699,1,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",10,0,0.5123
I00699,1,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",19,0,0.5128
I00699,1,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",41,*,0.5867
I00699,1,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",30,*,1.0923
I00699,1,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",*,0,0.0977
I00699,1,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",8,0,0.2279
I00699,1,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",*,0,0.4584
I00699,1,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",*,0,0.1491
I00699,1,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",*,*,0.6719
I00699,1,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",25,0,1.3082
I00699,1,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",34,*,1.1100
I00699,1,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",6,0,0.1201
I00699,1,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",*,0,0.4520
I00699,1,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",*,*,0.1120
I00699,1,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",8,*,0.4229
I00699,1,RJN,"EAST CHESHIRE NHS TRUST",*,*,0.7147
I00699,1,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",15,0,0.5271
I00699,1,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",16,*,1.0500
I00699,1,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",*,0,0.0789
I00699,1,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",*,*,0.3542
I00699,1,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",23,0,1.5024
I00699,1,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",*,0,0.0112
I00699,1,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",*,0,0.3867
I00699,1,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",12,*,0.7445
I00699,1,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",15,*,0.4066
I00699,1,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",48,*,2.7522
I00699,1,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",8,0,0.1944
I00699,1,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",*,0,0.1477
I00699,1,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",50,*,0.9759
I00699,1,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",23,*,0.8626
I00699,1,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",*,*,0.2392
I00699,1,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",75,*,3.7827
I00699,1,RGQ,"IPSWICH HOSPITAL NHS TRUST",*,0,0.0057
I00699,1,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",*,0,0.0631
I00699,1,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",*,0,0.0154
I00699,1,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",33,0,0.8930
I00699,1,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",*,0,0.0204
I00699,1,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",15,0,0.9076
I00699,1,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",42,*,1.2935
I00699,1,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",32,0,1.2070
I00699,1,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",124,*,4.8882
I00699,1,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",28,*,0.7040
I00699,1,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",*,0,0.0193
I00699,1,RPA,"MEDWAY NHS FOUNDATION TRUST",*,*,0.2611
I00699,1,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",*,0,0.0171
I00699,1,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",*,0,0.1904
I00699,1,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",9,0,0.2901
I00699,1,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",11,0,0.2741
I00699,1,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",8,0,0.1714
I00699,1,RVJ,"NORTH BRISTOL NHS TRUST",9,0,0.2742
I00699,1,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",*,0,0.2192
I00699,1,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",36,*,1.4975
I00699,1,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",10,0,0.4148
I00699,1,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",9,*,0.3079
I00699,1,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",11,*,0.2682
I00699,1,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",*,0,0.0081
I00699,1,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",9,*,0.2003
I00699,1,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",*,*,0.1396
I00699,1,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",46,*,1.5309
I00699,1,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",35,*,1.4850
I00699,1,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",66,0,1.5536
I00699,1,RK9,"PLYMOUTH HOSPITALS NHS TRUST",*,0,0.0984
I00699,1,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",*,*,0.1339
I00699,1,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",*,0,0.4661
I00699,1,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",*,*,0.1723
I00699,1,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",*,0,0.2447
I00699,1,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",*,0,0.2205
I00699,1,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",53,*,2.9825
I00699,1,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",26,*,1.4324
I00699,1,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",7,0,0.5951
I00699,1,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",12,0,0.3973
I00699,1,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",44,*,2.1304
I00699,1,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",45,0,1.3232
I00699,1,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",*,*,0.2533
I00699,1,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",*,*,0.1358
I00699,1,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",*,0,0.0165
I00699,1,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",*,*,0.1934
I00699,1,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",*,0,0.0910
I00699,1,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",6,0,0.0938
I00699,1,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",62,*,2.2481
I00699,1,RWJ,"STOCKPORT NHS FOUNDATION TRUST",*,0,0.0447
I00699,1,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",11,0,0.4536
I00699,1,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",9,*,0.9906
I00699,1,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",6,0,0.1287
I00699,1,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",8,*,0.2706
I00699,1,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",16,*,0.6781
