INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,ENG,"ENGLAND",7368,1227589,0.6002
I00731,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",74,6782,1.0911
I00731,RCF,"AIREDALE NHS FOUNDATION TRUST",24,2929,0.8194
I00731,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",27,5974,0.4520
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",63,8094,0.7784
I00731,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",18,3753,0.4796
I00731,R1H,"BARTS HEALTH NHS TRUST",128,22055,0.5804
I00731,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",59,5863,1.0063
I00731,RC1,"BEDFORD HOSPITAL NHS TRUST",23,2907,0.7912
I00731,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",47,6794,0.6918
I00731,RMC,"BOLTON NHS FOUNDATION TRUST",48,4888,0.9820
I00731,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",40,7847,0.5097
I00731,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",67,10583,0.6331
I00731,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",26,5842,0.4451
I00731,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",18,5943,0.3029
I00731,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",57,15826,0.3602
I00731,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",61,8504,0.7173
I00731,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",15,4208,0.3565
I00731,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",56,11467,0.4884
I00731,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",35,4438,0.7886
I00731,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",27,7266,0.3716
I00731,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",7,2900,0.2414
I00731,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",46,11511,0.3996
I00731,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",37,9541,0.3878
I00731,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",33,3956,0.8342
