INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00743,ENG,"ENGLAND",299314,60794,60694,60934,59107,52710,5075,20.3111,20.2777,20.3579,19.7475,17.6103,1.6955
I00743,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2190,1223,286,303,203,121,54,55.8447,13.0594,13.8356,9.2694,5.5251,2.4658
I00743,RCF,"AIREDALE NHS FOUNDATION TRUST",1011,169,107,201,336,191,7,16.7161,10.5836,19.8813,33.2344,18.8922,0.6924
I00743,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1734,15,138,286,381,907,7,0.8651,7.9585,16.4937,21.9723,52.3068,0.4037
I00743,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3310,561,964,776,704,288,17,16.9486,29.1239,23.4441,21.2689,8.7009,0.5136
I00743,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1522,455,505,337,143,55,27,29.8949,33.1800,22.1419,9.3955,3.6137,1.7740
I00743,R1H,"BARTS HEALTH NHS TRUST",3826,1980,773,396,243,200,234,51.7512,20.2039,10.3502,6.3513,5.2274,6.1160
I00743,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2271,327,604,466,353,509,12,14.3989,26.5962,20.5196,15.5438,22.4130,0.5284
I00743,RC1,"BEDFORD HOSPITAL NHS TRUST",1227,92,279,196,270,377,13,7.4980,22.7384,15.9739,22.0049,30.7253,1.0595
I00743,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2407,623,469,508,434,356,17,25.8828,19.4848,21.1051,18.0307,14.7902,0.7063
I00743,RMC,"BOLTON NHS FOUNDATION TRUST",1782,762,399,206,235,142,38,42.7609,22.3906,11.5600,13.1874,7.9686,2.1324
I00743,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1955,868,479,336,144,107,21,44.3990,24.5013,17.1867,7.3657,5.4731,1.0742
I00743,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2378,290,463,541,490,539,55,12.1951,19.4701,22.7502,20.6056,22.6661,2.3129
I00743,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1684,*,199,237,288,925,*,*,11.8171,14.0736,17.1021,54.9287,*
I00743,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2571,648,633,439,527,312,12,25.2042,24.6208,17.0751,20.4979,12.1354,0.4667
I00743,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2355,54,281,370,664,907,79,2.2930,11.9321,15.7113,28.1953,38.5138,3.3546
I00743,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1607,123,528,421,326,108,101,7.6540,32.8563,26.1979,20.2862,6.7206,6.2850
I00743,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1944,346,542,371,406,*,*,17.7984,27.8807,19.0844,20.8848,*,*
I00743,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2030,904,546,262,240,58,20,44.5320,26.8966,12.9064,11.8227,2.8571,0.9852
I00743,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1462,264,163,160,250,360,265,18.0575,11.1491,10.9439,17.0999,24.6238,18.1259
I00743,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3094,879,957,517,337,367,37,28.4098,30.9308,16.7098,10.8920,11.8617,1.1959
I00743,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1345,242,404,321,209,137,32,17.9926,30.0372,23.8662,15.5390,10.1859,2.3792
I00743,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1631,165,334,322,423,361,26,10.1165,20.4782,19.7425,25.9350,22.1337,1.5941
I00743,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2820,972,744,564,465,*,*,34.4681,26.3830,20.0000,16.4894,*,*
I00743,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1168,114,228,432,308,72,14,9.7603,19.5205,36.9863,26.3699,6.1644,1.1986
I00743,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2556,65,347,691,582,853,18,2.5430,13.5759,27.0344,22.7700,33.3725,0.7042
I00743,RJN,"EAST CHESHIRE NHS TRUST",982,52,139,183,200,402,6,5.2953,14.1548,18.6354,20.3666,40.9369,0.6110
I00743,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4208,678,867,1088,1220,305,50,16.1122,20.6036,25.8555,28.9924,7.2481,1.1882
I00743,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2780,1058,715,361,427,189,30,38.0576,25.7194,12.9856,15.3597,6.7986,1.0791
I00743,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",4619,502,826,1062,1333,825,71,10.8682,17.8827,22.9920,28.8591,17.8610,1.5371
I00743,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2675,423,755,681,588,*,*,15.8131,28.2243,25.4579,21.9813,*,*
I00743,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1989,41,272,354,424,847,51,2.0613,13.6752,17.7979,21.3172,42.5842,2.5641
I00743,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3603,97,368,632,674,1820,12,2.6922,10.2137,17.5409,18.7066,50.5135,0.3331
I00743,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1555,565,486,154,261,83,6,36.3344,31.2540,9.9035,16.7846,5.3376,0.3859
I00743,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",1033,157,285,266,205,112,8,15.1985,27.5895,25.7502,19.8451,10.8422,0.7744
I00743,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",3091,227,354,820,792,887,11,7.3439,11.4526,26.5286,25.6228,28.6962,0.3559
