INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00742,ENG,"ENGLAND",9004469,2124408,1859574,1700187,1562727,1434953,322620,23.5928,20.6517,18.8816,17.3550,15.9360,3.5829
I00742,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",53679,30792,6996,6623,4719,2950,1599,57.3632,13.0330,12.3382,8.7911,5.4956,2.9788
I00742,RCF,"AIREDALE NHS FOUNDATION TRUST",32537,7013,4291,6258,9650,4948,377,21.5539,13.1881,19.2335,29.6585,15.2073,1.1587
I00742,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",42039,484,4514,7025,9832,19672,512,1.1513,10.7376,16.7107,23.3878,46.7946,1.2179
I00742,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",86815,18631,27264,18802,14779,6230,1109,21.4606,31.4047,21.6575,17.0236,7.1762,1.2774
I00742,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",43239,14906,12501,8086,4392,2040,1314,34.4735,28.9114,18.7007,10.1575,4.7180,3.0389
I00742,R1H,"BARTS HEALTH NHS TRUST",161833,88371,34616,15821,8997,5744,8284,54.6063,21.3900,9.7761,5.5594,3.5493,5.1189
I00742,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",69039,12724,18788,13918,10440,12605,564,18.4302,27.2136,20.1596,15.1219,18.2578,0.8169
I00742,RC1,"BEDFORD HOSPITAL NHS TRUST",36539,3411,6689,6186,8608,11248,397,9.3352,18.3065,16.9299,23.5584,30.7835,1.0865
I00742,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",56004,18523,11179,10186,9007,6497,612,33.0744,19.9611,18.1880,16.0828,11.6010,1.0928
I00742,RMC,"BOLTON NHS FOUNDATION TRUST",60918,28433,12498,7386,6828,4416,1357,46.6742,20.5161,12.1245,11.2085,7.2491,2.2276
I00742,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",87226,48166,17183,11815,5171,3032,1859,55.2198,19.6994,13.5453,5.9283,3.4760,2.1312
I00742,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",70740,9583,14992,15502,13164,15295,2204,13.5468,21.1931,21.9141,18.6090,21.6214,3.1156
I00742,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",57412,332,9975,9228,9628,27393,856,0.5783,17.3744,16.0733,16.7700,47.7130,1.4910
I00742,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",69415,19418,18055,10828,12825,7622,667,27.9738,26.0102,15.5989,18.4758,10.9803,0.9609
I00742,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",75061,2062,9275,12534,21485,26709,2996,2.7471,12.3566,16.6984,28.6234,35.5831,3.9914
I00742,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",92147,10680,28212,20842,15019,6408,10986,11.5902,30.6163,22.6182,16.2990,6.9541,11.9223
I00742,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",50843,11344,14656,8837,9630,6122,254,22.3118,28.8260,17.3810,18.9407,12.0410,0.4996
I00742,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",56653,24606,15816,7415,6119,2185,512,43.4328,27.9173,13.0885,10.8008,3.8568,0.9037
I00742,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",47032,9498,4885,4903,7259,10893,9594,20.1948,10.3865,10.4248,15.4342,23.1608,20.3989
I00742,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",81834,25054,24071,13047,9504,9331,827,30.6156,29.4144,15.9433,11.6138,11.4024,1.0106
I00742,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",42528,8499,14721,10121,5095,2478,1614,19.9845,34.6148,23.7984,11.9803,5.8267,3.7951
I00742,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",55792,6919,14059,11414,12791,10017,592,12.4014,25.1990,20.4581,22.9262,17.9542,1.0611
I00742,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",73594,28687,17336,13892,11043,2066,570,38.9801,23.5563,18.8765,15.0053,2.8073,0.7745
I00742,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",30214,3467,5365,11068,7607,2198,509,11.4748,17.7567,36.6320,25.1771,7.2748,1.6846
I00742,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",65979,1555,8123,15845,13943,20898,5615,2.3568,12.3115,24.0152,21.1325,31.6737,8.5103
I00742,RJN,"EAST CHESHIRE NHS TRUST",19524,1336,2834,3916,3729,7452,257,6.8429,14.5155,20.0574,19.0996,38.1684,1.3163
I00742,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",105724,20044,23327,27894,25997,7416,1046,18.9588,22.0641,26.3838,24.5895,7.0145,0.9894
I00742,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",79659,36642,17023,8553,11650,4736,1055,45.9986,21.3698,10.7370,14.6248,5.9453,1.3244
I00742,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",106486,12282,19777,22480,27857,18554,5536,11.5339,18.5724,21.1108,26.1602,17.4239,5.1988
I00742,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",57722,12621,16310,13681,10446,4123,541,21.8651,28.2561,23.7015,18.0971,7.1429,0.9373
I00742,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",63612,2243,11816,12100,14141,21687,1625,3.5261,18.5751,19.0216,22.2301,34.0926,2.5545
I00742,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",125989,5208,18817,24771,23615,51971,1607,4.1337,14.9354,19.6612,18.7437,41.2504,1.2755
I00742,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",33298,13355,9464,3483,4905,1804,287,40.1075,28.4221,10.4601,14.7306,5.4177,0.8619
I00742,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",21454,3822,6087,4699,3898,2731,217,17.8149,28.3723,21.9027,18.1691,12.7296,1.0115
I00742,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",90593,9366,11035,22721,21956,24743,772,10.3385,12.1809,25.0803,24.2359,27.3123,0.8522
I00742,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",61217,6587,6139,9732,16130,21329,1300,10.7601,10.0283,15.8975,26.3489,34.8416,2.1236
I00742,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",90683,25461,32357,12065,8147,6750,5903,28.0769,35.6814,13.3046,8.9840,7.4435,6.5095
I00742,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",62356,459,8211,11278,12645,29095,668,0.7361,13.1679,18.0865,20.2787,46.6595,1.0713
I00742,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",27046,710,1571,5951,8523,10010,281,2.6252,5.8086,22.0033,31.5130,37.0110,1.0390
I00742,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",44120,31460,8384,1262,736,316,1962,71.3055,19.0027,2.8604,1.6682,0.7162,4.4470
I00742,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",85112,29870,13019,14318,14405,13043,457,35.0949,15.2963,16.8225,16.9248,15.3245,0.5369
I00742,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",108220,29502,33712,20925,12358,5811,5912,27.2611,31.1514,19.3356,11.4193,5.3696,5.4629
I00742,R1F,"ISLE OF WIGHT NHS TRUST",17348,1214,5852,6579,2624,723,356,6.9979,33.7330,37.9237,15.1257,4.1676,2.0521
I00742,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",31500,7749,7495,8746,5908,1344,258,24.6000,23.7937,27.7651,18.7556,4.2667,0.8190
I00742,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",51001,9053,12339,9435,9009,10524,641,17.7506,24.1936,18.4996,17.6644,20.6349,1.2568
I00742,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",110748,23563,27128,13850,15571,15416,15220,21.2762,24.4953,12.5059,14.0598,13.9199,13.7429
I00742,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",56838,1639,5780,9282,17952,19818,2367,2.8836,10.1693,16.3306,31.5845,34.8675,4.1645
I00742,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",75510,18815,13397,13602,15329,12641,1726,24.9172,17.7420,18.0135,20.3006,16.7408,2.2858
I00742,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",125839,45837,24276,18317,21489,14483,1437,36.4251,19.2913,14.5559,17.0766,11.5092,1.1419
I00742,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",91834,33445,31805,13232,7443,4667,1242,36.4190,34.6331,14.4086,8.1048,5.0820,1.3524
I00742,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",95302,14178,32307,28293,12325,6555,1644,14.8769,33.8996,29.6877,12.9326,6.8781,1.7250
I00742,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",77527,15015,19404,15185,12488,13499,1936,19.3674,25.0287,19.5867,16.1079,17.4120,2.4972
I00742,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",70304,2985,6962,14771,21290,23189,1107,4.2458,9.9027,21.0102,30.2828,32.9839,1.5746
I00742,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",173890,74078,31195,23215,20149,18837,6416,42.6005,17.9395,13.3504,11.5872,10.8327,3.6897
I00742,RPA,"MEDWAY NHS FOUNDATION TRUST",57670,10459,16455,9862,8512,7388,4994,18.1359,28.5330,17.1007,14.7598,12.8108,8.6596
