INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,"ENGLAND",299314,213338,85976,71.2757,28.7243
I00733,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2190,1652,538,75.4338,24.5662
I00733,RCF,"AIREDALE NHS FOUNDATION TRUST",1011,656,355,64.8863,35.1137
I00733,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1734,1209,525,69.7232,30.2768
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3310,2407,903,72.7190,27.2810
I00733,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1522,1056,466,69.3824,30.6176
I00733,R1H,"BARTS HEALTH NHS TRUST",3826,2997,829,78.3325,21.6675
I00733,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2271,1657,614,72.9635,27.0365
I00733,RC1,"BEDFORD HOSPITAL NHS TRUST",1227,861,366,70.1711,29.8289
I00733,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2407,1778,629,73.8679,26.1321
I00733,RMC,"BOLTON NHS FOUNDATION TRUST",1782,1273,509,71.4366,28.5634
I00733,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1955,1293,662,66.1381,33.8619
I00733,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2378,1659,719,69.7645,30.2355
I00733,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1684,1256,428,74.5843,25.4157
I00733,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2571,1729,842,67.2501,32.7499
I00733,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2355,1635,720,69.4268,30.5732
I00733,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1607,1216,391,75.6689,24.3311
I00733,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1944,1348,596,69.3416,30.6584
I00733,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2030,1535,495,75.6158,24.3842
I00733,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1462,1058,404,72.3666,27.6334
I00733,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3094,2069,1025,66.8714,33.1286
I00733,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1345,1006,339,74.7955,25.2045
I00733,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1631,1170,461,71.7351,28.2649
I00733,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2820,1847,973,65.4965,34.5035
I00733,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1168,785,383,67.2089,32.7911
I00733,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2556,1756,800,68.7011,31.2989
I00733,RJN,"EAST CHESHIRE NHS TRUST",982,688,294,70.0611,29.9389
I00733,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4208,2751,1457,65.3755,34.6245
I00733,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2780,1931,849,69.4604,30.5396
I00733,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",4619,3240,1379,70.1451,29.8549
I00733,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2675,1829,846,68.3738,31.6262
I00733,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1989,1480,509,74.4093,25.5907
I00733,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3603,2620,983,72.7172,27.2828
I00733,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1555,1110,445,71.3826,28.6174
I00733,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",1033,729,304,70.5712,29.4288
I00733,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",3091,1972,1119,63.7981,36.2019
I00733,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1862,1352,510,72.6101,27.3899
I00733,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1441,1051,390,72.9355,27.0645
I00733,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2128,1608,520,75.5639,24.4361
I00733,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",942,656,286,69.6391,30.3609
I00733,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",550,399,151,72.5455,27.4545
I00733,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",3454,2396,1058,69.3688,30.6312
I00733,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2233,1667,566,74.6529,25.3471
I00733,R1F,"ISLE OF WIGHT NHS TRUST",957,587,370,61.3375,38.6625
I00733,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1692,1266,426,74.8227,25.1773
I00733,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1735,1264,471,72.8530,27.1470
I00733,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",3235,2442,793,75.4869,24.5131
I00733,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1247,864,383,69.2863,30.7137
I00733,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2432,1753,679,72.0806,27.9194
I00733,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",4275,3068,1207,71.7661,28.2339
I00733,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2525,1869,656,74.0198,25.9802
I00733,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",2617,1996,621,76.2705,23.7295
I00733,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1850,1314,536,71.0270,28.9730
I00733,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2482,1724,758,69.4601,30.5399
I00733,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",3486,2740,746,78.6001,21.3999
I00733,RPA,"MEDWAY NHS FOUNDATION TRUST",2028,1445,583,71.2525,28.7475
I00733,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1627,1129,498,69.3915,30.6085
I00733,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",2102,1475,627,70.1713,29.8287
I00733,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",2999,2098,901,69.9567,30.0433
I00733,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1294,921,373,71.1747,28.8253
I00733,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3604,2508,1096,69.5893,30.4107
I00733,RVJ,"NORTH BRISTOL NHS TRUST",2367,1777,590,75.0739,24.9261
I00733,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",1930,1288,642,66.7358,33.2642
I00733,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1335,1048,287,78.5019,21.4981
I00733,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",2121,1518,603,71.5700,28.4300
I00733,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",2870,1903,967,66.3066,33.6934
