INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,ENG,"ENGLAND",299314,5535,96776,97382,1.8492,32.3326,32.5351
I00721,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2190,187,1046,1118,8.5388,47.7626,51.0502
I00721,RCF,"AIREDALE NHS FOUNDATION TRUST",1011,0,290,290,0.0000,28.6845,28.6845
I00721,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1734,16,817,817,0.9227,47.1165,47.1165
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3310,0,1324,1324,0.0000,40.0000,40.0000
I00721,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1522,0,322,322,0.0000,21.1564,21.1564
I00721,R1H,"BARTS HEALTH NHS TRUST",3826,363,1469,1484,9.4877,38.3952,38.7872
I00721,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2271,376,513,687,16.5566,22.5892,30.2510
I00721,RC1,"BEDFORD HOSPITAL NHS TRUST",1227,0,329,329,0.0000,26.8134,26.8134
I00721,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2407,3,619,620,0.1246,25.7167,25.7582
I00721,RMC,"BOLTON NHS FOUNDATION TRUST",1782,0,521,521,0.0000,29.2368,29.2368
I00721,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1955,0,535,535,0.0000,27.3657,27.3657
I00721,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2378,0,543,543,0.0000,22.8343,22.8343
I00721,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1684,166,774,780,9.8575,45.9620,46.3183
I00721,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2571,0,900,900,0.0000,35.0058,35.0058
I00721,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2355,0,800,800,0.0000,33.9703,33.9703
I00721,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1607,17,794,795,1.0579,49.4088,49.4711
I00721,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1944,0,415,415,0.0000,21.3477,21.3477
I00721,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2030,0,348,348,0.0000,17.1429,17.1429
I00721,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1462,0,542,542,0.0000,37.0725,37.0725
