INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00720,ENG,"ENGLAND",9004469,8349,156420,157742,0.0927,1.7371,1.7518
I00720,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",53679,265,1693,1798,0.4937,3.1539,3.3495
I00720,RCF,"AIREDALE NHS FOUNDATION TRUST",32537,0,516,516,0.0000,1.5859,1.5859
I00720,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",42039,18,1216,1216,0.0428,2.8926,2.8926
I00720,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",86815,1,2040,2041,0.0012,2.3498,2.3510
I00720,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",43239,0,597,597,0.0000,1.3807,1.3807
I00720,R1H,"BARTS HEALTH NHS TRUST",161833,444,2591,2614,0.2744,1.6010,1.6152
I00720,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",69039,915,948,1428,1.3253,1.3731,2.0684
I00720,RC1,"BEDFORD HOSPITAL NHS TRUST",36539,0,510,510,0.0000,1.3958,1.3958
I00720,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",56004,3,990,991,0.0054,1.7677,1.7695
I00720,RMC,"BOLTON NHS FOUNDATION TRUST",60918,1,829,830,0.0016,1.3608,1.3625
I00720,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",87226,0,857,857,0.0000,0.9825,0.9825
I00720,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",70740,0,864,864,0.0000,1.2214,1.2214
I00720,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",57412,298,1193,1205,0.5191,2.0780,2.0989
I00720,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",69415,0,1505,1505,0.0000,2.1681,2.1681
I00720,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",75061,0,1488,1488,0.0000,1.9824,1.9824
I00720,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",92147,26,1350,1351,0.0282,1.4651,1.4661
I00720,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",50843,0,689,689,0.0000,1.3552,1.3552
I00720,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",56653,0,722,722,0.0000,1.2744,1.2744
I00720,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",47032,0,769,769,0.0000,1.6351,1.6351
I00720,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",81834,0,1965,1965,0.0000,2.4012,2.4012
I00720,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",42528,0,825,825,0.0000,1.9399,1.9399
I00720,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",55792,0,1234,1234,0.0000,2.2118,2.2118
I00720,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",73594,0,1759,1759,0.0000,2.3901,2.3901
I00720,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",30214,0,553,553,0.0000,1.8303,1.8303
I00720,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",65979,319,1559,1562,0.4835,2.3629,2.3674
I00720,RJN,"EAST CHESHIRE NHS TRUST",19524,0,362,362,0.0000,1.8541,1.8541
