INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01964,ENG,"ENGLAND",1104055,9004469,12.2612
I01964,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",9465,53679,17.6326
I01964,RCF,"AIREDALE NHS FOUNDATION TRUST",4521,32537,13.8950
I01964,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",4082,42039,9.7100
I01964,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",11385,86815,13.1141
I01964,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",5107,43239,11.8111
I01964,R1H,"BARTS HEALTH NHS TRUST",20635,161833,12.7508
I01964,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",9607,69039,13.9153
I01964,RC1,"BEDFORD HOSPITAL NHS TRUST",5704,36539,15.6107
I01964,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",6608,56004,11.7992
I01964,RMC,"BOLTON NHS FOUNDATION TRUST",6043,60918,9.9199
I01964,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",11353,87226,13.0156
I01964,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",8762,70740,12.3862
I01964,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",6213,57412,10.8218
I01964,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",8328,69415,11.9974
I01964,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",8454,75061,11.2628
I01964,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",13689,92147,14.8556
I01964,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",6059,50843,11.9171
I01964,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",4705,56653,8.3049
I01964,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",4747,47032,10.0931
I01964,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",10433,81834,12.7490
I01964,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",5103,42528,11.9992
I01964,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",7849,55792,14.0683
I01964,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",10601,73594,14.4047
I01964,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",3977,30214,13.1628
I01964,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",7136,65979,10.8156
I01964,RJN,"EAST CHESHIRE NHS TRUST",1416,19524,7.2526
I01964,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",13101,105724,12.3917
I01964,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",9091,79659,11.4124
I01964,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",11276,106486,10.5892
I01964,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",7278,57722,12.6087
I01964,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",8985,63612,14.1247
