INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01963,ENG,"ENGLAND",22455,9004469,0.2494
I01963,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",51,53679,0.0950
I01963,RCF,"AIREDALE NHS FOUNDATION TRUST",10,32537,0.0307
I01963,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",9,42039,0.0214
I01963,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",42,86815,0.0484
I01963,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",3,43239,0.0069
I01963,R1H,"BARTS HEALTH NHS TRUST",618,161833,0.3819
I01963,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",75,69039,0.1086
I01963,RC1,"BEDFORD HOSPITAL NHS TRUST",50,36539,0.1368
I01963,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",49,56004,0.0875
I01963,RMC,"BOLTON NHS FOUNDATION TRUST",662,60918,1.0867
I01963,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",238,87226,0.2729
I01963,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",21,70740,0.0297
I01963,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",141,57412,0.2456
I01963,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",54,69415,0.0778
I01963,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",34,75061,0.0453
I01963,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",798,92147,0.8660
I01963,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",11,50843,0.0216
I01963,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",12,56653,0.0212
I01963,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",171,47032,0.3636
I01963,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",0,81834,0.0000
I01963,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",36,42528,0.0847
I01963,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",39,55792,0.0699
I01963,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",35,73594,0.0476
I01963,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1,30214,0.0033
I01963,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",0,65979,0.0000
I01963,RJN,"EAST CHESHIRE NHS TRUST",1,19524,0.0051
I01963,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",245,105724,0.2317
I01963,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",72,79659,0.0904
I01963,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",49,106486,0.0460
I01963,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",183,57722,0.3170
I01963,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",16,63612,0.0252
I01963,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",372,125989,0.2953
I01963,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",0,33298,0.0000
I01963,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",90,21454,0.4195
I01963,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",499,90593,0.5508
I01963,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",146,61217,0.2385
I01963,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",95,90683,0.1048
I01963,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",6,62356,0.0096
I01963,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",30,27046,0.1109
I01963,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",62,44120,0.1405
I01963,RWA,"HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST",19,85112,0.0223
I01963,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",332,108220,0.3068
I01963,R1F,"ISLE OF WIGHT NHS TRUST",335,17348,1.9311
I01963,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",104,31500,0.3302
I01963,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",23,51001,0.0451
I01963,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",308,110748,0.2781
I01963,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",30,56838,0.0528
I01963,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",83,75510,0.1099
I01963,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",1,125839,0.0008
I01963,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",441,91834,0.4802
I01963,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",132,95302,0.1385
I01963,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",3,77527,0.0039
I01963,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",64,70304,0.0910
I01963,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",84,173890,0.0483
I01963,RPA,"MEDWAY NHS FOUNDATION TRUST",27,57670,0.0468
I01963,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",131,49346,0.2655
I01963,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",127,57253,0.2218
