INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,ENG,"ENGLAND",284118,5163,99670,100227,2,35,35
I00721,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2005,25,1020,1020,1,51,51
I00721,RCF,"AIREDALE NHS FOUNDATION TRUST",1000,*,255,260,*,26,26
I00721,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1670,20,695,700,1,42,42
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2930,0,1110,1110,0,38,38
I00721,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1565,0,440,440,0,28,28
I00721,R1H,"BARTS HEALTH NHS TRUST",3695,375,1395,1465,10,38,40
I00721,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2120,325,530,640,15,25,30
I00721,RC1,"BEDFORD HOSPITAL NHS TRUST",1270,0,335,335,0,26,26
I00721,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2345,*,650,650,*,28,28
I00721,RMC,"BOLTON NHS FOUNDATION TRUST",1740,0,485,485,0,28,28
I00721,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1885,0,440,440,0,23,23
I00721,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2320,*,930,930,*,40,40
I00721,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1600,195,815,850,12,51,53
I00721,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2315,0,925,925,0,40,40
I00721,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2145,0,880,880,0,41,41
I00721,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1570,10,865,865,1,55,55
I00721,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1770,0,525,525,0,30,30
I00721,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1545,0,525,525,0,34,34
I00721,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",2990,0,1160,1160,0,39,39
I00721,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1225,0,600,600,0,49,49
I00721,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1510,0,795,795,0,53,53
I00721,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2655,0,1355,1355,0,51,51
I00721,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1075,0,360,360,0,33,33
I00721,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2200,85,830,835,4,38,38
I00721,RJN,"EAST CHESHIRE NHS TRUST",905,0,205,205,0,23,23
I00721,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4015,0,925,925,0,23,23
I00721,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2680,0,885,885,0,33,33
I00721,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",4440,0,1360,1360,0,31,31
I00721,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2475,0,305,305,0,12,12
I00721,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1920,0,830,830,0,43,43
I00721,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3525,0,1535,1535,0,44,44
I00721,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1400,180,455,460,13,33,33
I00721,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",1090,0,250,250,0,23,23
I00721,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",2900,0,1025,1025,0,35,35
I00721,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1680,50,635,635,3,38,38
I00721,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1425,*,800,800,*,56,56
I00721,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2025,155,845,875,8,42,43
I00721,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",895,0,265,265,0,30,30
I00721,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",525,0,270,270,0,51,51
I00721,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",3335,120,995,1030,4,30,31
I00721,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2090,*,1225,1225,*,59,59
