INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I02038,ENG,"ENGLAND",86040,9265338,0.9
I02038,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",0,62600,0.0
I02038,RCF,"AIREDALE NHS FOUNDATION TRUST",0,33230,0.0
I02038,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",45,41810,0.1
I02038,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1350,85575,1.6
I02038,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",0,45885,0.0
I02038,R1H,"BARTS HEALTH NHS TRUST",285,175470,0.2
I02038,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",225,79520,0.3
I02038,RC1,"BEDFORD HOSPITAL NHS TRUST",0,36495,0.0
I02038,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1065,54465,2.0
I02038,RMC,"BOLTON NHS FOUNDATION TRUST",0,60800,0.0
I02038,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",425,97625,0.4
I02038,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",790,68980,1.1
I02038,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",835,63735,1.3
I02038,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",485,71195,0.7
I02038,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",340,76110,0.4
I02038,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0,94100,0.0
I02038,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",0,51145,0.0
I02038,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",545,48370,1.1
I02038,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",1780,82480,2.2
I02038,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",0,37280,0.0
I02038,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",15,57880,0.0
I02038,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",1590,73675,2.2
I02038,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",0,29255,0.0
I02038,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",0,67445,0.0
I02038,RJN,"EAST CHESHIRE NHS TRUST",0,19715,0.0
I02038,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",3010,108120,2.8
I02038,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2110,82820,2.5
I02038,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",1100,109845,1.0
I02038,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",0,62155,0.0
I02038,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",560,62900,0.9
I02038,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",485,130935,0.4
I02038,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",0,32970,0.0
I02038,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",0,24180,0.0
I02038,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",1130,90035,1.3
I02038,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",0,63630,0.0
I02038,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",490,93985,0.5
I02038,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",785,64550,1.2
I02038,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",285,27105,1.1
I02038,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",15,45740,0.0
I02038,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",1605,85055,1.9
I02038,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",1215,108285,1.1
I02038,R1F,"ISLE OF WIGHT NHS TRUST",*,17550,*
I02038,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",345,33520,1.0
I02038,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",0,52645,0.0
I02038,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",0,113710,0.0
I02038,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",0,59135,0.0
I02038,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",1515,79450,1.9
I02038,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",1305,125170,1.0
I02038,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",0,91320,0.0
I02038,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",1750,105010,1.7
I02038,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",0,81200,0.0
I02038,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",600,76215,0.8
I02038,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",520,177505,0.3
I02038,RPA,"MEDWAY NHS FOUNDATION TRUST",0,56060,0.0
