INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00732,ENG,"ENGLAND",286761,8108837,3.5
I00732,RCF,"AIREDALE NHS FOUNDATION TRUST",1025,30625,3.3
I00732,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1620,38085,4.3
I00732,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2920,75840,3.9
I00732,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1605,44505,3.6
I00732,R1H,"BARTS HEALTH NHS TRUST",3500,152500,2.3
I00732,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",3030,110235,2.7
I00732,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2360,49540,4.8
I00732,RMC,"BOLTON NHS FOUNDATION TRUST",1690,55890,3.0
I00732,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1825,86740,2.1
I00732,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2215,59035,3.8
I00732,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1625,56550,2.9
I00732,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2240,64680,3.5
I00732,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2175,58900,3.7
I00732,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1625,89500,1.8
I00732,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1805,47240,3.8
I00732,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1505,43535,3.5
I00732,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3045,72510,4.2
I00732,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1305,31930,4.1
I00732,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1490,46645,3.2
I00732,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2795,63470,4.4
I00732,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1120,25690,4.4
I00732,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2190,60970,3.6
I00732,RJN,"EAST CHESHIRE NHS TRUST",940,18200,5.2
I00732,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",3980,96255,4.1
I00732,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2730,80130,3.4
I00732,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",4335,97955,4.4
I00732,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2615,58420,4.5
I00732,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1785,53735,3.3
I00732,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3680,106755,3.4
I00732,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1405,28780,4.9
I00732,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",1155,21455,5.4
I00732,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",3040,77595,3.9
I00732,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1825,54365,3.4
I00732,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1340,67660,2.0
I00732,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2220,62060,3.6
I00732,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",960,24920,3.9
I00732,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",505,41730,1.2
I00732,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",3240,68740,4.7
I00732,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2095,91790,2.3
I00732,R1F,"ISLE OF WIGHT NHS TRUST",870,16685,5.2
I00732,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1595,29500,5.4
I00732,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1655,45595,3.6
I00732,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",3015,86345,3.5
I00732,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1185,58490,2.0
I00732,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2395,66740,3.6
I00732,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",3965,95505,4.2
I00732,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2405,86675,2.8
I00732,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4095,102695,4.0
I00732,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",2555,94930,2.7
I00732,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2335,70555,3.3
I00732,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",3255,143385,2.3
I00732,RPA,"MEDWAY NHS FOUNDATION TRUST",1930,51055,3.8
I00732,RAJ,"MID AND SOUTH ESSEX NHS FOUNDATION TRUST",6365,170865,3.7
I00732,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1545,49015,3.2
I00732,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",2975,84825,3.5
I00732,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1345,37740,3.6
