INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,PRE_EXCLUSION_SPELLS,COVID19_SPELLS,POST_EXCLUSION_SPELLS,EXCLUSION_RATE
I02039,ENG,"ENGLAND",9321331,13248,9308083,0.1
I02039,RCF,"AIREDALE NHS FOUNDATION TRUST",32990,35,32955,0.1
I02039,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",44835,85,44750,0.2
I02039,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",84135,315,83820,0.4
I02039,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",48395,80,48315,0.2
I02039,R1H,"BARTS HEALTH NHS TRUST",173910,500,173410,0.3
I02039,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",119750,230,119520,0.2
I02039,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",55845,35,55810,0.1
I02039,RMC,"BOLTON NHS FOUNDATION TRUST",60185,105,60080,0.2
I02039,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",93585,45,93540,0.0
I02039,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",69640,60,69580,0.1
I02039,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",62040,40,62000,0.1
I02039,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",70350,45,70310,0.1
I02039,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",73500,85,73415,0.1
I02039,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",97865,255,97610,0.3
I02039,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",51280,50,51225,0.1
I02039,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",47895,45,47845,0.1
I02039,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",78130,70,78065,0.1
I02039,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",35140,225,34915,0.6
I02039,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",57285,55,57230,0.1
I02039,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",72675,50,72625,0.1
I02039,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",28955,15,28940,0.1
I02039,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",67815,60,67750,0.1
I02039,RJN,"EAST CHESHIRE NHS TRUST",19650,15,19635,0.1
I02039,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",108905,55,108850,0.1
I02039,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",90680,30,90650,0.0
I02039,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",110120,105,110015,0.1
I02039,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",64025,35,63990,0.1
I02039,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",62105,140,61965,0.2
I02039,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",122240,215,122025,0.2
I02039,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",32610,30,32585,0.1
I02039,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",23580,75,23505,0.3
I02039,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",93040,85,92955,0.1
I02039,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",61625,35,61590,0.1
I02039,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",95945,260,95685,0.3
I02039,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",68830,105,68725,0.2
I02039,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",28260,30,28230,0.1
I02039,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",45140,155,44980,0.3
I02039,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",84115,45,84070,0.1
I02039,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",110430,350,110080,0.3
I02039,R1F,"ISLE OF WIGHT NHS TRUST",18665,10,18655,0.1
I02039,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",32955,25,32930,0.1
I02039,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",49890,40,49845,0.1
I02039,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",109595,405,109190,0.4
I02039,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",62395,90,62305,0.1
I02039,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",77620,40,77575,0.1
I02039,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",119725,95,119635,0.1
I02039,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",91420,335,91085,0.4
I02039,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",116385,185,116195,0.2
I02039,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",104450,460,103985,0.4
I02039,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",77930,50,77880,0.1
I02039,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",173550,145,173410,0.1
I02039,RPA,"MEDWAY NHS FOUNDATION TRUST",56270,115,56160,0.2
I02039,RAJ,"MID AND SOUTH ESSEX NHS FOUNDATION TRUST",190530,225,190305,0.1
I02039,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",52290,60,52235,0.1
I02039,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",91770,60,91705,0.1
I02039,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",41275,90,41185,0.2
I02039,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",88580,40,88545,0.0
I02039,RVJ,"NORTH BRISTOL NHS TRUST",91765,85,91680,0.1
