INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01965,ENG,"ENGLAND",5.0976,19
I01965,RCF,"AIREDALE NHS FOUNDATION TRUST",4.2784,13
I01965,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",4.2082,11
I01965,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",5.5193,13
I01965,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",5.0192,19
I01965,R1H,"BARTS HEALTH NHS TRUST",6.7667,19
I01965,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",4.9915,19
I01965,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",6.3617,13
I01965,RMC,"BOLTON NHS FOUNDATION TRUST",4.9076,19
I01965,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",4.8247,19
I01965,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",5.1163,19
I01965,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",4.8793,19
I01965,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",4.7348,19
I01965,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3.7334,19
I01965,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",4.2640,19
I01965,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",5.2721,19
I01965,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",3.3809,19
I01965,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",4.6477,13
I01965,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",3.5981,19
I01965,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",2.7748,19
I01965,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",4.3980,19
I01965,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",3.3202,19
I01965,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",4.5520,19
I01965,RJN,"EAST CHESHIRE NHS TRUST",5.2850,12
I01965,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4.3964,19
I01965,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",5.8922,13
I01965,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",5.1062,19
I01965,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",5.4816,19
I01965,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",5.7534,19
I01965,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3.6958,19
I01965,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",4.8903,13
I01965,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",4.2161,19
I01965,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",4.2137,19
I01965,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",3.4743,13
I01965,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",6.0304,19
I01965,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",4.0319,19
I01965,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",3.4825,12
I01965,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",4.8245,19
I01965,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",6.5190,19
I01965,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",7.1709,19
I01965,R1F,"ISLE OF WIGHT NHS TRUST",5.4878,13
I01965,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",5.1122,19
I01965,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",6.0925,19
I01965,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",5.4359,19
I01965,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",4.3256,19
I01965,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",6.2067,19
I01965,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",4.3616,19
I01965,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",3.8639,19
I01965,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4.3434,19
I01965,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",5.5809,19
I01965,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",4.8276,19
I01965,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",5.7104,19
I01965,RPA,"MEDWAY NHS FOUNDATION TRUST",5.0112,19
I01965,RAJ,"MID AND SOUTH ESSEX NHS FOUNDATION TRUST",4.8605,19
I01965,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",5.4751,12
I01965,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",4.8500,19
I01965,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",4.4560,19
I01965,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",5.0456,19
I01965,RVJ,"NORTH BRISTOL NHS TRUST",5.5441,19
I01965,RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",4.0025,13
I01965,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",4.6292,19
I01965,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",6.1055,19
I01965,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",3.2648,13
I01965,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",4.0524,19
I01965,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",3.4271,19
I01965,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",4.5780,19
I01965,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",4.8568,19
I01965,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",6.8908,19
I01965,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",5.9274,19
I01965,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",5.0686,13
I01965,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",4.7505,19
I01965,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",5.1862,19
I01965,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",3.0791,19
I01965,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",5.0435,12
I01965,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",3.9419,13
I01965,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",6.1069,19
I01965,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",6.2466,19
I01965,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",4.5107,13
I01965,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",6.4812,13
I01965,RNZ,"SALISBURY NHS FOUNDATION TRUST",4.2912,19
I01965,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",5.0524,19
I01965,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",5.7994,19
I01965,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",5.1225,19
I01965,RXW,"SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",5.2335,19
I01965,RH5,"SOMERSET NHS FOUNDATION TRUST",4.6401,19
I01965,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",4.4480,13
I01965,R0B,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",4.1763,19
I01965,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",4.3704,19
I01965,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",4.5502,19
I01965,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",5.8225,19
I01965,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",6.0622,19
I01965,RWJ,"STOCKPORT NHS FOUNDATION TRUST",4.0621,13
I01965,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",5.8300,19
I01965,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",6.1505,19
I01965,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",4.8888,19
I01965,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",3.7503,19
I01965,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",5.4618,19
I01965,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",4.5664,19
I01965,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",4.1111,13
I01965,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",6.0526,19
I01965,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",3.4719,13
I01965,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",7.6693,19
I01965,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",5.3583,12
I01965,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",4.2689,19
I01965,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",5.5127,13
I01965,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",6.2759,19
I01965,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",3.6238,19
I01965,RA7,"UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST",5.5290,19
I01965,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",3.8385,19
I01965,RTG,"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST",5.3108,19
I01965,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",5.2444,19
