INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01966,ENG,"ENGLAND",5.2135,19
I01966,RCF,"AIREDALE NHS FOUNDATION TRUST",4.2679,13
I01966,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",5.3666,11
I01966,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",5.7764,13
I01966,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",5.4462,19
I01966,R1H,"BARTS HEALTH NHS TRUST",5.6191,19
I01966,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",4.9453,19
I01966,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",6.0757,13
I01966,RMC,"BOLTON NHS FOUNDATION TRUST",4.3756,19
I01966,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",4.3710,19
I01966,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",5.0197,19
I01966,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",3.7757,19
I01966,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",5.1494,19
I01966,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",5.7458,19
I01966,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",4.9759,19
I01966,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",5.8497,19
I01966,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",3.5177,19
I01966,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",4.5929,13
I01966,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",5.1670,19
I01966,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",3.6980,19
I01966,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",5.3051,19
I01966,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",4.0479,19
I01966,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",4.6095,19
I01966,RJN,"EAST CHESHIRE NHS TRUST",5.4316,12
I01966,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4.5709,19
I01966,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",5.0607,13
I01966,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",5.8007,19
I01966,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",6.1794,19
I01966,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",5.3125,19
I01966,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",4.2624,19
I01966,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",6.0750,13
I01966,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",5.4731,19
I01966,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",4.9655,19
I01966,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",3.7626,13
I01966,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",6.3213,19
I01966,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",4.7011,19
I01966,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",4.1574,12
I01966,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",5.1921,19
I01966,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",5.7955,19
I01966,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",6.8972,19
