INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SITE_CODE,SITE_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL,SITE_TYPE,NO_PROVIDERS_AT_SITE,SITE_OWNER,SITE_POSTCODE
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",RCF22,"AIREDALE GENERAL HOSPITAL",0.8927,2,32955,1030,1155.0000,0.9115,1.0944,0.8521,1.1736,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD20 6TD
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK02,"ASHFORD HOSPITAL",*,*,1360,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,TW15 3AA
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK55,"ASHTEAD HOSPITAL",*,*,*,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,KT21 2SB
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK48,"RUNNYMEDE HOSPITAL",*,*,35,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,KT16 0RQ
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK01,"ST PETER'S HOSPITAL",0.9712,2,43300,1650,1700.0000,0.9267,1.0773,0.8549,1.1697,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,KT16 0PZ
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK49,"WOKING NUFFIELD HOSPITAL",*,*,50,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,GU21 4BY
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",.,"NOT PROVIDED",*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4DG,"KING GEORGE HOSPITAL",0.9923,2,18650,760,770.0000,0.8922,1.1166,0.8477,1.1797,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG3 8YB
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4QH,"QUEEN'S HOSPITAL",1.0220,2,64950,2215,2170.0000,0.9349,1.0682,0.8563,1.1678,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,RM7 0AG
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4NH,"NOT PROVIDED",*,*,20,0,*,*,*,*,*,NOT PROVIDED,ONE,TRUST,NOT PROVIDED
