INDICATOR_CODE,PROVIDER,PROVIDER NAME,NUMERATOR,DENOMINATOR,RATE
I00731,R1F,ISLE OF WIGHT NHS TRUST,*,*,0.2
I00731,R1H,BARTS HEALTH NHS TRUST,131,19376,0.7
I00731,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,73,16001,0.5
I00731,RA3,WESTON AREA HEALTH NHS TRUST,10,1710,0.6
I00731,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,20,3454,0.6
I00731,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,195,15673,1.2
I00731,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,45,5591,0.8
I00731,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,64,12388,0.5
I00731,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,54,8615,0.6
I00731,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,94,9693,1
I00731,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,12,2357,0.5
I00731,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,21,3622,0.6
I00731,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,18,3798,0.5
I00731,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,54,8656,0.6
I00731,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,26,4914,0.5
I00731,RBK,WALSALL HEALTHCARE NHS TRUST,23,4384,0.5
I00731,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,32,8723,0.4
I00731,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,28,8348,0.3
I00731,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,20,3984,0.5
I00731,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,21,3733,0.6
I00731,RC1,BEDFORD HOSPITAL NHS TRUST,23,3688,0.6
I00731,RC3,EALING HOSPITAL NHS TRUST,9,2052,0.4
I00731,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,40,7812,0.5
I00731,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,56,10645,0.5
I00731,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,22,4469,0.5
I00731,RCF,AIREDALE NHS FOUNDATION TRUST,33,3244,1
I00731,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",32,4928,0.6
I00731,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,28,6099,0.5
I00731,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,31,4162,0.7
I00731,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,30,7348,0.4
I00731,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,19,4073,0.5
I00731,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,53,6679,0.8
I00731,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,46,7232,0.6
I00731,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,42,8641,0.5
I00731,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,80,11767,0.7
I00731,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,149,1984,7.5
I00731,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,74,11205,0.7
I00731,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,97,8940,1.1
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",72,8117,0.9
I00731,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,22,4516,0.5
I00731,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,45,7354,0.6
I00731,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,30,4379,0.7
I00731,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,16,2309,0.7
I00731,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,20,7848,0.3
I00731,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,46,4812,1
I00731,RGQ,IPSWICH HOSPITAL NHS TRUST,58,7294,0.8
I00731,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,14,4325,0.3
I00731,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,103,18390,0.6
I00731,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,106,13880,0.8
I00731,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,96,19673,0.5
I00731,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,177,24252,0.7
I00731,RHU,PORTSMOUTH HOSPITALS NHS TRUST,64,13982,0.5
I00731,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,45,12416,0.4
I00731,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,206,26158,0.8
I00731,RJ2,LEWISHAM AND GREENWICH NHS TRUST,18,4588,0.4
I00731,RJ6,CROYDON HEALTH SERVICES NHS TRUST,15,3152,0.5
I00731,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,102,23621,0.4
I00731,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,25,4975,0.5
I00731,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,23,3870,0.6
I00731,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,119,12970,0.9
I00731,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,21,5011,0.4
I00731,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,64,8623,0.7
I00731,RJN,EAST CHESHIRE NHS TRUST,13,2129,0.6
I00731,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,33,5640,0.6
I00731,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,107,17534,0.6
I00731,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,27,6493,0.4
I00731,RK9,PLYMOUTH HOSPITALS NHS TRUST,111,14315,0.8
I00731,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,82,15063,0.5
I00731,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,*,*,0.2
I00731,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,59,8227,0.7
I00731,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,67,14976,0.4
I00731,RLQ,WYE VALLEY NHS TRUST,41,6357,0.6
I00731,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,12,3395,0.4
I00731,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,77,16582,0.5
I00731,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,103,14746,0.7
I00731,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,62,10691,0.6
I00731,RMC,BOLTON NHS FOUNDATION TRUST,37,6678,0.6
I00731,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,19,3881,0.5
I00731,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,37,7057,0.5
I00731,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,50,11460,0.4
I00731,RN7,DARTFORD AND GRAVESHAM NHS TRUST,48,13530,0.4
I00731,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,53,7292,0.7
I00731,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,32,7515,0.4
I00731,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,16,5431,0.3
I00731,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,71,7466,1
I00731,RNZ,SALISBURY NHS FOUNDATION TRUST,34,6547,0.5
I00731,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,47,10826,0.4
I00731,RPA,MEDWAY NHS FOUNDATION TRUST,48,8454,0.6
I00731,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,94,9677,1
I00731,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,35,10614,0.3
