INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00743,R1F,ISLE OF WIGHT NHS TRUST,874,*,262,373,148,55,*,*,30,42.7,16.9,6.3,*
I00743,R1H,BARTS HEALTH NHS TRUST,3568,1918,732,376,256,178,108,53.8,20.5,10.5,7.2,5,3
I00743,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1267,*,52,136,333,734,*,*,4.1,10.7,26.3,57.9,*
I00743,RA3,WESTON AREA HEALTH NHS TRUST,973,172,149,207,330,*,*,17.7,15.3,21.3,33.9,*,*
I00743,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,965,29,74,320,426,108,8,3,7.7,33.2,44.1,11.2,0.8
I00743,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1754,366,404,280,305,360,39,20.9,23,16,17.4,20.5,2.2
I00743,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1582,187,481,465,350,91,8,11.8,30.4,29.4,22.1,5.8,0.5
I00743,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1842,872,401,312,127,95,35,47.3,21.8,16.9,6.9,5.2,1.9
I00743,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2139,335,359,489,424,514,18,15.7,16.8,22.9,19.8,24,0.8
I00743,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1171,227,287,296,246,85,30,19.4,24.5,25.3,21,7.3,2.6
I00743,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,854,444,221,107,42,21,19,52,25.9,12.5,4.9,2.5,2.2
I00743,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,937,76,344,234,148,119,16,8.1,36.7,25,15.8,12.7,1.7
I00743,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1276,35,133,169,388,529,22,2.7,10.4,13.2,30.4,41.5,1.7
I00743,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1527,117,390,528,265,217,10,7.7,25.5,34.6,17.4,14.2,0.7
I00743,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1084,106,217,413,272,*,*,9.8,20,38.1,25.1,*,*
I00743,RBK,WALSALL HEALTHCARE NHS TRUST,1473,632,354,219,163,90,15,42.9,24,14.9,11.1,6.1,1
I00743,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2204,687,392,344,348,400,33,31.2,17.8,15.6,15.8,18.1,1.5
I00743,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2052,997,355,359,186,133,22,48.6,17.3,17.5,9.1,6.5,1.1
I00743,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1406,207,252,250,251,432,14,14.7,17.9,17.8,17.9,30.7,1
I00743,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1281,66,318,486,343,*,*,5.2,24.8,37.9,26.8,*,*
I00743,RC1,BEDFORD HOSPITAL NHS TRUST,1148,78,268,168,277,350,7,6.8,23.3,14.6,24.1,30.5,0.6
I00743,RC3,EALING HOSPITAL NHS TRUST,652,163,229,206,36,*,*,25,35.1,31.6,5.5,*,*
I00743,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1527,194,349,333,294,323,34,12.7,22.9,21.8,19.3,21.2,2.2
I00743,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2999,336,497,693,721,727,25,11.2,16.6,23.1,24,24.2,0.8
I00743,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,847,28,48,188,253,324,6,3.3,5.7,22.2,29.9,38.3,0.7
I00743,RCF,AIREDALE NHS FOUNDATION TRUST,997,140,*,209,316,209,*,14,*,21,31.7,21,*
I00743,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1565,157,521,594,257,*,*,10,33.3,38,16.4,*,*
I00743,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,1896,*,258,434,520,617,*,*,13.6,22.9,27.4,32.5,*
I00743,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1513,80,245,430,388,360,10,5.3,16.2,28.4,25.6,23.8,0.7
I00743,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,1462,47,275,349,302,480,9,3.2,18.8,23.9,20.7,32.8,0.6
I00743,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1143,125,143,151,240,471,13,10.9,12.5,13.2,21,41.2,1.1
I00743,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1972,299,561,411,318,377,6,15.2,28.4,20.8,16.1,19.1,0.3
I00743,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2151,256,516,563,564,234,18,11.9,24,26.2,26.2,10.9,0.8
I00743,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,1597,*,59,229,296,984,*,*,3.7,14.3,18.5,61.6,*
I00743,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,2049,179,430,450,401,573,16,8.7,21,22,19.6,28,0.8
I00743,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1092,493,259,197,76,67,0,45.1,23.7,18,7,6.1,0
I00743,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2170,302,789,843,204,16,16,13.9,36.4,38.8,9.4,0.7,0.7
I00743,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1955,1089,292,264,197,100,13,55.7,14.9,13.5,10.1,5.1,0.7
I00743,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3043,565,924,685,557,259,53,18.6,30.4,22.5,18.3,8.5,1.7
I00743,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1456,494,462,305,142,*,*,33.9,31.7,20.9,9.8,*,*
I00743,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1471,563,399,223,193,87,6,38.3,27.1,15.2,13.1,5.9,0.4
I00743,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1703,292,468,331,366,*,*,17.1,27.5,19.4,21.5,*,*
I00743,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,958,66,330,233,184,122,23,6.9,34.4,24.3,19.2,12.7,2.4
I00743,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1742,265,318,385,459,302,13,15.2,18.3,22.1,26.3,17.3,0.7
I00743,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1467,284,367,456,317,*,*,19.4,25,31.1,21.6,*,*
I00743,RGQ,IPSWICH HOSPITAL NHS TRUST,1863,210,190,332,640,480,11,11.3,10.2,17.8,34.4,25.8,0.6
I00743,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1349,*,152,384,577,223,*,*,11.3,28.5,42.8,16.5,*
I00743,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2112,48,235,340,647,806,36,2.3,11.1,16.1,30.6,38.2,1.7
I00743,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1769,129,279,587,523,238,13,7.3,15.8,33.2,29.6,13.5,0.7
I00743,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2881,304,472,625,658,778,44,10.6,16.4,21.7,22.8,27,1.5
I00743,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3466,1251,633,619,501,419,43,36.1,18.3,17.9,14.5,12.1,1.2
I00743,RHU,PORTSMOUTH HOSPITALS NHS TRUST,3000,447,482,557,669,825,20,14.9,16.1,18.6,22.3,27.5,0.7
I00743,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,2044,74,271,341,361,968,29,3.6,13.3,16.7,17.7,47.4,1.4
I00743,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1406,401,551,179,120,94,61,28.5,39.2,12.7,8.5,6.7,4.3
I00743,RJ2,LEWISHAM AND GREENWICH NHS TRUST,1589,522,561,222,157,102,25,32.9,35.3,14,9.9,6.4,1.6
I00743,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1183,236,343,269,198,99,38,19.9,29,22.7,16.7,8.4,3.2
I00743,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,1872,142,495,498,318,388,31,7.6,26.4,26.6,17,20.7,1.7
I00743,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1171,7,106,198,398,456,6,0.6,9.1,16.9,34,38.9,0.5
I00743,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,839,*,190,200,236,151,*,*,22.6,23.8,28.1,18,*
I00743,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,3399,974,706,683,688,296,52,28.7,20.8,20.1,20.2,8.7,1.5
I00743,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1293,126,232,332,388,209,6,9.7,17.9,25.7,30,16.2,0.5
I00743,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2209,555,459,510,436,219,30,25.1,20.8,23.1,19.7,9.9,1.4
I00743,RJN,EAST CHESHIRE NHS TRUST,971,*,120,185,208,407,*,*,12.4,19.1,21.4,41.9,*
I00743,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1359,233,159,151,232,335,249,17.1,11.7,11.1,17.1,24.7,18.3
I00743,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2291,582,549,307,397,390,66,25.4,24,13.4,17.3,17,2.9
I00743,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1768,550,596,298,215,103,6,31.1,33.7,16.9,12.2,5.8,0.3
