INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00742,R1F,ISLE OF WIGHT NHS TRUST,18950,1198,5960,6843,2731,717,1501,6.3,31.5,36.1,14.4,3.8,7.9
I00742,R1H,BARTS HEALTH NHS TRUST,163970,83441,32249,14254,8646,5285,20095,50.9,19.7,8.7,5.3,3.2,12.3
I00742,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,47409,239,2701,5943,10796,24196,3534,0.5,5.7,12.5,22.8,51,7.5
I00742,RA3,WESTON AREA HEALTH NHS TRUST,17434,3296,2572,3639,5370,2180,377,18.9,14.8,20.9,30.8,12.5,2.2
I00742,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23899,879,2422,6853,9071,2883,1791,3.7,10.1,28.7,38,12.1,7.5
I00742,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,72110,15552,13569,11353,13239,11994,6403,21.6,18.8,15.7,18.4,16.6,8.9
I00742,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38756,5285,10832,10990,7031,1999,2619,13.6,27.9,28.4,18.1,5.2,6.8
I00742,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,75401,38541,13860,9495,4802,2753,5950,51.1,18.4,12.6,6.4,3.7,7.9
I00742,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,50873,7845,9007,9962,9311,10792,3956,15.4,17.7,19.6,18.3,21.2,7.8
I00742,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,38756,7009,9377,8500,6921,2649,4300,18.1,24.2,21.9,17.9,6.8,11.1
I00742,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,30700,16385,7349,2107,917,390,3552,53.4,23.9,6.9,3,1.3,11.6
I00742,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38761,3419,13939,8488,4493,3622,4800,8.8,36,21.9,11.6,9.3,12.4
I00742,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46412,1213,3868,7024,12774,14731,6802,2.6,8.3,15.1,27.5,31.7,14.7
I00742,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,51489,3201,12461,16133,9805,6358,3531,6.2,24.2,31.3,19,12.3,6.9
I00742,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,28519,3076,4664,9697,6708,2197,2177,10.8,16.4,34,23.5,7.7,7.6
I00742,RBK,WALSALL HEALTHCARE NHS TRUST,43248,19354,8798,4538,3260,2381,4917,44.8,20.3,10.5,7.5,5.5,11.4
I00742,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,64691,22197,10969,8393,8858,10102,4172,34.3,17,13,13.7,15.6,6.4
I00742,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,66330,31137,11024,9250,5885,4380,4654,46.9,16.6,13.9,8.9,6.6,7
I00742,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,36224,6171,7410,6190,6351,9673,429,17,20.5,17.1,17.5,26.7,1.2
I00742,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,29306,2398,8034,10358,6068,822,1626,8.2,27.4,35.3,20.7,2.8,5.5
I00742,RC1,BEDFORD HOSPITAL NHS TRUST,27883,2659,5118,4623,6436,8819,228,9.5,18.4,16.6,23.1,31.6,0.8
I00742,RC3,EALING HOSPITAL NHS TRUST,28892,6980,10451,6836,1465,444,2716,24.2,36.2,23.7,5.1,1.5,9.4
I00742,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,61113,11020,14524,11156,8702,9302,6409,18,23.8,18.3,14.2,15.2,10.5
I00742,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,76106,9080,11915,15581,16530,17611,5389,11.9,15.7,20.5,21.7,23.1,7.1
I00742,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,23665,646,1311,4563,6990,8140,2015,2.7,5.5,19.3,29.5,34.4,8.5
I00742,RCF,AIREDALE NHS FOUNDATION TRUST,32092,6910,4218,5813,8543,4537,2071,21.5,13.1,18.1,26.6,14.1,6.5
I00742,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",37932,5318,11270,12324,5014,1508,2498,14,29.7,32.5,13.2,4,6.6
I00742,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,41453,1802,5256,9511,11048,13505,331,4.3,12.7,22.9,26.7,32.6,0.8
I00742,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,50157,3884,10212,12454,9925,9004,4678,7.7,20.4,24.8,19.8,18,9.3
I00742,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,52694,3367,12663,13576,9391,13249,448,6.4,24,25.8,17.8,25.1,0.9
I00742,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,43054,5282,5675,5113,9136,13437,4411,12.3,13.2,11.9,21.2,31.2,10.2
I00742,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,51102,8914,13532,9580,7600,9489,1987,17.4,26.5,18.7,14.9,18.6,3.9
I00742,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,52612,5500,11491,12328,12225,6861,4207,10.5,21.8,23.4,23.2,13,8
I00742,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,54092,733,3058,7242,9942,27546,5571,1.4,5.7,13.4,18.4,50.9,10.3
I00742,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,42889,4071,8731,9588,8769,10807,923,9.5,20.4,22.4,20.4,25.2,2.2
I00742,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,22530,9988,4976,3350,1254,1509,1453,44.3,22.1,14.9,5.6,6.7,6.4
I00742,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,66214,9607,23983,20940,5319,1136,5229,14.5,36.2,31.6,8,1.7,7.9
I00742,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,40458,22892,5666,5127,3891,2237,645,56.6,14,12.7,9.6,5.5,1.6
I00742,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",77615,15645,22117,15546,10707,4945,8655,20.2,28.5,20,13.8,6.4,11.2
I00742,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,42374,14578,11727,7373,4053,1798,2845,34.4,27.7,17.4,9.6,4.2,6.7
I00742,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,39807,16465,10631,5722,5147,1581,261,41.4,26.7,14.4,12.9,4,0.7
I00742,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,46077,9900,12451,7723,7963,5223,2817,21.5,27,16.8,17.3,11.3,6.1
I00742,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,35765,2720,10724,7792,5528,3222,5779,7.6,30,21.8,15.5,9,16.2
I00742,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,50632,9718,7275,8759,12079,7705,5096,19.2,14.4,17.3,23.9,15.2,10.1
I00742,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,31433,7232,7015,8215,5448,1206,2317,23,22.3,26.1,17.3,3.8,7.4
I00742,RGQ,IPSWICH HOSPITAL NHS TRUST,47696,6029,5902,8695,12940,10266,3864,12.6,12.4,18.2,27.1,21.5,8.1
I00742,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,32570,430,3974,7710,12045,5782,2629,1.3,12.2,23.7,37,17.8,8.1
I00742,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,72446,1866,8606,11773,19235,24575,6391,2.6,11.9,16.3,26.6,33.9,8.8
I00742,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,59910,4158,11470,18157,15830,5855,4440,6.9,19.1,30.3,26.4,9.8,7.4
I00742,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,91279,12088,15042,19083,16854,20980,7232,13.2,16.5,20.9,18.5,23,7.9
I00742,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,108369,38827,18579,17700,14209,11112,7942,35.8,17.1,16.3,13.1,10.3,7.3
I00742,RHU,PORTSMOUTH HOSPITALS NHS TRUST,86287,15470,15058,14711,17120,16870,7058,17.9,17.5,17,19.8,19.6,8.2
I00742,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,63388,3154,9491,9947,10307,24601,5888,5,15,15.7,16.3,38.8,9.3
I00742,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,84279,22025,29195,10210,7202,5558,10089,26.1,34.6,12.1,8.5,6.6,12
I00742,RJ2,LEWISHAM AND GREENWICH NHS TRUST,59279,20774,22717,7736,3157,1859,3036,35,38.3,13.1,5.3,3.1,5.1
I00742,RJ6,CROYDON HEALTH SERVICES NHS TRUST,46285,8753,15177,10161,4799,2440,4955,18.9,32.8,22,10.4,5.3,10.7
I00742,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,81641,7677,23806,19737,11858,12480,6083,9.4,29.2,24.2,14.5,15.3,7.5
I00742,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,33678,465,3045,5634,9232,12286,3016,1.4,9,16.7,27.4,36.5,9
I00742,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,29501,3131,6760,5894,7007,5444,1265,10.6,22.9,20,23.8,18.5,4.3
I00742,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,100704,33884,19391,17222,15737,8096,6374,33.6,19.3,17.1,15.6,8,6.3
I00742,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,40877,5570,7176,9036,9431,6186,3478,13.6,17.6,22.1,23.1,15.1,8.5
I00742,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,57305,16009,9942,10882,10137,4567,5768,27.9,17.3,19,17.7,8,10.1
I00742,RJN,EAST CHESHIRE NHS TRUST,22854,1388,3028,4323,4097,8074,1944,6.1,13.2,18.9,17.9,35.3,8.5
I00742,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,45681,8774,4559,4524,6723,9487,11614,19.2,10,9.9,14.7,20.8,25.4
I00742,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,91242,24771,27012,12577,9655,9073,8154,27.1,29.6,13.8,10.6,9.9,8.9
I00742,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,50081,15370,14118,8459,5969,2828,3337,30.7,28.2,16.9,11.9,5.6,6.7
I00742,RK9,PLYMOUTH HOSPITALS NHS TRUST,68934,12188,17219,16337,13392,5033,4765,17.7,25,23.7,19.4,7.3,6.9
I00742,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,85426,20971,18318,15835,13445,10287,6570,24.5,21.4,18.5,15.7,12,7.7
I00742,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,25386,10619,8272,3065,1388,326,1716,41.8,32.6,12.1,5.5,1.3,6.8
I00742,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,60679,26408,10801,7678,7128,4116,4548,43.5,17.8,12.7,11.7,6.8,7.5
I00742,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,58162,23595,15147,7486,5902,2181,3851,40.6,26,12.9,10.1,3.7,6.6
I00742,RLQ,WYE VALLEY NHS TRUST,27191,1750,2980,11667,5056,939,4799,6.4,11,42.9,18.6,3.5,17.6
I00742,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,24113,3936,6557,4714,3915,2754,2237,16.3,27.2,19.5,16.2,11.4,9.3
I00742,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,88477,7571,14920,23850,22107,13657,6372,8.6,16.9,27,25,15.4,7.2
I00742,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,60981,19131,8019,8520,9600,10677,5034,31.4,13.2,14,15.7,17.5,8.3
I00742,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,44264,19658,10382,6476,4296,2911,541,44.4,23.5,14.6,9.7,6.6,1.2
I00742,RMC,BOLTON NHS FOUNDATION TRUST,63206,26935,11996,7222,6459,4407,6187,42.6,19,11.4,10.2,7,9.8
I00742,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,35154,13950,9075,4996,3447,1527,2159,39.7,25.8,14.2,9.8,4.3,6.1
I00742,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,61341,5360,5911,9086,13442,18121,9421,8.7,9.6,14.8,21.9,29.5,15.4
I00742,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,61272,471,7403,9292,11915,26316,5875,0.8,12.1,15.2,19.4,42.9,9.6
I00742,RN7,DARTFORD AND GRAVESHAM NHS TRUST,54657,6041,12422,10344,11829,9039,4982,11.1,22.7,18.9,21.6,16.5,9.1
I00742,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,67128,22224,15517,8458,8663,7132,5134,33.1,23.1,12.6,12.9,10.6,7.6
I00742,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,45783,9228,10567,10021,7770,4004,4193,20.2,23.1,21.9,17,8.7,9.2
I00742,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,45306,7302,10266,7649,7189,9077,3823,16.1,22.7,16.9,15.9,20,8.4
I00742,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,58568,10317,10566,9537,9836,13821,4491,17.6,18,16.3,16.8,23.6,7.7
I00742,RNZ,SALISBURY NHS FOUNDATION TRUST,34356,1334,2313,9862,9672,8605,2570,3.9,6.7,28.7,28.2,25,7.5
I00742,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,73925,27430,16277,12420,10291,1977,5530,37.1,22,16.8,13.9,2.7,7.5
I00742,RPA,MEDWAY NHS FOUNDATION TRUST,51607,9980,15732,9263,8003,6888,1741,19.3,30.5,17.9,15.5,13.3,3.4
I00742,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,47265,28844,7172,4807,3792,1400,1250,61,15.2,10.2,8,3,2.6
I00742,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,51773,2287,6831,9683,14028,14224,4720,4.4,13.2,18.7,27.1,27.5,9.1
I00742,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,43683,6345,12197,9453,7328,2108,6252,14.5,27.9,21.6,16.8,4.8,14.3
I00742,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,20353,191,2215,5200,3610,6787,2350,0.9,10.9,25.5,17.7,33.3,11.5
I00742,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,41205,1505,11756,6528,7895,9009,4512,3.7,28.5,15.8,19.2,21.9,11
I00742,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,41970,27246,6841,826,464,294,6299,64.9,16.3,2,1.1,0.7,15
I00742,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,148110,65409,20024,18568,16642,16247,11220,44.2,13.5,12.5,11.2,11,7.6
I00742,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,34024,13277,9235,3252,4687,1695,1878,39,27.1,9.6,13.8,5,5.5
I00742,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,124810,42704,22336,16670,19573,12873,10654,34.2,17.9,13.4,15.7,10.3,8.5
I00742,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",43107,14442,9570,5480,6283,3969,3363,33.5,22.2,12.7,14.6,9.2,7.8
I00742,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,59284,23686,12067,12356,5833,4059,1283,40,20.4,20.8,9.8,6.8,2.2
I00742,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,69233,18026,18185,10533,7739,5610,9140,26,26.3,15.2,11.2,8.1,13.2
I00742,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,105071,33686,21673,13883,14294,12693,8842,32.1,20.6,13.2,13.6,12.1,8.4
I00742,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,82389,8262,9749,18555,18311,20755,6757,10,11.8,22.5,22.2,25.2,8.2
I00742,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,56430,13635,13101,10539,8444,8013,2698,24.2,23.2,18.7,15,14.2,4.8
I00742,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,82206,15664,14991,16772,13027,15104,6648,19.1,18.2,20.4,15.8,18.4,8.1
I00742,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,111050,7246,11531,18004,24135,39895,10239,6.5,10.4,16.2,21.7,35.9,9.2
I00742,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,44013,438,4419,7298,9369,18162,4327,1,10,16.6,21.3,41.3,9.8
I00742,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,50842,761,5471,12166,11552,15894,4998,1.5,10.8,23.9,22.7,31.3,9.8
I00742,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,89783,31951,13568,11195,15942,12149,4978,35.6,15.1,12.5,17.8,13.5,5.5
I00742,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,52900,11085,8928,12029,12666,6088,2104,21,16.9,22.7,23.9,11.5,4
I00742,RV8,NORTH WEST LONDON HOSPITALS NHS TRUST,69153,8886,21333,19535,9358,4932,5109,12.8,30.8,28.2,13.5,7.1,7.4
I00742,RVJ,NORTH BRISTOL NHS TRUST,72184,8088,14025,12973,12339,17746,7013,11.2,19.4,18,17.1,24.6,9.7
I00742,RVL,BARNET AND CHASE FARM HOSPITALS NHS TRUST,64873,6685,13848,16947,13779,6959,6655,10.3,21.3,26.1,21.2,10.7,10.3
I00742,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,55061,2144,9587,9944,11397,16623,5366,3.9,17.4,18.1,20.7,30.2,9.7
I00742,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,103418,18587,21195,25631,24131,6538,7336,18,20.5,24.8,23.3,6.3,7.1
I00742,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,48037,19953,8932,6064,4242,5286,3560,41.5,18.6,12.6,8.8,11,7.4
I00742,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,34995,5274,6481,7565,7524,4990,3161,15.1,18.5,21.6,21.5,14.3,9
I00742,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,101811,44712,19755,11991,8264,5957,11132,43.9,19.4,11.8,8.1,5.9,10.9
I00742,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,126831,59179,23159,15459,11474,5527,12033,46.7,18.3,12.2,9,4.4,9.5
I00742,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,89456,29827,12774,14917,13572,12334,6032,33.3,14.3,16.7,15.2,13.8,6.7
I00742,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,86079,14894,19641,20976,18138,11115,1315,17.3,22.8,24.4,21.1,12.9,1.5
I00742,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,136527,24705,25747,19889,24442,28143,13601,18.1,18.9,14.6,17.9,20.6,10
I00742,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,60848,2057,5411,11810,16772,19038,5760,3.4,8.9,19.4,27.6,31.3,9.5
