INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00720,R1F,ISLE OF WIGHT NHS TRUST,18950,0,359,359,0,1.9,1.9
I00720,R1H,BARTS HEALTH NHS TRUST,163970,381,939,988,0.2,0.6,0.6
I00720,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,47409,0,290,290,0,0.6,0.6
I00720,RA3,WESTON AREA HEALTH NHS TRUST,17434,0,382,382,0,2.2,2.2
I00720,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23899,0,474,474,0,2,2
I00720,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,72110,47,621,649,0.1,0.9,0.9
I00720,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38756,2,489,489,0,1.3,1.3
I00720,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,75401,0,508,508,0,0.7,0.7
I00720,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,50873,128,741,756,0.3,1.5,1.5
I00720,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,38756,0,552,552,0,1.4,1.4
I00720,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,30700,0,523,523,0,1.7,1.7
I00720,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38761,0,424,424,0,1.1,1.1
I00720,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46412,0,584,584,0,1.3,1.3
I00720,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,51489,0,74,74,0,0.1,0.1
I00720,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,28519,0,269,269,0,0.9,0.9
I00720,RBK,WALSALL HEALTHCARE NHS TRUST,43248,1,631,632,0,1.5,1.5
I00720,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,64691,0,815,815,0,1.3,1.3
I00720,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,66330,0,726,726,0,1.1,1.1
I00720,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,36224,0,558,558,0,1.5,1.5
I00720,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,29306,0,466,466,0,1.6,1.6
I00720,RC1,BEDFORD HOSPITAL NHS TRUST,27883,0,409,409,0,1.5,1.5
I00720,RC3,EALING HOSPITAL NHS TRUST,28892,0,257,257,0,0.9,0.9
I00720,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,61113,0,337,337,0,0.6,0.6
I00720,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,76106,0,924,924,0,1.2,1.2
I00720,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,23665,0,268,268,0,1.1,1.1
I00720,RCF,AIREDALE NHS FOUNDATION TRUST,32092,0,463,463,0,1.4,1.4
I00720,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",37932,85,378,406,0.2,1,1.1
I00720,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,41453,0,585,585,0,1.4,1.4
I00720,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,50157,253,717,732,0.5,1.4,1.5
I00720,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,52694,25,850,857,0,1.6,1.6
I00720,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,43054,0,552,552,0,1.3,1.3
I00720,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,51102,448,660,719,0.9,1.3,1.4
I00720,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,52612,0,995,995,0,1.9,1.9
I00720,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,54092,1,778,778,0,1.4,1.4
I00720,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,42889,489,1013,1071,1.1,2.4,2.5
I00720,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,22530,255,461,461,1.1,2,2
I00720,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,66214,2,768,769,0,1.2,1.2
I00720,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,40458,0,1278,1278,0,3.2,3.2
I00720,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",77615,0,706,706,0,0.9,0.9
I00720,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,42374,0,516,516,0,1.2,1.2
I00720,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,39807,3,783,786,0,2,2
I00720,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,46077,0,951,951,0,2.1,2.1
I00720,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,35765,0,218,218,0,0.6,0.6
I00720,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,50632,0,773,773,0,1.5,1.5
I00720,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,31433,1,673,673,0,2.1,2.1
I00720,RGQ,IPSWICH HOSPITAL NHS TRUST,47696,0,550,550,0,1.2,1.2
I00720,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,32570,0,447,447,0,1.4,1.4
I00720,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,72446,0,727,727,0,1,1
I00720,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,59910,0,385,385,0,0.6,0.6
I00720,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,91279,530,1204,1269,0.6,1.3,1.4
I00720,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,108369,305,1343,1360,0.3,1.2,1.3
I00720,RHU,PORTSMOUTH HOSPITALS NHS TRUST,86287,1,888,889,0,1,1
I00720,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,63388,0,835,835,0,1.3,1.3
I00720,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,84279,17,972,987,0,1.2,1.2
I00720,RJ2,LEWISHAM AND GREENWICH NHS TRUST,59279,1,720,720,0,1.2,1.2
I00720,RJ6,CROYDON HEALTH SERVICES NHS TRUST,46285,0,443,443,0,1,1
I00720,RJ7,ST GEORGE'S HEALTHCARE NHS TRUST,81641,0,767,767,0,0.9,0.9
I00720,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,33678,7,312,315,0,0.9,0.9
I00720,RJD,MID STAFFORDSHIRE NHS FOUNDATION TRUST,29501,0,387,387,0,1.3,1.3
I00720,RJE,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,100704,0,1459,1459,0,1.4,1.4
I00720,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,40877,0,346,346,0,0.8,0.8
I00720,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,57305,0,651,651,0,1.1,1.1
I00720,RJN,EAST CHESHIRE NHS TRUST,22854,0,230,230,0,1,1
I00720,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,45681,0,561,561,0,1.2,1.2
I00720,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,91242,0,1446,1446,0,1.6,1.6
