INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,R1F,ISLE OF WIGHT NHS TRUST,18950,874,795.376,1.099,0.894,1.115,0.881,1.135,2
I00699,R1H,BARTS HEALTH NHS TRUST,163970,3568,4500.154,0.793,0.955,1.047,0.896,1.116,3
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,47409,1267,1391.252,0.911,0.919,1.086,0.889,1.125,2
I00699,RA3,WESTON AREA HEALTH NHS TRUST,17434,973,969.578,1.004,0.904,1.103,0.884,1.131,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23899,965,918.246,1.051,0.901,1.106,0.883,1.132,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,72110,1754,1845.231,0.951,0.93,1.074,0.891,1.122,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38756,1582,1706.493,0.927,0.927,1.077,0.891,1.123,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,75401,1842,1816.668,1.014,0.929,1.075,0.891,1.122,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,50873,2139,2040.441,1.048,0.933,1.07,0.892,1.121,2
I00699,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,38756,1171,1445.643,0.81,0.921,1.084,0.889,1.125,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,30700,854,1051.722,0.812,0.907,1.099,0.885,1.13,3
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38761,937,1091.097,0.859,0.909,1.097,0.886,1.129,3
I00699,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46412,1276,1368.877,0.932,0.919,1.086,0.888,1.126,2
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,51489,1527,1593.062,0.959,0.924,1.08,0.89,1.124,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,28519,1084,965.905,1.122,0.904,1.104,0.884,1.131,2
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,43248,1473,1516.793,0.971,0.923,1.082,0.89,1.124,2
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,64691,2204,2122.587,1.038,0.934,1.069,0.892,1.121,2
I00699,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,66330,2052,2015.498,1.018,0.933,1.071,0.892,1.121,2
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,36224,1406,1256.305,1.119,0.915,1.09,0.888,1.127,2
I00699,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,29306,1281,1407.651,0.91,0.92,1.085,0.889,1.125,2
I00699,RC1,BEDFORD HOSPITAL NHS TRUST,27883,1148,1071.575,1.071,0.908,1.098,0.886,1.129,2
I00699,RC3,EALING HOSPITAL NHS TRUST,28892,652,802.346,0.813,0.894,1.114,0.881,1.135,3
I00699,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,61113,1527,1520,1.005,0.923,1.082,0.89,1.124,2
I00699,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,76106,2999,3071.643,0.976,0.945,1.057,0.895,1.118,2
I00699,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,23665,847,891.273,0.95,0.9,1.108,0.883,1.133,2
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,32092,997,1119.265,0.891,0.91,1.096,0.886,1.129,2
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",37932,1565,1522.205,1.028,0.923,1.082,0.89,1.124,2
I00699,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,41453,1896,1941.922,0.976,0.931,1.072,0.892,1.122,2
I00699,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,50157,1513,1535.33,0.986,0.923,1.081,0.89,1.124,2
I00699,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,52694,1462,1492.831,0.979,0.922,1.083,0.889,1.125,2
I00699,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,43054,1143,1189.565,0.961,0.913,1.093,0.887,1.128,2
I00699,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,51102,1972,1822.088,1.082,0.929,1.075,0.891,1.122,2
I00699,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,52612,2151,1992.847,1.079,0.932,1.071,0.892,1.121,2
I00699,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,54092,1597,1756.342,0.909,0.928,1.076,0.891,1.123,2
I00699,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,42889,2049,1903.53,1.076,0.931,1.073,0.891,1.122,2
