INDICATOR_CODE,DIAGNOSIS GROUP,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED
I00699,1,R1H,BARTS HEALTH NHS TRUST,266,*,9.002
I00699,1,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,*,0,0.1125
I00699,1,RA3,WESTON AREA HEALTH NHS TRUST,*,0,0.0333
I00699,1,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,*,0,0.3557
I00699,1,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,19,0,0.4382
I00699,1,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,*,0,0.5409
I00699,1,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,85,*,2.7429
I00699,1,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,0.0254
I00699,1,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,26,*,0.602
I00699,1,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,29,*,0.9977
I00699,1,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,29,0,1.5712
I00699,1,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7,0,0.6885
I00699,1,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,*,0,0.0268
I00699,1,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,*,*,0.3229
I00699,1,RBK,WALSALL HEALTHCARE NHS TRUST,19,0,0.5681
I00699,1,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,*,*,0.3223
I00699,1,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,0.018
I00699,1,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,*,0,0.1547
I00699,1,RC1,BEDFORD HOSPITAL NHS TRUST,10,*,0.2033
I00699,1,RC3,EALING HOSPITAL NHS TRUST,62,*,1.8849
I00699,1,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,35,0,0.7969
I00699,1,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,0.9154
I00699,1,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,*,0,0.4382
I00699,1,RCF,AIREDALE NHS FOUNDATION TRUST,*,*,0.7948
I00699,1,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,*,0,0.005
I00699,1,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,*,0,0.538
I00699,1,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,29,*,1.2248
I00699,1,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,11,*,0.7892
I00699,1,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7,0,0.0688
