INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.0901,0.2645,16.9823,1,0
I00699,1,ADMIMETH_2,-12.1509,3929.1189,0,1,0.9975
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,AGE_GROUP_1,-12.4207,921.1918,0.0002,1,0.9892
I00699,1,AGE_GROUP_10,0.2744,0.5435,0.255,1,0.6136
I00699,1,AGE_GROUP_11,1.0281,0.463,4.93,1,0.0264
I00699,1,AGE_GROUP_12,1.6558,0.4307,14.783,1,0.0001
I00699,1,AGE_GROUP_13,1.7324,0.4326,16.0334,1,0.0001
I00699,1,AGE_GROUP_14,2.1753,0.422,26.5695,1,0
I00699,1,AGE_GROUP_15,2.5448,0.4049,39.497,1,0
I00699,1,AGE_GROUP_16,2.7555,0.404,46.5119,1,0
I00699,1,AGE_GROUP_17,2.8465,0.4028,49.9383,1,0
I00699,1,AGE_GROUP_18,3.0702,0.4082,56.5688,1,0
I00699,1,AGE_GROUP_19,3.6322,0.4134,77.1934,1,0
I00699,1,AGE_GROUP_2,0.2704,1.065,0.0645,1,0.7996
I00699,1,AGE_GROUP_20,3.7918,0.4771,63.1648,1,0
I00699,1,AGE_GROUP_21,1.5399,0.4712,10.6806,1,0.0011
I00699,1,AGE_GROUP_3,-12.5225,843.8351,0.0002,1,0.9882
I00699,1,AGE_GROUP_4,-12.6161,543.325,0.0005,1,0.9815
I00699,1,AGE_GROUP_5,-0.4028,0.7926,0.2583,1,0.6113
I00699,1,AGE_GROUP_6,0.0875,0.5194,0.0284,1,0.8661
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,0.169,0.5195,0.1058,1,0.7449
I00699,1,AGE_GROUP_9,0.2255,0.5426,0.1728,1,0.6777
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,0.3919,0.1622,5.8346,1,0.0157
I00699,1,CHARLSON_INDEX_3,1.0441,0.1508,47.9455,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.3623,0.1252,8.3773,1,0.0038
I00699,1,Intercept,-4.925,0.3669,180.1725,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,-0.0744,0.1457,0.2606,1,0.6097
I00699,1,YEAR_INDEX_3,-0.1271,0.143,0.7892,1,0.3743
I00699,2,ADMIMETH_1,-0.6511,0.0572,129.7548,1,0
I00699,2,ADMIMETH_2,-0.4239,0.5961,0.5057,1,0.477
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,AGE_GROUP_1,-3.8413,0.1915,402.4482,1,0
I00699,2,AGE_GROUP_10,-1.5739,0.0745,446.8379,1,0
I00699,2,AGE_GROUP_11,-1.4356,0.0609,556.2823,1,0
I00699,2,AGE_GROUP_12,-1.2051,0.0506,567.3141,1,0
I00699,2,AGE_GROUP_13,-1.0069,0.0433,540.6077,1,0
I00699,2,AGE_GROUP_14,-0.7122,0.0356,401.1816,1,0
I00699,2,AGE_GROUP_15,-0.6212,0.0323,368.7768,1,0
I00699,2,AGE_GROUP_16,-0.3294,0.0304,117.3473,1,0
I00699,2,AGE_GROUP_17,0,,,0,
I00699,2,AGE_GROUP_18,0.4112,0.0273,226.1911,1,0
I00699,2,AGE_GROUP_19,0.7611,0.028,737.5151,1,0
I00699,2,AGE_GROUP_2,-2.9405,0.1593,340.8494,1,0
I00699,2,AGE_GROUP_20,1.1431,0.0305,1409.1589,1,0
I00699,2,AGE_GROUP_21,-1.0797,0.1519,50.5347,1,0
I00699,2,AGE_GROUP_3,-2.7009,0.2168,155.2052,1,0
I00699,2,AGE_GROUP_4,-2.7442,0.2928,87.823,1,0
I00699,2,AGE_GROUP_5,-2.5239,0.2126,140.9798,1,0
I00699,2,AGE_GROUP_6,-2.4218,0.1808,179.3809,1,0
I00699,2,AGE_GROUP_7,-2.2147,0.1535,208.2623,1,0
I00699,2,AGE_GROUP_8,-2.1586,0.1324,265.7078,1,0
I00699,2,AGE_GROUP_9,-1.6968,0.0959,312.9047,1,0
I00699,2,CHARLSON_INDEX_1,0,,,0,
I00699,2,CHARLSON_INDEX_2,0.0875,0.031,7.9784,1,0.0047
I00699,2,CHARLSON_INDEX_3,0.4515,0.0215,439.5015,1,0
I00699,2,GENDER_1,-0.0649,0.0157,17.1422,1,0
I00699,2,GENDER_2,0,,,0,
I00699,2,GENDER_3,-7.1273,44.7579,0.0254,1,0.8735
I00699,2,Intercept,-1.3497,0.0303,1985.3904,1,0
I00699,2,YEAR_INDEX_1,0,,,0,
I00699,2,YEAR_INDEX_2,0.1126,0.0182,38.4226,1,0
I00699,2,YEAR_INDEX_3,0.3485,0.0196,316.716,1,0
I00699,3,ADMIMETH_1,-0.3859,0.2534,2.3195,1,0.1278
I00699,3,ADMIMETH_3,0,,,0,
I00699,3,AGE_GROUP_1,1.2718,1.0017,1.6122,1,0.2042
I00699,3,AGE_GROUP_10,3.3336,0.7811,18.2117,1,0
I00699,3,AGE_GROUP_11,3.0417,0.7881,14.8966,1,0.0001
I00699,3,AGE_GROUP_12,3.3146,0.757,19.1705,1,0
I00699,3,AGE_GROUP_13,3.7489,0.7407,25.6137,1,0
I00699,3,AGE_GROUP_14,3.6137,0.7355,24.1392,1,0
