INDICATOR_CODE,PROVIDER,PROVIDER NAME,NUMERATOR,DENOMINATOR,RATE
I00732,R1F,ISLE OF WIGHT NHS TRUST,784,14748,5.316
I00732,R1H,BARTS HEALTH NHS TRUST,3547,138475,2.5615
I00732,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2418,85018,2.8441
I00732,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1165,34227,3.4037
I00732,RA3,WESTON AREA HEALTH NHS TRUST,906,17200,5.2674
I00732,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,902,20455,4.4097
I00732,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1545,58844,2.6256
I00732,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1608,34352,4.681
I00732,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1641,64752,2.5343
I00732,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1935,43521,4.4461
I00732,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2585,80722,3.2023
I00732,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1339,43361,3.088
I00732,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,994,36564,2.7185
I00732,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1137,42874,2.652
I00732,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1505,42358,3.553
I00732,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1057,24836,4.2559
I00732,RBK,WALSALL HEALTHCARE NHS TRUST,1609,38771,4.15
I00732,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2010,57891,3.472
I00732,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2100,56367,3.7256
I00732,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1397,42189,3.3113
I00732,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1201,25251,4.7562
I00732,RC1,BEDFORD HOSPITAL NHS TRUST,1065,25791,4.1293
I00732,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1536,56288,2.7288
I00732,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2940,68063,4.3195
I00732,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,934,21260,4.3932
I00732,RCF,AIREDALE NHS FOUNDATION TRUST,1012,31113,3.2527
I00732,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1432,36107,3.966
I00732,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1893,43558,4.3459
I00732,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1505,44467,3.3845
I00732,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1107,35235,3.1418
I00732,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1938,47811,4.0535
I00732,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2078,47245,4.3983
I00732,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3077,98311,3.1299
I00732,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,1990,32789,6.0691
I00732,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,950,20384,4.6605
I00732,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2007,55085,3.6435
I00732,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1900,35281,5.3853
I00732,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2995,70419,4.2531
I00732,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1361,38091,3.573
I00732,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1437,33708,4.2631
I00732,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1647,44527,3.6989
I00732,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,839,34527,2.43
I00732,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1770,45084,3.926
I00732,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1430,25538,5.5995
I00732,RGQ,IPSWICH HOSPITAL NHS TRUST,1700,42607,3.99
I00732,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1302,30232,4.3067
I00732,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2023,56296,3.5935
I00732,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1751,49837,3.5135
I00732,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2675,71719,3.7298
I00732,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3278,85603,3.8293
I00732,RHU,PORTSMOUTH HOSPITALS NHS TRUST,2811,70138,4.0078
I00732,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1944,51496,3.7751
I00732,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1212,57585,2.1047
I00732,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2207,75309,2.9306
I00732,RJ6,CROYDON HEALTH SERVICES NHS TRUST,*,*,3.0304
I00732,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1919,59954,3.2008
I00732,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1095,26593,4.1176
I00732,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,3940,114215,3.4496
I00732,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1256,37398,3.3585
I00732,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2122,49944,4.2488
I00732,RJN,EAST CHESHIRE NHS TRUST,850,19860,4.28
I00732,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1387,40248,3.4461
I00732,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2825,93225,3.0303
I00732,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1773,44307,4.0016
I00732,RK9,PLYMOUTH HOSPITALS NHS TRUST,2103,55759,3.7716
I00732,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2761,75406,3.6615
I00732,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,468,32236,1.4518
I00732,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2146,56527,3.7964
I00732,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,1966,42687,4.6056
I00732,RLQ,WYE VALLEY NHS TRUST,1092,23191,4.7087
I00732,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,893,20321,4.3945
I00732,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3182,74569,4.2672
I00732,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,1755,49213,3.5661
I00732,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,1602,37075,4.321
I00732,RMC,BOLTON NHS FOUNDATION TRUST,1723,58639,2.9383
I00732,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,1353,29841,4.534
I00732,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1607,51143,3.1422
I00732,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1853,48368,3.831
I00732,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1444,43690,3.3051
I00732,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,2233,63041,3.5421
I00732,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,1703,42005,4.0543
I00732,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1444,41935,3.4434
I00732,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1709,57037,2.9963
I00732,RNZ,SALISBURY NHS FOUNDATION TRUST,995,28195,3.529
I00732,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,2701,63354,4.2633
I00732,RPA,MEDWAY NHS FOUNDATION TRUST,1862,43815,4.2497
I00732,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,1759,41347,4.2542
I00732,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,1681,44289,3.7955
I00732,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,510,35302,1.4447
I00732,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,689,17801,3.8706
I00732,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1547,46021,3.3615
I00732,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,516,37987,1.3584
I00732,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,4178,141877,2.9448
I00732,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1362,30404,4.4797
I00732,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,3720,93299,3.9872
I00732,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1585,33432,4.741
I00732,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,2459,44595,5.5141
I00732,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1003,52993,1.8927
I00732,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2428,77077,3.1501
I00732,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2858,70050,4.0799
I00732,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,2954,60212,4.906
I00732,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,2943,72512,4.0586
I00732,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,3095,88750,3.4873
I00732,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1572,36472,4.3102
I00732,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1692,43324,3.9055
I00732,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,2494,71497,3.4883
I00732,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1851,45682,4.0519
I00732,RVJ,NORTH BRISTOL NHS TRUST,1928,59915,3.2179
I00732,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1986,53049,3.7437
I00732,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3839,91129,4.2127
I00732,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1832,40252,4.5513
I00732,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,1254,31873,3.9344
I00732,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1586,83904,1.8903
I00732,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,3894,112426,3.4636
I00732,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,3203,68599,4.6692
I00732,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,3425,72891,4.6988
I00732,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4236,122357,3.462
I00732,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2062,54641,3.7737
I00732,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1897,57912,3.2757
I00732,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2323,55054,4.2195
I00732,RWJ,STOCKPORT NHS FOUNDATION TRUST,1675,53206,3.1481
I00732,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,2667,62796,4.2471
I00732,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,1542,43094,3.5782
I00732,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2132,64666,3.2969
I00732,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,4067,107318,3.7897
I00732,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2428,48372,5.0194
I00732,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,2860,86545,3.3046
I00732,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,2251,58203,3.8675
I00732,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,2065,63809,3.2362
I00732,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2290,49371,4.6384
I00732,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2215,63111,3.5097
I00732,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2847,75698,3.761
I00732,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1543,47330,3.2601
I00732,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2565,71355,3.5947
I00732,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,2269,58982,3.8469
I00732,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2007,83619,2.4002
I00732,RYR,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,2871,60729,4.7276
