INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00743,R1F,ISLE OF WIGHT NHS TRUST,799,45,249,330,146,29,0,5.6,31.2,41.3,18.3,3.6,0
I00743,R1H,BARTS HEALTH NHS TRUST,3661,1968,805,383,247,189,69,53.8,22,10.5,6.7,5.2,1.9
I00743,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2466,360,828,787,294,178,19,14.6,33.6,31.9,11.9,7.2,0.8
I00743,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1215,*,45,140,311,713,*,*,3.7,11.5,25.6,58.7,*
I00743,RA3,WESTON AREA HEALTH NHS TRUST,920,167,155,217,290,*,*,18.2,16.8,23.6,31.5,*,*
I00743,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,930,*,86,315,401,105,*,*,9.2,33.9,43.1,11.3,*
I00743,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1735,366,396,269,331,359,14,21.1,22.8,15.5,19.1,20.7,0.8
I00743,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1655,173,482,516,380,96,8,10.5,29.1,31.2,23,5.8,0.5
I00743,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1697,746,381,314,162,87,7,44,22.5,18.5,9.5,5.1,0.4
I00743,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2026,302,343,473,395,507,6,14.9,16.9,23.3,19.5,25,0.3
I00743,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2691,282,512,758,753,346,40,10.5,19,28.2,28,12.9,1.5
I00743,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1356,562,393,193,142,60,6,41.4,29,14.2,10.5,4.4,0.4
I00743,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,1013,76,355,269,184,118,11,7.5,35,26.6,18.2,11.6,1.1
I00743,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1143,35,111,203,381,406,7,3.1,9.7,17.8,33.3,35.5,0.6
I00743,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1554,*,387,525,323,209,*,*,24.9,33.8,20.8,13.4,*
I00743,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1088,112,209,392,296,*,*,10.3,19.2,36,27.2,*,*
I00743,RBK,WALSALL HEALTHCARE NHS TRUST,1632,704,407,229,177,106,9,43.1,24.9,14,10.8,6.5,0.6
I00743,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2055,636,390,297,315,382,35,30.9,19,14.5,15.3,18.6,1.7
I00743,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2140,1001,417,369,192,146,15,46.8,19.5,17.2,9,6.8,0.7
I00743,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1406,229,274,247,251,399,6,16.3,19.5,17.6,17.9,28.4,0.4
I00743,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1223,76,297,496,294,*,*,6.2,24.3,40.6,24,*,*
I00743,RC1,BEDFORD HOSPITAL NHS TRUST,1099,*,246,165,253,349,*,*,22.4,15,23,31.8,*
I00743,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1576,225,403,322,295,319,12,14.3,25.6,20.4,18.7,20.2,0.8
I00743,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2993,319,509,677,714,763,11,10.7,17,22.6,23.9,25.5,0.4
I00743,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,944,*,44,198,283,395,*,*,4.7,21,30,41.8,*
I00743,RCF,AIREDALE NHS FOUNDATION TRUST,1039,184,*,211,322,192,*,17.7,*,20.3,31,18.5,*
I00743,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1451,170,485,517,253,26,0,11.7,33.4,35.6,17.4,1.8,0
I00743,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1928,*,235,444,524,669,*,*,12.2,23,27.2,34.7,*
I00743,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1526,*,259,420,388,363,*,*,17,27.5,25.4,23.8,*
I00743,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1128,120,147,183,257,414,7,10.6,13,16.2,22.8,36.7,0.6
I00743,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1990,295,553,397,355,379,11,14.8,27.8,19.9,17.8,19,0.6
I00743,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2100,234,535,544,515,266,6,11.1,25.5,25.9,24.5,12.7,0.3
I00743,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3146,*,318,598,640,1487,*,*,10.1,19,20.3,47.3,*
I00743,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,2044,190,385,500,433,526,10,9.3,18.8,24.5,21.2,25.7,0.5
I00743,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1116,468,283,196,85,84,0,41.9,25.4,17.6,7.6,7.5,0
I00743,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2064,303,772,777,171,30,11,14.7,37.4,37.6,8.3,1.5,0.5
I00743,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1978,1135,316,224,190,102,11,57.4,16,11.3,9.6,5.2,0.6
I00743,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3059,535,931,675,610,277,31,17.5,30.4,22.1,19.9,9.1,1
I00743,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1382,452,421,317,134,*,*,32.7,30.5,22.9,9.7,*,*
I00743,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1464,567,392,236,195,65,9,38.7,26.8,16.1,13.3,4.4,0.6
I00743,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1670,328,444,299,386,207,6,19.6,26.6,17.9,23.1,12.4,0.4
I00743,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,851,61,311,200,164,105,10,7.2,36.5,23.5,19.3,12.3,1.2
I00743,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,1793,264,292,418,501,309,9,14.7,16.3,23.3,27.9,17.2,0.5
I00743,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1460,247,327,507,325,*,*,16.9,22.4,34.7,22.3,*,*
I00743,RGQ,IPSWICH HOSPITAL NHS TRUST,1750,189,182,300,638,435,6,10.8,10.4,17.1,36.5,24.9,0.3
I00743,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1316,*,154,341,608,210,*,*,11.7,25.9,46.2,16,*
I00743,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2113,62,230,357,622,828,14,2.9,10.9,16.9,29.4,39.2,0.7
I00743,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1876,*,336,572,624,236,*,*,17.9,30.5,33.3,12.6,*
I00743,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2776,323,415,598,621,782,37,11.6,14.9,21.5,22.4,28.2,1.3
I00743,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3410,1321,623,636,470,352,8,38.7,18.3,18.7,13.8,10.3,0.2
I00743,RHU,PORTSMOUTH HOSPITALS NHS TRUST,2897,467,*,536,686,740,*,16.1,*,18.5,23.7,25.5,*
I00743,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1987,83,241,314,354,985,10,4.2,12.1,15.8,17.8,49.6,0.5
I00743,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1383,420,543,182,115,93,30,30.4,39.3,13.2,8.3,6.7,2.2
I00743,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2247,669,777,315,270,161,55,29.8,34.6,14,12,7.2,2.4
I00743,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1262,230,386,313,158,93,82,18.2,30.6,24.8,12.5,7.4,6.5
I00743,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2014,178,506,536,344,419,31,8.8,25.1,26.6,17.1,20.8,1.5
I00743,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1127,*,91,195,376,456,*,*,8.1,17.3,33.4,40.5,*
I00743,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,4064,1013,895,790,871,456,39,24.9,22,19.4,21.4,11.2,1
I00743,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1281,127,260,324,373,187,10,9.9,20.3,25.3,29.1,14.6,0.8
I00743,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2185,554,413,540,433,216,29,25.4,18.9,24.7,19.8,9.9,1.3
I00743,RJN,EAST CHESHIRE NHS TRUST,866,*,116,150,177,366,*,*,13.4,17.3,20.4,42.3,*
I00743,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1421,278,144,167,252,347,233,19.6,10.1,11.8,17.7,24.4,16.4
I00743,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2954,618,650,386,616,623,61,20.9,22,13.1,20.9,21.1,2.1
I00743,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,1805,573,576,321,230,*,*,31.7,31.9,17.8,12.7,*,*
I00743,RK9,PLYMOUTH HOSPITALS NHS TRUST,2221,322,634,566,520,172,7,14.5,28.5,25.5,23.4,7.7,0.3
I00743,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2852,580,667,599,577,413,16,20.3,23.4,21,20.2,14.5,0.6
I00743,RKE,THE WHITTINGTON HOSPITAL NHS TRUST,474,188,177,55,43,*,*,39.7,37.3,11.6,9.1,*,*
I00743,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2210,869,424,368,314,214,21,39.3,19.2,16.7,14.2,9.7,1
I00743,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,2052,885,574,240,242,74,37,43.1,28,11.7,11.8,3.6,1.8
I00743,RLQ,WYE VALLEY NHS TRUST,1120,49,98,491,314,30,138,4.4,8.8,43.8,28,2.7,12.3
I00743,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,900,150,259,222,167,*,*,16.7,28.8,24.7,18.6,*,*
I00743,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3273,202,560,955,963,563,30,6.2,17.1,29.2,29.4,17.2,0.9
I00743,RM2,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,1846,549,257,296,320,406,18,29.7,13.9,16,17.3,22,1
I00743,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,1671,707,432,260,166,96,10,42.3,25.9,15.6,9.9,5.7,0.6
I00743,RMC,BOLTON NHS FOUNDATION TRUST,1757,760,374,215,257,144,7,43.3,21.3,12.2,14.6,8.2,0.4
I00743,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,1366,553,413,212,126,*,*,40.5,30.2,15.5,9.2,*,*
I00743,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1647,151,183,297,455,546,15,9.2,11.1,18,27.6,33.2,0.9
I00743,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1903,*,224,364,432,873,*,*,11.8,19.1,22.7,45.9,*
I00743,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1495,*,356,295,408,290,*,*,23.8,19.7,27.3,19.4,*
I00743,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,2273,689,536,335,418,*,*,30.3,23.6,14.7,18.4,*,*
I00743,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,1732,353,405,434,330,189,21,20.4,23.4,25.1,19.1,10.9,1.2
I00743,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1466,*,304,342,299,304,*,*,20.7,23.3,20.4,20.7,*
I00743,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1758,208,280,318,446,497,9,11.8,15.9,18.1,25.4,28.3,0.5
I00743,RNZ,SALISBURY NHS FOUNDATION TRUST,1032,*,87,304,350,263,*,*,8.4,29.5,33.9,25.5,*
I00743,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,2735,982,669,560,461,*,*,35.9,24.5,20.5,16.9,*,*
I00743,RPA,MEDWAY NHS FOUNDATION TRUST,1924,328,544,391,340,292,29,17,28.3,20.3,17.7,15.2,1.5
I00743,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,1856,1163,277,200,164,39,13,62.7,14.9,10.8,8.8,2.1,0.7
I00743,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,1713,41,178,397,588,499,10,2.4,10.4,23.2,34.3,29.1,0.6
I00743,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,537,75,199,131,93,17,22,14,37.1,24.4,17.3,3.2,4.1
I00743,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,699,*,52,240,140,264,*,*,7.4,34.3,20,37.8,*
I00743,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1565,28,482,266,368,413,8,1.8,30.8,17,23.5,26.4,0.5
I00743,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,527,422,86,9,*,*,*,80.1,16.3,1.7,*,*,*
I00743,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,4272,1586,695,654,667,572,98,37.1,16.3,15.3,15.6,13.4,2.3
I00743,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1437,524,463,159,224,*,*,36.5,32.2,11.1,15.6,*,*
I00743,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,3891,1323,787,539,774,455,13,34,20.2,13.9,19.9,11.7,0.3
I00743,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1616,640,412,201,231,*,*,39.6,25.5,12.4,14.3,*,*
I00743,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,2564,968,570,618,239,133,36,37.8,22.2,24.1,9.3,5.2,1.4
I00743,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1199,366,361,199,118,96,59,30.5,30.1,16.6,9.8,8,4.9
I00743,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2607,939,534,342,400,363,29,36,20.5,13.1,15.3,13.9,1.1
I00743,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2952,232,292,710,820,881,17,7.9,9.9,24.1,27.8,29.8,0.6
I00743,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,3066,685,757,651,541,*,*,22.3,24.7,21.2,17.6,*,*
I00743,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,3028,489,562,700,566,631,80,16.1,18.6,23.1,18.7,20.8,2.6
I00743,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,3173,212,258,559,839,1289,16,6.7,8.1,17.6,26.4,40.6,0.5
I00743,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1608,*,147,274,378,789,*,*,9.1,17,23.5,49.1,*
I00743,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1703,16,135,419,433,688,12,0.9,7.9,24.6,25.4,40.4,0.7
I00743,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,2677,876,449,353,604,385,10,32.7,16.8,13.2,22.6,14.4,0.4
I00743,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1884,336,339,505,470,225,9,17.8,18,26.8,24.9,11.9,0.5
I00743,RVJ,NORTH BRISTOL NHS TRUST,1959,217,438,350,364,576,14,11.1,22.4,17.9,18.6,29.4,0.7
I00743,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,2012,45,309,377,414,847,20,2.2,15.4,18.7,20.6,42.1,1
I00743,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3923,570,767,1070,1218,289,9,14.5,19.6,27.3,31,7.4,0.2
I00743,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1863,775,347,339,210,*,*,41.6,18.6,18.2,11.3,*,*
I00743,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,1265,*,301,287,327,195,*,*,23.8,22.7,25.8,15.4,*
I00743,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1695,789,408,209,133,120,36,46.5,24.1,12.3,7.8,7.1,2.1
I00743,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,3981,1839,794,661,438,207,42,46.2,19.9,16.6,11,5.2,1.1
I00743,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,3370,1074,543,616,618,509,10,31.9,16.1,18.3,18.3,15.1,0.3
I00743,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,3494,505,812,900,812,453,12,14.5,23.2,25.8,23.2,13,0.3
I00743,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4337,684,826,773,979,1053,22,15.8,19,17.8,22.6,24.3,0.5
I00743,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2114,*,177,404,650,830,*,*,8.4,19.1,30.7,39.3,*
I00743,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1922,6,233,463,391,822,7,0.3,12.1,24.1,20.3,42.8,0.4
I00743,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2373,68,302,669,540,783,11,2.9,12.7,28.2,22.8,33,0.5
I00743,RWJ,STOCKPORT NHS FOUNDATION TRUST,1699,*,356,342,322,404,*,*,21,20.1,19,23.8,*
I00743,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,2736,266,315,734,876,536,9,9.7,11.5,26.8,32,19.6,0.3
I00743,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,1561,472,238,211,347,248,45,30.2,15.2,13.5,22.2,15.9,2.9
I00743,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2181,552,516,388,454,*,*,25.3,23.7,17.8,20.8,*,*
I00743,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,4183,988,882,738,722,831,22,23.6,21.1,17.6,17.3,19.9,0.5
I00743,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2511,407,720,646,531,199,8,16.2,28.7,25.7,21.1,7.9,0.3
I00743,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,2958,872,851,544,519,158,14,29.5,28.8,18.4,17.5,5.3,0.5
I00743,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,2304,285,462,540,482,524,11,12.4,20.1,23.4,20.9,22.7,0.5
I00743,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,2112,1336,445,257,52,10,12,63.3,21.1,12.2,2.5,0.5,0.6
I00743,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2351,630,527,492,415,279,8,26.8,22.4,20.9,17.7,11.9,0.3
I00743,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2311,478,419,364,607,423,20,20.7,18.1,15.8,26.3,18.3,0.9
I00743,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2891,816,920,499,339,*,*,28.2,31.8,17.3,11.7,*,*
