INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,Q_1_NUMERATOR,Q_2_NUMERATOR,Q_3_NUMERATOR,Q_4_NUMERATOR,Q_5_NUMERATOR,NULL_NUMERATOR,Q_1_RATE,Q_2_RATE,Q_3_RATE,Q_4_RATE,Q_5_RATE,NULL_RATE
I00742,R1F,ISLE OF WIGHT NHS TRUST,17983,1286,6142,6898,2722,713,222,7.2,34.2,38.4,15.1,4,1.2
I00742,R1H,BARTS HEALTH NHS TRUST,158212,89598,34016,15597,8860,5489,4652,56.6,21.5,9.9,5.6,3.5,2.9
I00742,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,97328,16227,33873,28082,11801,5607,1738,16.7,34.8,28.9,12.1,5.8,1.8
I00742,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,50408,309,2957,6530,12575,26908,1129,0.6,5.9,13,24.9,53.4,2.2
I00742,RA3,WESTON AREA HEALTH NHS TRUST,19056,3616,3002,3966,5824,2427,221,19,15.8,20.8,30.6,12.7,1.2
I00742,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,24166,962,2641,7419,9769,3125,250,4,10.9,30.7,40.4,12.9,1
I00742,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,73569,17098,15530,12826,14106,12608,1401,23.2,21.1,17.4,19.2,17.1,1.9
I00742,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,39391,5741,11775,11873,7498,2165,339,14.6,29.9,30.1,19,5.5,0.9
I00742,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,77232,43838,14776,10434,5037,2816,331,56.8,19.1,13.5,6.5,3.6,0.4
I00742,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,53765,8802,10297,11452,10398,12217,599,16.4,19.2,21.3,19.3,22.7,1.1
I00742,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,97663,12887,22674,27644,22453,9797,2208,13.2,23.2,28.3,23,10,2.3
