INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,R1F,ISLE OF WIGHT NHS TRUST,799,517,282,64.7059,35.2941
I00733,R1H,BARTS HEALTH NHS TRUST,3661,2872,789,78.4485,21.5515
I00733,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2466,1876,590,76.0746,23.9254
I00733,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1215,779,436,64.1152,35.8848
I00733,RA3,WESTON AREA HEALTH NHS TRUST,920,630,290,68.4783,31.5217
I00733,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,930,611,319,65.6989,34.3011
I00733,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1735,1266,469,72.9683,27.0317
I00733,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1655,1088,567,65.7402,34.2598
I00733,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1697,1148,549,67.6488,32.3512
I00733,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2026,1371,655,67.6703,32.3297
I00733,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2691,1983,708,73.6901,26.3099
I00733,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1356,1072,284,79.056,20.944
I00733,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,1013,781,232,77.0977,22.9023
I00733,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1143,802,341,70.1662,29.8338
I00733,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1554,1005,549,64.6718,35.3282
I00733,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1088,702,386,64.5221,35.4779
I00733,RBK,WALSALL HEALTHCARE NHS TRUST,1632,1170,462,71.6912,28.3088
I00733,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2055,1454,601,70.7543,29.2457
I00733,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2140,1493,647,69.7664,30.2336
I00733,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1406,943,463,67.0697,32.9303
I00733,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1223,876,347,71.6271,28.3729
I00733,RC1,BEDFORD HOSPITAL NHS TRUST,1099,757,342,68.8808,31.1192
I00733,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1576,1128,448,71.5736,28.4264
I00733,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2993,2024,969,67.6245,32.3755
I00733,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,944,683,261,72.3517,27.6483
I00733,RCF,AIREDALE NHS FOUNDATION TRUST,1039,678,361,65.2551,34.7449
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1451,996,455,68.6423,31.3577
I00733,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1928,1380,548,71.5768,28.4232
I00733,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1526,1159,367,75.9502,24.0498
I00733,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1128,806,322,71.4539,28.5461
