INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,R1F,ISLE OF WIGHT NHS TRUST,799,0,254,254,0,31.8,31.8
I00721,R1H,BARTS HEALTH NHS TRUST,3661,294,631,651,8,17.2,17.8
I00721,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,2466,0,517,517,0,21,21
I00721,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1215,9,330,334,0.7,27.2,27.5
I00721,RA3,WESTON AREA HEALTH NHS TRUST,920,0,242,242,0,26.3,26.3
I00721,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,930,0,298,298,0,32,32
I00721,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,1735,46,391,418,2.7,22.5,24.1
I00721,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,1655,0,309,309,0,18.7,18.7
I00721,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1697,0,332,332,0,19.6,19.6
I00721,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2026,72,342,358,3.6,16.9,17.7
I00721,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2691,0,789,789,0,29.3,29.3
I00721,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1356,0,330,330,0,24.3,24.3
I00721,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,1013,0,248,248,0,24.5,24.5
I00721,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1143,0,355,355,0,31.1,31.1
I00721,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,1554,0,222,222,0,14.3,14.3
I00721,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1088,0,178,178,0,16.4,16.4
I00721,RBK,WALSALL HEALTHCARE NHS TRUST,1632,0,564,564,0,34.6,34.6
I00721,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2055,0,618,618,0,30.1,30.1
I00721,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,2140,0,501,501,0,23.4,23.4
I00721,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1406,0,321,321,0,22.8,22.8
I00721,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,1223,0,202,202,0,16.5,16.5
I00721,RC1,BEDFORD HOSPITAL NHS TRUST,1099,0,260,260,0,23.7,23.7
I00721,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1576,0,249,249,0,15.8,15.8
I00721,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,2993,0,599,599,0,20,20
I00721,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,944,0,174,174,0,18.4,18.4
I00721,RCF,AIREDALE NHS FOUNDATION TRUST,1039,0,275,275,0,26.5,26.5
I00721,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1451,55,241,246,3.8,16.6,17
I00721,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1928,0,366,366,0,19,19
I00721,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,1526,198,477,485,13,31.3,31.8
I00721,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,1128,0,401,401,0,35.5,35.5
I00721,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1990,281,512,552,14.1,25.7,27.7
I00721,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2100,0,503,503,0,24,24
I00721,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3146,23,1213,1217,0.7,38.6,38.7
I00721,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,2044,324,897,907,15.9,43.9,44.4
I00721,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,1116,155,261,261,13.9,23.4,23.4
I00721,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2064,1,543,543,0,26.3,26.3
I00721,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1978,0,920,920,0,46.5,46.5
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3059,0,540,540,0,17.7,17.7
