INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,"ENGLAND",286524,204618,81906,71.4139,28.5861
I00733,R1F,"ISLE OF WIGHT NHS TRUST",826,548,278,66.3438,33.6562
I00733,R1H,"BARTS HEALTH NHS TRUST",3823,3046,777,79.6756,20.3244
I00733,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",2494,1891,603,75.8220,24.1780
I00733,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",1320,853,467,64.6212,35.3788
I00733,RA3,"WESTON AREA HEALTH NHS TRUST",1026,694,332,67.6413,32.3587
I00733,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",962,659,303,68.5031,31.4969
I00733,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",1721,1293,428,75.1307,24.8693
I00733,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",1844,1297,547,70.3362,29.6638
I00733,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1755,1165,590,66.3818,33.6182
I00733,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2326,1569,757,67.4549,32.5451
I00733,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",2822,1994,828,70.6591,29.3409
I00733,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1400,1123,277,80.2143,19.7857
I00733,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",991,791,200,79.8184,20.1816
I00733,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1261,904,357,71.6891,28.3109
I00733,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",1675,1135,540,67.7612,32.2388
I00733,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1158,752,406,64.9396,35.0604
I00733,RBK,"WALSALL HEALTHCARE NHS TRUST",1572,1086,486,69.0840,30.9160
I00733,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",2272,1648,624,72.5352,27.4648
I00733,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",2226,1539,687,69.1375,30.8625
I00733,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1444,954,490,66.0665,33.9335
I00733,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",1244,927,317,74.5177,25.4823
I00733,RC1,"BEDFORD HOSPITAL NHS TRUST",1169,821,348,70.2310,29.7690
I00733,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1693,1202,491,70.9982,29.0018
I00733,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",3185,2169,1016,68.1005,31.8995
I00733,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",921,635,286,68.9468,31.0532
I00733,RCF,"AIREDALE NHS FOUNDATION TRUST",990,680,310,68.6869,31.3131
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1510,1034,476,68.4768,31.5232
I00733,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",1983,1438,545,72.5164,27.4836
I00733,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",1565,1198,367,76.5495,23.4505
I00733,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1238,862,376,69.6284,30.3716
I00733,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2050,1556,494,75.9024,24.0976
I00733,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",2205,1539,666,69.7959,30.2041
I00733,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3465,2534,931,73.1313,26.8687
I00733,RDZ,"THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST",2075,1642,433,79.1325,20.8675
I00733,RE9,"SOUTH TYNESIDE NHS FOUNDATION TRUST",1168,886,282,75.8562,24.1438
I00733,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",2431,1668,763,68.6137,31.3863
I00733,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1979,1381,598,69.7827,30.2173
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3140,2324,816,74.0127,25.9873
I00733,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1437,1017,420,70.7724,29.2276
I00733,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",1484,1039,445,70.0135,29.9865
I00733,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1793,1246,547,69.4925,30.5075
I00733,RGN,"PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST",1896,1286,610,67.8270,32.1730
I00733,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1430,1038,392,72.5874,27.4126
I00733,RGQ,"IPSWICH HOSPITAL NHS TRUST",1975,1356,619,68.6582,31.3418
I00733,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",1361,945,416,69.4342,30.5658
I00733,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2276,1528,748,67.1353,32.8647
I00733,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",1918,1383,535,72.1064,27.8936
I00733,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",2720,2131,589,78.3456,21.6544
I00733,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",3539,2647,892,74.7951,25.2049
I00733,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",3053,2161,892,70.7828,29.2172
I00733,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",2022,1374,648,67.9525,32.0475
I00733,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1471,1067,404,72.5357,27.4643
I00733,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2398,1817,581,75.7715,24.2285
I00733,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1292,986,306,76.3158,23.6842
I00733,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2109,1603,506,76.0076,23.9924
I00733,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",1145,817,328,71.3537,28.6463
