INDICATOR_CODE,DIAGNOSIS_GROUP,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED
I00699,1,R1H,"BARTS HEALTH NHS TRUST",150,*,4.6301
I00699,1,R1K,"LONDON NORTH WEST HEALTHCARE NHS TRUST",139,*,5.0117
I00699,1,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",8,0,0.2315
I00699,1,RA3,"WESTON AREA HEALTH NHS TRUST",*,*,0.0550
I00699,1,RA7,"UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST",25,0,0.4977
I00699,1,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",*,0,0.0638
I00699,1,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",33,*,1.0945
I00699,1,RAJ,"SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",*,*,0.1249
I00699,1,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",45,*,2.2948
I00699,1,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",22,*,0.3560
I00699,1,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",20,0,0.5149
I00699,1,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",8,0,0.2792
I00699,1,RBA,"TAUNTON AND SOMERSET NHS FOUNDATION TRUST",*,0,0.0560
I00699,1,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",*,0,0.0526
I00699,1,RBK,"WALSALL HEALTHCARE NHS TRUST",6,0,0.2089
I00699,1,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",*,0,0.2806
I00699,1,RBN,"ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST",*,0,0.0093
I00699,1,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",*,0,0.0175
I00699,1,RC1,"BEDFORD HOSPITAL NHS TRUST",*,0,0.0684
I00699,1,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",21,*,0.7223
I00699,1,RCB,"YORK TEACHING HOSPITAL NHS FOUNDATION TRUST",*,0,0.5582
I00699,1,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",*,0,0.0124
I00699,1,RCF,"AIREDALE NHS FOUNDATION TRUST",*,0,0.4862
I00699,1,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,0,0.0124
I00699,1,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",*,0,0.2316
I00699,1,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",*,*,0.0612
