INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00732,ENG,"ENGLAND",283238,7594459,3.7295
I00732,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2081,40183,5.1788
I00732,RCF,"AIREDALE NHS FOUNDATION TRUST",1012,31737,3.1887
I00732,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1706,35320,4.8301
I00732,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3246,74889,4.3344
I00732,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1425,38036,3.7465
I00732,R1H,"BARTS HEALTH NHS TRUST",3585,135331,2.6491
I00732,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2106,48900,4.3067
I00732,RC1,"BEDFORD HOSPITAL NHS TRUST",1171,30408,3.8510
I00732,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2337,49448,4.7262
I00732,RMC,"BOLTON NHS FOUNDATION TRUST",1683,58717,2.8663
I00732,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1826,65982,2.7674
I00732,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2403,60354,3.9815
I00732,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1522,50899,2.9902
I00732,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",1276,38665,3.3001
I00732,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2257,58260,3.8740
I00732,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2113,56373,3.7482
I00732,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1618,85377,1.8951
I00732,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1496,81294,1.8402
I00732,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1840,45528,4.0415
I00732,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",2031,44865,4.5269
I00732,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",2279,50352,4.5261
I00732,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1493,43427,3.4380
I00732,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3024,73898,4.0921
I00732,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1270,40993,3.0981
I00732,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1405,42013,3.3442
I00732,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",3240,73983,4.3794
I00732,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2852,66454,4.2917
I00732,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1163,27197,4.2762
I00732,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2336,57781,4.0429
