INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00720,ENG,"ENGLAND",8906134,7993,139548,140841,0.0897,1.5669,1.5814
I00720,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",48208,198,1837,1848,0.4107,3.8106,3.8334
I00720,RCF,"AIREDALE NHS FOUNDATION TRUST",34833,0,491,491,0.0000,1.4096,1.4096
I00720,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",42117,0,1137,1137,0.0000,2.6996,2.6996
I00720,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",82856,0,1275,1275,0.0000,1.5388,1.5388
I00720,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",42125,0,669,669,0.0000,1.5881,1.5881
I00720,R1H,"BARTS HEALTH NHS TRUST",155421,408,2186,2209,0.2625,1.4065,1.4213
I00720,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",54894,982,791,1327,1.7889,1.4410,2.4174
I00720,RC1,"BEDFORD HOSPITAL NHS TRUST",33429,0,462,462,0.0000,1.3820,1.3820
I00720,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",57161,6,819,820,0.0105,1.4328,1.4345
I00720,RMC,"BOLTON NHS FOUNDATION TRUST",65382,1,865,866,0.0015,1.3230,1.3245
I00720,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",75557,0,851,851,0.0000,1.1263,1.1263
I00720,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",71181,0,958,958,0.0000,1.3459,1.3459
I00720,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",56825,297,1063,1072,0.5227,1.8707,1.8865
I00720,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",42510,0,621,621,0.0000,1.4608,1.4608
I00720,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",66162,0,1159,1159,0.0000,1.7518,1.7518
I00720,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",77367,0,1328,1328,0.0000,1.7165,1.7165
I00720,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",105314,0,1329,1329,0.0000,1.2619,1.2619
I00720,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",90330,51,840,850,0.0565,0.9299,0.9410
I00720,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",50008,0,929,929,0.0000,1.8577,1.8577
I00720,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",57048,0,741,741,0.0000,1.2989,1.2989
I00720,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",57191,0,941,941,0.0000,1.6454,1.6454
I00720,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",48454,1,896,896,0.0021,1.8492,1.8492
I00720,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",82395,0,1457,1457,0.0000,1.7683,1.7683
I00720,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",44100,0,744,744,0.0000,1.6871,1.6871
I00720,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",56221,0,995,995,0.0000,1.7698,1.7698
I00720,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",87810,452,1070,1117,0.5147,1.2185,1.2721
I00720,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",77413,0,1696,1696,0.0000,2.1908,2.1908
I00720,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",31505,0,668,668,0.0000,2.1203,2.1203
I00720,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",68395,292,1705,1705,0.4269,2.4929,2.4929
I00720,RJN,"EAST CHESHIRE NHS TRUST",20374,1,269,269,0.0049,1.3203,1.3203
I00720,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",107274,0,1510,1510,0.0000,1.4076,1.4076
I00720,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",79770,2,1139,1141,0.0025,1.4279,1.4304
I00720,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",53336,0,790,790,0.0000,1.4812,1.4812
I00720,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",62045,1,1276,1277,0.0016,2.0566,2.0582
I00720,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",127793,1,2523,2523,0.0008,1.9743,1.9743
I00720,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",35118,186,341,354,0.5296,0.9710,1.0080
I00720,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",21658,0,755,755,0.0000,3.4860,3.4860
