INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01964,ENG,"ENGLAND",1087272,8906134,12.2081
I01964,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",7810,48208,16.2006
I01964,RCF,"AIREDALE NHS FOUNDATION TRUST",3938,34833,11.3054
I01964,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",3941,42117,9.3573
I01964,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",11266,82856,13.5971
I01964,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",4977,42125,11.8148
I01964,R1H,"BARTS HEALTH NHS TRUST",17321,155421,11.1446
I01964,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",4428,54894,8.0665
I01964,RC1,"BEDFORD HOSPITAL NHS TRUST",4377,33429,13.0934
I01964,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",7004,57161,12.2531
I01964,RMC,"BOLTON NHS FOUNDATION TRUST",6903,65382,10.5580
I01964,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",10824,75557,14.3256
I01964,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",8453,71181,11.8754
I01964,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",5905,56825,10.3916
I01964,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",5613,42510,13.2040
I01964,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",7591,66162,11.4734
I01964,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",7536,77367,9.7406
I01964,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",10589,105314,10.0547
I01964,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",18310,90330,20.2701
I01964,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",6015,50008,12.0281
I01964,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",4215,57048,7.3885
I01964,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",6710,57191,11.7326
I01964,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",5136,48454,10.5997
I01964,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",9740,82395,11.8211
I01964,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",5948,44100,13.4875
I01964,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",7549,56221,13.4274
I01964,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",7822,87810,8.9079
I01964,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",10717,77413,13.8439
I01964,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",4834,31505,15.3436
I01964,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",9665,68395,14.1311
I01964,RJN,"EAST CHESHIRE NHS TRUST",1785,20374,8.7612
I01964,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",14247,107274,13.2809
I01964,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",8359,79770,10.4789
I01964,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",6507,53336,12.2000
I01964,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",7873,62045,12.6892
I01964,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",18573,127793,14.5337
I01964,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",4473,35118,12.7371
I01964,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",2274,21658,10.4996
I01964,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",9459,87051,10.8660
I01964,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",7738,57248,13.5166
I01964,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",7264,88426,8.2148
I01964,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",7009,61681,11.3633
I01964,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",3580,26225,13.6511
I01964,RR1,"HEART OF ENGLAND NHS FOUNDATION TRUST",28822,188050,15.3268
I01964,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",4020,43863,9.1649
