INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01963,ENG,"ENGLAND",27500,8906134,0.3088
I01963,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",214,48208,0.4439
I01963,RCF,"AIREDALE NHS FOUNDATION TRUST",6,34833,0.0172
I01963,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",15,42117,0.0356
I01963,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",21,82856,0.0253
I01963,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",21,42125,0.0499
I01963,R1H,"BARTS HEALTH NHS TRUST",485,155421,0.3121
I01963,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",123,54894,0.2241
I01963,RC1,"BEDFORD HOSPITAL NHS TRUST",14,33429,0.0419
I01963,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",30,57161,0.0525
I01963,RMC,"BOLTON NHS FOUNDATION TRUST",205,65382,0.3135
I01963,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1316,75557,1.7417
I01963,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",31,71181,0.0436
I01963,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",410,56825,0.7215
I01963,RJF,"BURTON HOSPITALS NHS FOUNDATION TRUST",598,42510,1.4067
I01963,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",11,66162,0.0166
I01963,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",52,77367,0.0672
I01963,RW3,"CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",130,105314,0.1234
I01963,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",5285,90330,5.8508
I01963,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",3,50008,0.0060
I01963,RLN,"CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST",12,57048,0.0210
I01963,RDE,"COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST",31,57191,0.0542
I01963,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",139,48454,0.2869
I01963,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",6,82395,0.0073
I01963,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",18,44100,0.0408
I01963,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",71,56221,0.1263
I01963,RTG,"DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST",28,87810,0.0319
I01963,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",219,77413,0.2829
