INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1924.418,2101.7408,1872.418,2396.5265,2403.3466,2394.5265,522.1085,25,0,722.682,25,0,365.2744,25,0,85.4382,14.2781,0.2837,1878910,0.7116,0.7136,0.0584,0.8558
I00699,2,168724.98,168989.2421,168672.98,193589.1768,193599.3407,193587.1768,24914.1968,25,0,22912.8909,25,0,16536.0449,25,0,73.9786,25.1768,0.8446,5952770208,0.488,0.4922,0.158,0.744
I00699,3,4253.1535,4444.9412,4201.1535,5468.7904,5476.1668,5466.7904,1265.6369,25,0,1303.5185,25,0,472.3979,25,0,84.9916,14.5871,0.4213,8065512,0.704,0.707,0.0815,0.852
I00699,4,3061.41,3249.1093,3009.41,3619.0607,3626.2799,3617.0607,607.6507,25,0,573.9236,25,0,283.599,25,0,81.5388,18.0925,0.3687,4245560,0.6345,0.6368,0.0529,0.8172
I00699,5,1681.8909,1729.9302,1667.8909,1822.063,1828.9258,1820.063,152.1722,6,0,157.2952,6,0,139.7314,6,0,70.8298,24.1878,4.9824,1372800,0.4664,0.4909,0.0257,0.7332
I00699,6,7279.74,7559.737,7227.74,11018.2481,11029.0173,11016.2481,3788.5081,25,0,13776.3808,25,0,1964.39,25,0,96.0955,3.7539,0.1505,271230498,0.9234,0.9248,0.0041,0.9617
I00699,7,13131.9853,13356.7633,13079.9853,17594.9438,17603.5891,17592.9438,4512.9585,25,0,5363.2446,25,0,3168.4781,25,0,86.3957,13.3441,0.2601,89726146,0.7305,0.7324,0.0743,0.8653
I00699,8,21856.6695,22030.2037,21814.6695,27044.2472,27052.5108,27042.2472,5227.5778,20,0,4661.0298,20,0,3505.9278,20,0,79.8445,19.7049,0.4506,121392995,0.6014,0.6041,0.1777,0.8007
I00699,9,14462.3069,14642.7092,14416.3069,18319.877,18327.7205,18317.877,3901.5701,22,0,3462.7611,22,0,2481.6655,22,0,80.8147,18.7461,0.4392,54608382,0.6207,0.6234,0.1911,0.8103
I00699,10,33060.1681,33281.4491,33012.1681,46520.9902,46530.2102,46518.9902,13506.8221,23,0,13434.62,23,0,7784.21,23,0,87.1759,12.5119,0.3123,474185940,0.7466,0.749,0.1272,0.8733
I00699,11,17477.552,17671.0234,17433.552,25404.4468,25413.2409,25402.4468,7968.8948,21,0,8893.0222,21,0,4833.8965,21,0,88.5921,11.1483,0.2595,160156904,0.7744,0.7765,0.1044,0.8872
I00699,12,14565.3136,14771.3281,14513.3136,19845.747,19853.6707,19843.747,5330.4334,25,0,4812.3458,25,0,3102.8662,25,0,84.0084,15.6181,0.3735,64086810,0.6839,0.6865,0.2105,0.842
I00699,13,24477.2443,24672.6889,24429.2443,30131.6367,30139.7802,30129.6367,5700.3924,23,0,4845.3032,23,0,3714.1031,23,0,78.2242,21.2333,0.5425,130193133,0.5699,0.573,0.2296,0.785
I00699,14,9922.6544,10120.4233,9870.6544,12842.8284,12850.4348,12840.8284,2970.1739,25,0,2687.8897,25,0,1837.5657,25,0,82.7209,16.894,0.3851,28992810,0.6583,0.6608,0.1728,0.8291
I00699,15,74342.9695,74585.532,74290.9695,96126.418,96135.7473,96124.418,21833.4485,25,0,17906.8826,25,0,11587.0857,25,0,79.9175,19.5092,0.5733,1346797840,0.6041,0.6076,0.2349,0.802
I00699,16,3963.0251,4122.5108,3915.0251,4995.0406,5001.6859,4993.0406,1078.0155,23,0,949.1164,23,0,595.5657,23,0,81.0825,18.3766,0.541,4335700,0.6271,0.6305,0.1684,0.8135
I00699,17,5142.27,5357.458,5090.27,9081.3142,9089.5907,9079.3142,3989.0442,25,0,5944.1742,25,0,2018.3721,25,0,93.9932,5.8616,0.1452,29579088,0.8813,0.8826,0.0618,0.9407
I00699,18,17205.5391,17438.7299,17157.5391,34499.1154,34508.8317,34497.1154,17339.5762,23,0,26978.7906,23,0,6311.9465,23,0,95.8465,3.944,0.2096,461591290,0.919,0.921,0.0565,0.9595
I00699,19,5260.6986,5454.9304,5212.6986,9495.2067,9503.2997,9493.2067,4280.508,23,0,6319.8395,23,0,2157.8817,23,0,94.2601,5.4668,0.2732,27371562,0.8879,0.8904,0.0832,0.944
I00699,20,4392.4956,4595.467,4340.4956,7003.8353,7011.6419,7001.8353,2661.3397,25,0,3220.5382,25,0,1436.8497,25,0,92.4491,7.332,0.2189,15085440,0.8512,0.853,0.0779,0.9256
I00699,21,11772.912,11976.2034,11722.912,16649.5976,16657.7292,16647.5976,4924.6856,24,0,4841.1803,24,0,2754.7395,24,0,87.2748,12.0941,0.6312,58248528,0.7518,0.7566,0.1387,0.8759
I00699,22,19252.2462,19481.5268,19202.2462,32606.018,32615.1893,32604.018,13401.7719,24,0,15021.4902,24,0,4669.8035,24,0,92.7711,6.6759,0.553,288736383,0.861,0.8657,0.0985,0.9305
I00699,23,16273.3281,16519.1802,16221.3281,27350.2324,27359.6882,27348.2324,11126.9042,25,0,19143.4647,25,0,6847.6242,25,0,92.7207,7.054,0.2253,284073620,0.8567,0.8586,0.0546,0.9283
I00699,24,10279.6548,10497.8494,10227.6548,16466.8837,16475.2758,16464.8837,6237.2289,25,0,7023.9819,25,0,3062.9351,25,0,91.3031,8.4356,0.2613,68795244,0.8287,0.8308,0.1073,0.9143
I00699,25,16131.1675,16344.0523,16079.1675,18878.6958,18886.8837,18876.6958,2797.5283,25,0,2592.2831,25,0,1872.6814,25,0,77.5303,22.148,0.3218,71435530,0.5538,0.5556,0.112,0.7769
I00699,26,25542.2628,25777.1586,25490.2628,32020.4218,32029.4563,32018.4218,6528.159,25,0,6913.278,25,0,4681.3835,25,0,82.9762,16.7718,0.252,256030422,0.662,0.6637,0.0883,0.831
I00699,27,29668.1499,29904.7774,29616.1499,35081.3497,35090.4508,35079.3497,5463.1998,25,0,5304.1423,25,0,3927.6959,25,0,79.4677,20.2854,0.2469,302037690,0.5918,0.5933,0.0815,0.7959
I00699,28,13199.5515,13402.9204,13151.5515,16379.9266,16388.4003,16377.9266,3226.375,23,0,3435.9137,23,0,2321.3274,23,0,82.8614,16.8139,0.3246,72391752,0.6605,0.6626,0.0764,0.8302
I00699,29,4847.4481,5035.1292,4795.4481,7504.2806,7511.4992,7502.2806,2706.8326,25,0,2355.2984,25,0,1140.4501,25,0,89.4994,10.2941,0.2065,10933656,0.7921,0.7937,0.1704,0.896
I00699,30,97388.3196,97641.7474,97336.3196,114949.0005,114958.7478,114947.0005,17610.6809,25,0,14871.1826,25,0,10415.192,25,0,75.764,23.5128,0.7232,2246457537,0.5225,0.5263,0.1469,0.7613
I00699,31,22218.6446,22446.5754,22166.6446,38165.8013,38174.5678,38163.8013,15997.1566,25,0,15079.0501,25,0,6479.2834,25,0,91.5393,8.2042,0.2565,268415028,0.8334,0.8355,0.199,0.9167
I00699,32,9639.6093,9874.083,9587.6093,13095.9804,13104.9987,13093.9804,3506.3711,25,0,4267.6265,25,0,2241.4984,25,0,89.5148,10.3343,0.1509,81542376,0.7918,0.793,0.0347,0.8959
I00699,33,5258.064,5517.4107,5206.064,7127.1296,7137.1045,7125.1296,1919.0656,25,0,4104.8556,25,0,1596.0772,25,0,92.1147,7.7532,0.132,84153888,0.8436,0.8447,0.0056,0.9218
I00699,34,7158.9937,7391.9453,7106.9937,8803.4896,8812.4492,8801.4896,1694.4959,25,0,2088.0259,25,0,794.8423,25,0,86.4899,13.0581,0.452,47824416,0.7343,0.7377,0.0212,0.8672
I00699,35,16386.4239,16628.6784,16334.4239,20505.7571,20515.0746,20503.7571,4169.3332,25,0,5458.668,25,0,2606.7214,25,0,85.6632,13.9688,0.3679,178593480,0.7169,0.7196,0.0379,0.8585
I00699,36,17845.7448,18092.758,17793.7448,22230.6805,22240.181,22228.6805,4434.9357,25,0,4548.1802,25,0,1658.0562,25,0,85.4675,14.0472,0.4853,226765728,0.7142,0.7177,0.0332,0.8571
I00699,37,63377.8147,63630.956,63325.8147,69075.0241,69084.7603,69073.0241,5747.2094,25,0,5408.1069,25,0,4287.9471,25,0,71.2764,27.7116,1.012,1136816712,0.4356,0.4401,0.0634,0.7178
I00699,38,24170.1858,24417.5346,24118.1858,31578.8718,31588.3852,31576.8718,7458.686,25,0,8164.2667,25,0,3751.1064,25,0,87.0629,12.6375,0.2996,355286694,0.7443,0.7465,0.0528,0.8721
I00699,39,42937.1744,43196.2506,42885.1744,47233.4787,47243.4432,47231.4787,4346.3043,25,0,3884.7318,25,0,2885.3142,25,0,74.3131,25.0214,0.6654,823860120,0.4929,0.4962,0.0329,0.7465
I00699,40,3448.2562,3652.116,3396.2562,4055.1476,4062.9883,4053.1476,656.8914,25,0,827.1584,25,0,373.4599,25,0,82.3863,17.0095,0.6042,7784640,0.6538,0.6577,0.0288,0.8269
I00699,41,6092.7435,6334.7901,6040.7435,8659.9875,8669.297,8657.9875,2617.2441,25,0,5175.1363,25,0,1683.804,25,0,92.6672,7.2086,0.1242,61752592,0.8546,0.8556,0.0159,0.9273
I00699,42,60471.7727,60715.5384,60419.7727,62146.1913,62155.5669,62144.1913,1724.4186,25,0,1479.4074,25,0,1182.2973,25,0,60.5312,37.8141,1.6547,772227288,0.2272,0.231,0.0462,0.6136
I00699,43,12245.2086,12508.4509,12193.2086,13452.7995,13462.9242,13450.7995,1257.5909,25,0,1732.3272,25,0,1100.874,25,0,77.4813,21.9992,0.5195,201415928,0.5548,0.5577,0.0066,0.7774
I00699,44,14564.7647,14796.5948,14512.7647,15538.3948,15547.3113,15536.3948,1023.6301,25,0,893.5812,25,0,604.6204,25,0,70.1811,28.8368,0.9821,93482231,0.4134,0.4175,0.0255,0.7067
I00699,45,1351.6982,1561.7378,1299.6982,1616.1271,1624.2055,1614.1271,314.4289,25,0,511.0988,25,0,190.9167,25,0,88.7704,10.9979,0.2317,3080220,0.7777,0.7795,0.0084,0.8889
I00699,46,8260.2221,8478.3559,8208.2221,10945.8279,10954.2177,10943.8279,2735.6059,25,0,4411.4433,25,0,2126.3785,25,0,86.9403,12.8223,0.2373,40712184,0.7412,0.7429,0.0571,0.8706
