INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00743,ENG,ENGLAND,293770,59814,59400,60180,58215,51490,4671,20.3608,20.2199,20.4854,19.8165,17.5273,1.59
I00743,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2082,1169,278,274,200,112,49,56.1479,13.3525,13.1604,9.6061,5.3794,2.3535
I00743,RCF,AIREDALE NHS FOUNDATION TRUST,1053,167,*,236,336,203,*,15.8594,*,22.4122,31.9088,19.2783,*
I00743,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1757,*,153,299,362,928,*,*,8.708,17.0176,20.6033,52.8173,*
I00743,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3294,540,970,805,686,273,20,16.3934,29.4475,24.4384,20.8257,8.2878,0.6072
I00743,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1505,467,487,328,151,53,19,31.0299,32.3588,21.794,10.0332,3.5216,1.2625
I00743,R1H,BARTS HEALTH NHS TRUST,3777,1937,802,394,249,199,196,51.2841,21.2338,10.4316,6.5925,5.2687,5.1893
I00743,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2269,331,584,488,368,488,10,14.5879,25.7382,21.5073,16.2186,21.5073,0.4407
I00743,RC1,BEDFORD HOSPITAL NHS TRUST,1194,85,281,179,273,364,12,7.1189,23.5343,14.9916,22.8643,30.4858,1.005
I00743,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2445,640,480,512,447,350,16,26.1759,19.6319,20.9407,18.2822,14.3149,0.6544
I00743,RMC,BOLTON NHS FOUNDATION TRUST,1726,744,369,211,231,139,32,43.1054,21.3789,12.2248,13.3835,8.0533,1.854
I00743,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1846,823,437,319,132,110,25,44.5829,23.6728,17.2806,7.1506,5.9588,1.3543
I00743,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,2430,288,469,529,516,578,50,11.8519,19.3004,21.7695,21.2346,23.786,2.0576
I00743,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1658,6,209,243,275,908,17,0.3619,12.6055,14.6562,16.5862,54.7648,1.0253
I00743,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,1326,*,258,363,373,213,*,*,19.457,27.3756,28.1297,16.0633,*
I00743,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2507,638,633,410,517,297,12,25.4487,25.2493,16.3542,20.6223,11.8468,0.4787
I00743,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2338,61,261,354,652,930,80,2.6091,11.1634,15.1411,27.8871,39.7776,3.4217
I00743,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1621,127,534,445,312,111,92,7.8347,32.9426,27.4522,19.2474,6.8476,5.6755
I00743,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1946,372,524,364,405,*,*,19.1161,26.927,18.705,20.8119,*,*
I00743,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,1976,885,518,259,239,55,20,44.7874,26.2146,13.1073,12.0951,2.7834,1.0121
I00743,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,2473,275,604,685,583,296,30,11.1201,24.4238,27.6992,23.5746,11.9693,1.2131
I00743,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1462,285,150,166,252,341,268,19.4938,10.2599,11.3543,17.2367,23.3242,18.3311
I00743,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3005,881,902,494,341,358,29,29.3178,30.0166,16.4393,11.3478,11.9135,0.9651
I00743,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1261,225,371,314,194,117,40,17.843,29.4211,24.9009,15.3846,9.2784,3.1721
I00743,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1570,163,323,314,413,341,16,10.3822,20.5732,20,26.3057,21.7197,1.0191
I00743,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,3162,509,580,735,614,663,61,16.0974,18.3428,23.2448,19.4181,20.9677,1.9292
I00743,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2831,954,740,590,469,*,*,33.6983,26.1392,20.8407,16.5666,*,*
I00743,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1132,107,211,417,314,72,11,9.4523,18.6396,36.8375,27.7385,6.3604,0.9717
I00743,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,2510,73,348,639,590,844,16,2.9084,13.8645,25.4582,23.506,33.6255,0.6375
I00743,RJN,EAST CHESHIRE NHS TRUST,926,*,124,170,192,386,*,*,13.3909,18.3585,20.7343,41.6847,*
I00743,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,4164,663,892,1055,1214,307,33,15.9222,21.4217,25.3362,29.1547,7.3727,0.7925
I00743,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2711,1039,704,335,435,183,15,38.3253,25.9683,12.3571,16.0457,6.7503,0.5533
