INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00742,ENG,ENGLAND,8972241,2119315,1855244,1692820,1557954,1430823,316085,23.6208,20.6776,18.8673,17.3642,15.9472,3.5229
I00742,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,51323,29353,6717,6408,4632,2766,1447,57.1927,13.0877,12.4856,9.0252,5.3894,2.8194
I00742,RCF,AIREDALE NHS FOUNDATION TRUST,33196,7036,4414,6467,9896,5062,321,21.1953,13.2968,19.4813,29.8108,15.2488,0.967
I00742,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,42355,466,4579,7158,9940,19839,373,1.1002,10.811,16.9,23.4683,46.8398,0.8807
I00742,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",86832,18652,27351,18824,14690,6182,1133,21.4806,31.4988,21.6786,16.9177,7.1195,1.3048
I00742,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,42742,14495,12119,7916,4295,2019,1898,33.9128,28.3538,18.5204,10.0487,4.7237,4.4406
I00742,R1H,BARTS HEALTH NHS TRUST,157921,87197,33457,15518,8617,5638,7494,55.2156,21.1859,9.8264,5.4565,3.5701,4.7454
I00742,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,64972,11942,17603,13080,9909,11949,489,18.3802,27.0932,20.1317,15.2512,18.391,0.7526
I00742,RC1,BEDFORD HOSPITAL NHS TRUST,36364,3414,6740,6096,8598,11182,334,9.3884,18.5348,16.7638,23.6443,30.7502,0.9185
I00742,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,56558,18878,11184,10378,8957,6546,615,33.3781,19.7744,18.3493,15.8368,11.574,1.0874
I00742,RMC,BOLTON NHS FOUNDATION TRUST,62034,28938,12845,7524,6933,4582,1212,46.6486,20.7064,12.1288,11.1761,7.3863,1.9538
I00742,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,81871,45411,15835,10983,4889,2880,1873,55.4665,19.3414,13.415,5.9716,3.5177,2.2877
I00742,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,71196,9731,15144,15663,13217,15358,2083,13.6679,21.2709,21.9998,18.5642,21.5714,2.9257
I00742,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,57015,350,9967,9310,9542,27324,522,0.6139,17.4814,16.329,16.7359,47.9242,0.9155
I00742,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,43798,6641,8446,10421,10826,7234,230,15.1628,19.284,23.7933,24.718,16.5167,0.5251
I00742,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,68702,19393,17931,10530,12781,7461,606,28.2277,26.0997,15.3271,18.6035,10.8599,0.8821
I00742,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,75065,2082,9194,12371,21371,27018,3029,2.7736,12.2481,16.4804,28.47,35.9928,4.0352
I00742,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,91076,10507,27469,20689,14948,6335,11128,11.5365,30.1605,22.7162,16.4127,6.9557,12.2184
I00742,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,50477,11215,14593,8870,9579,5976,244,22.218,28.9102,17.5724,18.977,11.8391,0.4834
I00742,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,56572,24649,15761,7344,6132,2198,488,43.571,27.8601,12.9817,10.8393,3.8853,0.8626
I00742,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,54957,6007,13277,13409,13489,7639,1136,10.9304,24.1589,24.3991,24.5446,13.9,2.0671
I00742,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,47065,9425,4845,5004,7142,10928,9721,20.0255,10.2943,10.6321,15.1748,23.219,20.6544
I00742,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,82047,25291,24124,13135,9589,9212,696,30.825,29.4027,16.0091,11.6872,11.2277,0.8483
I00742,RJ6,CROYDON HEALTH SERVICES NHS TRUST,43620,8819,15064,10221,5076,2555,1885,20.2178,34.5346,23.4319,11.6369,5.8574,4.3214
I00742,RN7,DARTFORD AND GRAVESHAM NHS TRUST,54869,7000,13812,11115,12645,9800,497,12.7577,25.1727,20.2573,23.0458,17.8607,0.9058
I00742,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,87254,17748,16122,18665,15057,16697,2965,20.3406,18.4771,21.3916,17.2565,19.1361,3.3981
I00742,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,73724,29024,17321,13707,11123,2011,538,39.3685,23.4944,18.5923,15.0874,2.7277,0.7297
I00742,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,30686,3527,5450,11256,7838,2226,389,11.4938,17.7605,36.6812,25.5426,7.2541,1.2677
I00742,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,66411,1578,8248,16288,14225,21536,4536,2.3761,12.4196,24.5261,21.4196,32.4284,6.8302
I00742,RJN,EAST CHESHIRE NHS TRUST,19836,1374,2868,4010,3816,7564,204,6.9268,14.4586,20.2158,19.2377,38.1327,1.0284
I00742,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,106295,20032,23619,27983,26258,7529,874,18.8457,22.2202,26.3258,24.7029,7.0831,0.8222
I00742,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,79463,36779,17247,8497,11615,4683,642,46.2844,21.7044,10.693,14.6169,5.8933,0.8079
I00742,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,55639,12268,15676,13031,10158,3944,562,22.0493,28.1745,23.4206,18.257,7.0886,1.0101
I00742,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,63956,2282,11773,12277,14402,21864,1358,3.5681,18.408,19.196,22.5186,34.186,2.1233
I00742,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,124758,5004,18678,24665,23353,51349,1709,4.011,14.9714,19.7703,18.7186,41.1589,1.3699
I00742,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,33383,13352,9563,3384,5009,1806,269,39.9964,28.6463,10.1369,15.0046,5.4099,0.8058
I00742,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,21780,3919,6149,4710,3997,2826,179,17.9936,28.2323,21.6253,18.3517,12.9752,0.8219
I00742,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,89556,9158,11047,22421,21602,24553,775,10.226,12.3353,25.0357,24.1212,27.4164,0.8654
I00742,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,59418,6362,5998,9535,15618,20833,1072,10.7072,10.0946,16.0473,26.285,35.0618,1.8042
I00742,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,89997,25320,32269,12136,8196,6548,5528,28.1343,35.8556,13.4849,9.107,7.2758,6.1424
I00742,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,61686,417,8107,11245,12504,28764,649,0.676,13.1424,18.2294,20.2704,46.6297,1.0521
I00742,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,26941,728,1556,5826,8531,10072,228,2.7022,5.7756,21.625,31.6655,37.3854,0.8463
I00742,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,185424,77313,25177,24189,24063,23726,10956,41.6952,13.5781,13.0452,12.9773,12.7955,5.9086
I00742,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,43889,31711,8568,1192,707,325,1386,72.2527,19.522,2.7159,1.6109,0.7405,3.158
I00742,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,85531,30163,12898,14492,14495,13026,457,35.2656,15.0799,16.9436,16.9471,15.2296,0.5343
I00742,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,108506,30088,34232,20907,12355,5742,5182,27.7293,31.5485,19.2681,11.3865,5.2919,4.7758
I00742,RGQ,IPSWICH HOSPITAL NHS TRUST,51980,6583,6758,9103,14427,11089,4020,12.6645,13.0012,17.5125,27.7549,21.3332,7.7337
I00742,R1F,ISLE OF WIGHT NHS TRUST,17335,1236,5874,6606,2661,678,280,7.1301,33.8852,38.1079,15.3504,3.9112,1.6152
I00742,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,31136,7636,7277,8703,5899,1374,247,24.5247,23.3717,27.9516,18.9459,4.4129,0.7933
I00742,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,51344,9373,12349,9375,8992,10615,640,18.2553,24.0515,18.2592,17.5132,20.6743,1.2465
I00742,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,111258,23738,27226,14171,15755,15727,14641,21.336,24.471,12.7371,14.1608,14.1356,13.1595
I00742,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,56235,1622,5765,9305,17544,19889,2110,2.8843,10.2516,16.5466,31.1977,35.3677,3.7521
I00742,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,74819,18905,13324,13466,15249,12547,1328,25.2676,17.8083,17.9981,20.3812,16.7698,1.775
I00742,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,127423,46643,24477,18660,21542,14610,1491,36.6049,19.2092,14.6441,16.9059,11.4657,1.1701
I00742,RJ2,LEWISHAM AND GREENWICH NHS TRUST,92322,33038,31791,13161,7442,4497,2393,35.7856,34.4349,14.2555,8.0609,4.871,2.592
I00742,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,90837,13512,30799,27134,11534,6209,1649,14.875,33.9058,29.8711,12.6975,6.8353,1.8153
I00742,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,77370,15071,19673,15115,12397,13504,1610,19.4791,25.4272,19.536,16.023,17.4538,2.0809
I00742,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,68644,2926,6713,14437,20767,22706,1095,4.2626,9.7794,21.0317,30.2532,33.0779,1.5952
I00742,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,172679,73966,31286,23072,20131,18800,5424,42.8344,18.118,13.3612,11.658,10.8873,3.1411
I00742,RPA,MEDWAY NHS FOUNDATION TRUST,56887,10346,16182,9638,8390,7254,5077,18.1869,28.4459,16.9424,14.7485,12.7516,8.9247
I00742,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,49138,7824,9096,7891,8010,12965,3352,15.9225,18.5111,16.0589,16.301,26.3849,6.8216
I00742,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,57674,2216,7698,11969,17298,17440,1053,3.8423,13.3474,20.7529,29.9927,30.2389,1.8258
I00742,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,98427,30807,25595,15481,13707,5015,7822,31.2993,26.004,15.7284,13.9261,5.0951,7.947
I00742,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,44137,5423,5410,5194,9418,14036,4656,12.2867,12.2573,11.7679,21.3381,31.801,10.549
I00742,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,87814,7668,14251,23123,22684,13784,6304,8.7321,16.2286,26.3318,25.8319,15.6968,7.1788
I00742,RVJ,NORTH BRISTOL NHS TRUST,82653,10056,17180,15693,15563,23064,1097,12.1665,20.7857,18.9866,18.8293,27.9046,1.3272
I00742,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,46936,9684,11444,11497,8403,4303,1605,20.6324,24.3821,24.4951,17.9031,9.1678,3.4196
I00742,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,46280,22606,13119,4675,2737,1224,1919,48.8462,28.347,10.1016,5.914,2.6448,4.1465
I00742,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,58381,25127,11466,8408,5516,7483,381,43.0397,19.64,14.4019,9.4483,12.8175,0.6526
I00742,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,77356,9899,10631,16323,17103,17662,5738,12.7967,13.743,21.1011,22.1095,22.8321,7.4177
I00742,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,70643,12174,13606,12101,12560,18836,1366,17.2331,19.2602,17.1298,17.7795,26.6636,1.9337
