INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01965,ENG,ENGLAND,4.097,19
I01965,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,3.7537,18
I01965,RCF,AIREDALE NHS FOUNDATION TRUST,4.1069,13
I01965,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,3.461,11
I01965,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",4.4903,13
I01965,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,3.231,19
I01965,R1H,BARTS HEALTH NHS TRUST,4.803,19
I01965,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5.0462,19
I01965,RC1,BEDFORD HOSPITAL NHS TRUST,3.6775,19
I01965,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,5.4561,13
I01965,RMC,BOLTON NHS FOUNDATION TRUST,4.7625,19
I01965,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,3.3352,19
I01965,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,4.0908,19
I01965,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,3.7811,19
I01965,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,3.4973,13
I01965,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,4.7587,19
I01965,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3.191,19
I01965,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,3.6603,19
I01965,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,3.9336,19
I01965,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,3.2989,19
I01965,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,5.4683,19
I01965,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,2.9111,12
I01965,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3.018,13
I01965,RJ6,CROYDON HEALTH SERVICES NHS TRUST,3.6664,15
I01965,RN7,DARTFORD AND GRAVESHAM NHS TRUST,2.1441,15
I01965,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,3.8143,19
I01965,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,4.1546,19
I01965,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,3.6959,13
I01965,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,3.0918,19
I01965,RJN,EAST CHESHIRE NHS TRUST,4.1628,12
I01965,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3.2566,19
I01965,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,4.7198,13
I01965,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,4.2354,19
I01965,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,5.226,19
I01965,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,2.8078,19
I01965,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,4.1386,13
I01965,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,3.8741,11
I01965,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2.869,19
I01965,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,3.1553,13
I01965,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,4.553,19
I01965,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,3.7189,19
I01965,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,3.2356,12
I01965,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,1.9726,19
