INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,ENG,"ENGLAND",7027,1195504,1
I00731,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",55,6675,1
I00731,RCF,"AIREDALE NHS FOUNDATION TRUST",15,2825,1
I00731,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",30,6375,0
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",55,7120,1
I00731,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",15,3260,0
I00731,R1H,"BARTS HEALTH NHS TRUST",115,22980,1
I00731,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",45,6225,1
I00731,RC1,"BEDFORD HOSPITAL NHS TRUST",20,2950,1
I00731,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",50,6720,1
I00731,RMC,"BOLTON NHS FOUNDATION TRUST",40,4555,1
I00731,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",35,5625,1
I00731,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",65,10795,1
I00731,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",20,5580,0
I00731,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",10,5550,0
I00731,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",60,15715,0
I00731,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",40,8025,0
I00731,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",20,4215,0
I00731,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",60,4350,1
I00731,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",35,6570,1
