INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,ENG,"ENGLAND",293180,5293,99883,100454,2,34,34
I00721,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",2155,75,1100,1100,3,51,51
I00721,RCF,"AIREDALE NHS FOUNDATION TRUST",980,*,260,260,*,27,27
I00721,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1710,10,745,750,1,44,44
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",3035,0,1145,1145,0,38,38
I00721,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1625,0,385,385,0,24,24
I00721,R1H,"BARTS HEALTH NHS TRUST",3785,370,1435,1485,10,38,39
I00721,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2185,340,500,635,16,23,29
I00721,RC1,"BEDFORD HOSPITAL NHS TRUST",1275,0,330,330,0,26,26
I00721,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2435,*,660,660,*,27,27
I00721,RMC,"BOLTON NHS FOUNDATION TRUST",1830,0,500,500,0,27,27
I00721,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1940,0,480,480,0,25,25
I00721,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",2320,*,775,775,*,33,33
I00721,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1620,205,795,825,13,49,51
I00721,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2460,0,1015,1015,0,41,41
I00721,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2215,0,865,865,0,39,39
I00721,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1610,10,855,855,1,53,53
I00721,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1870,0,500,500,0,27,27
I00721,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1530,0,520,520,0,34,34
I00721,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",3090,0,1280,1280,0,41,41
I00721,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1330,0,600,600,0,45,45
I00721,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1570,0,820,820,0,52,52
I00721,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2700,0,1325,1325,0,49,49
I00721,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1130,0,365,365,0,32,32
I00721,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",2335,125,925,925,5,40,40
I00721,RJN,"EAST CHESHIRE NHS TRUST",930,0,190,190,0,20,20
I00721,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",4185,0,925,925,0,22,22
I00721,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2770,0,885,885,0,32,32
I00721,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",4585,0,1350,1350,0,29,29
I00721,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2600,0,830,830,0,32,32
I00721,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",2015,0,800,800,0,40,40
I00721,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3585,0,1660,1660,0,46,46
I00721,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1485,175,425,430,12,29,29
I00721,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",1095,0,240,240,0,22,22
I00721,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",3005,0,955,955,0,32,32
I00721,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1745,55,585,585,3,34,34
I00721,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1435,*,785,785,*,55,55
I00721,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2075,165,820,855,8,40,41
I00721,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",945,0,260,260,0,28,28
I00721,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",540,0,250,250,0,46,46
I00721,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",3445,110,945,985,3,27,29
I00721,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",2195,*,1265,1265,*,58,58
I00721,R1F,"ISLE OF WIGHT NHS TRUST",855,0,305,305,0,36,36
I00721,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1695,0,415,415,0,24,24
I00721,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1765,0,475,475,0,27,27
I00721,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",3240,0,1685,1685,0,52,52
I00721,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",1155,0,515,515,0,45,45
I00721,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2340,0,1110,1110,0,47,47
I00721,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",4225,0,1400,1400,0,33,33
I00721,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",2425,0,520,520,0,21,21
I00721,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",2595,0,900,900,0,35,35
I00721,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1770,0,685,685,0,39,39
I00721,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2430,0,800,800,0,33,33
I00721,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",3355,*,1340,1340,*,40,40
I00721,RPA,"MEDWAY NHS FOUNDATION TRUST",1975,0,480,480,0,24,24
I00721,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1525,0,375,375,0,25,25
I00721,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",2110,0,535,535,0,25,25
I00721,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",2950,*,915,915,*,31,31
I00721,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1310,0,600,600,0,46,46
I00721,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3460,*,1560,1560,*,45,45
I00721,RVJ,"NORTH BRISTOL NHS TRUST",2380,0,685,685,0,29,29
I00721,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",1815,0,640,640,0,35,35
I00721,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1345,0,320,320,0,24,24
I00721,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",2095,*,770,770,*,37,37
I00721,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",2885,0,1030,1030,0,36,36
I00721,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",1970,0,815,815,0,41,41
I00721,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",1005,0,290,290,0,29,29
I00721,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",2480,0,485,485,0,20,20
I00721,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",3140,635,1260,1310,20,40,42
I00721,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",4500,325,1490,1495,7,33,33
I00721,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3145,280,1465,1465,9,47,47
I00721,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",3805,20,925,925,1,24,24
I00721,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",1625,250,455,480,15,28,30
I00721,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",3025,0,900,900,0,30,30
I00721,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",2025,0,1040,1040,0,51,51
