INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I02038,ENG,"ENGLAND",85132,9180619,0.9
I02038,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",*,61275,*
I02038,RCF,"AIREDALE NHS FOUNDATION TRUST",0,32965,0.0
I02038,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",95,41625,0.2
I02038,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1515,86530,1.8
I02038,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",0,44815,0.0
I02038,R1H,"BARTS HEALTH NHS TRUST",285,174005,0.2
I02038,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",220,77545,0.3
I02038,RC1,"BEDFORD HOSPITAL NHS TRUST",0,36485,0.0
I02038,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1050,54095,1.9
I02038,RMC,"BOLTON NHS FOUNDATION TRUST",0,60055,0.0
I02038,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",435,97405,0.4
I02038,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",895,69145,1.3
I02038,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",865,61555,1.4
I02038,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",525,70605,0.7
I02038,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",360,74825,0.5
I02038,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0,93355,0.0
I02038,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",0,51115,0.0
I02038,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",485,47665,1.0
I02038,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",1750,81840,2.1
I02038,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",*,38325,*
I02038,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",15,57790,0.0
I02038,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",1645,73515,2.2
I02038,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",0,29365,0.0
I02038,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",0,66980,0.0
I02038,RJN,"EAST CHESHIRE NHS TRUST",0,19420,0.0
