INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,REM,"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",0.9940,2,61275,2155,2170.0000,0.9349,1.0682,0.8926,1.1203
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",0.9028,2,32965,980,1085.0000,0.9088,1.0974,0.8859,1.1287
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",0.9971,2,41625,1710,1715.0000,0.9271,1.0769,0.8908,1.1226
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0.9537,2,86530,3035,3185.0000,0.9461,1.0560,0.8949,1.1175
I00699,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1.0086,2,44815,1625,1610.0000,0.9248,1.0794,0.8903,1.1233
I00699,R1H,"BARTS HEALTH NHS TRUST",0.8861,3,174005,3785,4275.0000,0.9534,1.0482,0.8961,1.1159
I00699,RDD,"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.9966,2,77545,2185,2190.0000,0.9353,1.0678,0.8927,1.1202
I00699,RC1,"BEDFORD HOSPITAL NHS TRUST",1.0866,2,36485,1275,1175.0000,0.9123,1.0935,0.8869,1.1275
I00699,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",1.1626,1,54095,2435,2095.0000,0.9339,1.0694,0.8924,1.1206
I00699,RMC,"BOLTON NHS FOUNDATION TRUST",1.1917,1,60055,1830,1535.0000,0.9230,1.0813,0.8898,1.1238
I00699,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9129,2,97405,1940,2125.0000,0.9343,1.0688,0.8925,1.1204
I00699,RXH,"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST",0.9910,2,69145,2320,2340.0000,0.9373,1.0655,0.8932,1.1196
I00699,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",0.9921,2,61555,1620,1630.0000,0.9252,1.0789,0.8904,1.1231
I00699,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",1.0148,2,70605,2460,2425.0000,0.9384,1.0644,0.8934,1.1193
I00699,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.8683,3,74825,2215,2555.0000,0.9400,1.0627,0.8937,1.1189
I00699,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",0.7748,3,93355,1610,2080.0000,0.9336,1.0696,0.8923,1.1206
I00699,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1.0035,2,51115,1870,1865.0000,0.9299,1.0737,0.8915,1.1217
I00699,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1.0720,2,47665,1530,1425.0000,0.9202,1.0845,0.8891,1.1247
I00699,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",1.0993,2,81840,3090,2810.0000,0.9427,1.0597,0.8942,1.1183
I00699,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",0.9584,2,38325,1330,1390.0000,0.9191,1.0858,0.8888,1.1251
I00699,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1.0725,2,57790,1570,1460.0000,0.9211,1.0835,0.8893,1.1244
I00699,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",1.0308,2,73515,2700,2620.0000,0.9407,1.0619,0.8938,1.1188
I00699,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1.2033,1,29365,1130,935.0000,0.9021,1.1051,0.8839,1.1313
I00699,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",0.9409,2,66980,2335,2485.0000,0.9391,1.0636,0.8935,1.1192
I00699,RJN,"EAST CHESHIRE NHS TRUST",1.1282,2,19420,930,825.0000,0.8959,1.1123,0.8819,1.1339
I00699,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",1.0794,2,107390,4185,3875.0000,0.9511,1.0506,0.8958,1.1164
I00699,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",1.0495,2,81020,2770,2640.0000,0.9409,1.0616,0.8939,1.1187
I00699,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",1.1361,1,107920,4585,4035.0000,0.9521,1.0496,0.8959,1.1162
I00699,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",0.9704,2,61415,2600,2680.0000,0.9414,1.0611,0.8940,1.1186
I00699,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",0.9924,2,62040,2015,2030.0000,0.9329,1.0705,0.8922,1.1209
I00699,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",0.9223,2,130275,3585,3885.0000,0.9512,1.0506,0.8958,1.1164
I00699,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1.0507,2,33210,1485,1415.0000,0.9198,1.0850,0.8890,1.1249
I00699,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",1.1577,1,23105,1095,950.0000,0.9026,1.1045,0.8841,1.1311
I00699,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",1.0453,2,91525,3005,2875.0000,0.9434,1.0590,0.8944,1.1181
I00699,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",0.8650,3,63940,1745,2015.0000,0.9326,1.0707,0.8921,1.1209
I00699,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",0.6993,3,93215,1435,2050.0000,0.9331,1.0702,0.8922,1.1208
I00699,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",1.0280,2,63665,2075,2015.0000,0.9326,1.0707,0.8921,1.1209
I00699,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",0.9525,2,26840,945,990.0000,0.9048,1.1020,0.8847,1.1303
I00699,RQX,"HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",0.7632,3,45315,540,710.0000,0.8878,1.1217,0.8793,1.1373
I00699,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",1.0877,2,84090,3445,3165.0000,0.9460,1.0561,0.8949,1.1175
I00699,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",0.7271,3,107805,2195,3015.0000,0.9447,1.0576,0.8946,1.1178
I00699,R1F,"ISLE OF WIGHT NHS TRUST",0.9939,2,17275,855,860.0000,0.8980,1.1098,0.8826,1.1330
I00699,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1.1060,2,32890,1695,1530.0000,0.9229,1.0815,0.8898,1.1239
I00699,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1.0700,2,52055,1765,1650.0000,0.9256,1.0785,0.8905,1.1230
I00699,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",0.9562,2,111105,3240,3385.0000,0.9477,1.0542,0.8952,1.1171
I00699,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",0.7755,3,58565,1155,1485.0000,0.9218,1.0828,0.8895,1.1242
I00699,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",0.9715,2,78680,2340,2410.0000,0.9382,1.0646,0.8933,1.1194
I00699,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",1.0806,2,125725,4225,3910.0000,0.9513,1.0504,0.8958,1.1163
I00699,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",0.9654,2,90300,2425,2515.0000,0.9395,1.0632,0.8936,1.1191
I00699,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",0.8384,3,103430,2595,3095.0000,0.9454,1.0568,0.8947,1.1176
I00699,RC9,"LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1.0430,2,79755,1770,1700.0000,0.9267,1.0773,0.8907,1.1227
I00699,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",1.0296,2,74575,2430,2360.0000,0.9376,1.0653,0.8932,1.1196
I00699,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",0.9396,2,177230,3355,3575.0000,0.9491,1.0528,0.8954,1.1168
I00699,RPA,"MEDWAY NHS FOUNDATION TRUST",1.0893,2,56445,1975,1815.0000,0.9290,1.0747,0.8913,1.1220
I00699,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1.0406,2,50420,1525,1465.0000,0.9212,1.0834,0.8893,1.1244
I00699,RQ8,"MID ESSEX HOSPITAL SERVICES NHS TRUST",1.1205,2,55805,2110,1880.0000,0.9303,1.0733,0.8916,1.1216
I00699,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",1.0111,2,93910,2950,2920.0000,0.9438,1.0585,0.8944,1.1180
I00699,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",0.9941,2,49275,1310,1320.0000,0.9171,1.0880,0.8883,1.1258
I00699,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1.0609,2,90125,3460,3265.0000,0.9468,1.0553,0.8950,1.1173
I00699,RVJ,"NORTH BRISTOL NHS TRUST",0.9397,2,87715,2380,2530.0000,0.9397,1.0630,0.8936,1.1190
I00699,RNL,"NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST",0.9468,2,47020,1815,1915.0000,0.9309,1.0727,0.8917,1.1214
I00699,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",0.8751,3,48250,1345,1540.0000,0.9231,1.0813,0.8898,1.1238
I00699,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",1.0018,2,60060,2095,2090.0000,0.9338,1.0695,0.8924,1.1206
I00699,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",1.0684,2,80655,2885,2700.0000,0.9416,1.0609,0.8940,1.1185
I00699,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",1.0048,2,71645,1970,1960.0000,0.9316,1.0718,0.8919,1.1212
I00699,RBZ,"NORTHERN DEVON HEALTHCARE NHS TRUST",0.9826,2,31720,1005,1020.0000,0.9061,1.1005,0.8851,1.1298
I00699,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",1.1195,2,58580,2480,2215.0000,0.9356,1.0674,0.8928,1.1201
I00699,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",1.0152,2,73125,3140,3090.0000,0.9453,1.0568,0.8947,1.1176
I00699,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",1.0819,2,136805,4500,4155.0000,0.9528,1.0489,0.8960,1.1160
I00699,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.9182,2,116485,3145,3430.0000,0.9480,1.0539,0.8952,1.1170
I00699,RW6,"PENNINE ACUTE HOSPITALS NHS TRUST",0.9839,2,128665,3805,3865.0000,0.9510,1.0507,0.8957,1.1164
I00699,RD3,"POOLE HOSPITAL NHS FOUNDATION TRUST",0.9112,2,51580,1625,1785.0000,0.9284,1.0754,0.8911,1.1221
I00699,RHU,"PORTSMOUTH HOSPITALS NHS TRUST",1.0079,2,82095,3025,3005.0000,0.9446,1.0577,0.8946,1.1178
I00699,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",1.0700,2,67845,2025,1895.0000,0.9305,1.0731,0.8916,1.1215
I00699,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",0.9722,2,72115,2445,2515.0000,0.9395,1.0631,0.8936,1.1191
I00699,RH8,"ROYAL DEVON AND EXETER NHS FOUNDATION TRUST",1.0421,2,62410,2215,2125.0000,0.9343,1.0688,0.8925,1.1204
I00699,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",0.8379,3,103345,2820,3365.0000,0.9476,1.0544,0.8952,1.1171
I00699,RQ6,"ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST",1.0559,2,50080,2025,1915.0000,0.9309,1.0726,0.8917,1.1214
I00699,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",0.7860,3,48455,1180,1500.0000,0.9221,1.0824,0.8896,1.1241
I00699,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",1.0119,2,60145,1950,1930.0000,0.9311,1.0724,0.8918,1.1214
I00699,RM3,"SALFORD ROYAL NHS FOUNDATION TRUST",0.9504,2,49520,1805,1895.0000,0.9305,1.0730,0.8917,1.1215
I00699,RNZ,"SALISBURY NHS FOUNDATION TRUST",1.0026,2,37120,1025,1025.0000,0.9062,1.1004,0.8852,1.1297
I00699,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",1.0739,2,70030,2100,1955.0000,0.9316,1.0719,0.8919,1.1212
