INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,ENG,ENGLAND,6946,1220372,1
I00731,RCF,AIREDALE NHS FOUNDATION TRUST,*,2415,*
I00731,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,30,7090,0
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",50,8045,1
I00731,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,20,3715,1
I00731,R1H,BARTS HEALTH NHS TRUST,125,21650,1
I00731,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,45,6465,1
I00731,RC1,BEDFORD HOSPITAL NHS TRUST,15,2880,1
I00731,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,40,6265,1
I00731,RMC,BOLTON NHS FOUNDATION TRUST,35,4345,1
I00731,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,20,6975,0
I00731,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,60,10260,1
I00731,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,35,5590,1
I00731,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15,5640,0
I00731,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,60,14990,0
I00731,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,40,7890,1
I00731,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,20,3980,1
I00731,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,40,4410,1
I00731,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,20,5860,0
I00731,RJ6,CROYDON HEALTH SERVICES NHS TRUST,10,3030,0
I00731,RN7,DARTFORD AND GRAVESHAM NHS TRUST,40,10475,0
I00731,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,40,9525,0
I00731,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,25,3270,1
I00731,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,35,7180,0
I00731,RJN,EAST CHESHIRE NHS TRUST,*,1470,*
I00731,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,110,13620,1
I00731,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,50,10370,0
I00731,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,55,12435,0
I00731,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,45,5755,1
I00731,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,25,8490,0
I00731,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,70,15825,0
I00731,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,65,4005,2
I00731,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,*,2075,*
I00731,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,75,15755,0
I00731,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,45,7275,1
I00731,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,180,28605,1
I00731,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,20,7085,0
I00731,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,20,3485,1
I00731,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,25,3200,1
I00731,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,145,15780,1
I00731,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,100,18890,1
I00731,R1F,ISLE OF WIGHT NHS TRUST,*,1890,*
I00731,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,35,3735,1
I00731,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,25,4430,1
I00731,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,105,24030,0
I00731,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,10,3930,0
I00731,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,70,11205,1
I00731,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,135,23970,1
I00731,RJ2,LEWISHAM AND GREENWICH NHS TRUST,10,4510,0
I00731,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,110,13930,1
I00731,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,40,9565,0
I00731,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,25,6995,0
I00731,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,40,7090,1
I00731,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,185,30650,1
I00731,RPA,MEDWAY NHS FOUNDATION TRUST,20,5185,0
I00731,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,10,3135,0
I00731,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,25,6250,0
I00731,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,25,7325,0
I00731,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,20,3590,1
I00731,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,85,12900,1
I00731,RVJ,NORTH BRISTOL NHS TRUST,40,11130,0
I00731,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,50,4440,1
I00731,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,15,1790,1
I00731,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,30,5385,1
I00731,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,45,9665,0
I00731,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,35,8450,0
I00731,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,25,4345,1
I00731,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,45,6870,1
I00731,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,25,6585,0
I00731,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,170,20175,1
I00731,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,105,19760,1
I00731,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,60,10410,1
I00731,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,35,3450,1
I00731,RHU,PORTSMOUTH HOSPITALS NHS TRUST,45,10695,0
I00731,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,20,6660,0
I00731,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,60,9325,1
I00731,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,160,12020,1
I00731,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,90,13335,1
I00731,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,45,7220,1
I00731,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,15,5060,0
I00731,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,70,8280,1
I00731,RNZ,SALISBURY NHS FOUNDATION TRUST,20,5275,0
I00731,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,45,6845,1
I00731,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,180,23795,1
I00731,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,25,5355,0
I00731,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,40,5570,1
I00731,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,140,16935,1
I00731,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,175,12390,1
I00731,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,30,3855,1
I00731,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,65,6715,1
I00731,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,10,2225,0
I00731,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,85,15030,1
I00731,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,25,6555,0
I00731,RWJ,STOCKPORT NHS FOUNDATION TRUST,10,6300,0
I00731,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,15,4910,0
I00731,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,10,2380,0
I00731,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,30,7935,0
I00731,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,35,5750,1
I00731,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,15,3150,0
I00731,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,165,26400,1
I00731,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,10,3890,0
I00731,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",25,5240,0
I00731,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,50,5345,1
I00731,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,45,9740,0
I00731,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,45,7240,1
I00731,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,65,3800,2
I00731,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,55,8540,1
I00731,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,220,66710,0
I00731,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,105,19265,1
I00731,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,205,55745,0
I00731,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,175,13795,1
I00731,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,85,13020,1
I00731,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,75,16285,0
