INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01966,ENG,ENGLAND,5.119,20
I01966,RCF,AIREDALE NHS FOUNDATION TRUST,4.1563,13
I01966,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,5.2694,11
I01966,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",5.6229,13
I01966,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,5.2218,19
I01966,R1H,BARTS HEALTH NHS TRUST,5.543,19
I01966,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4.2941,19
I01966,RC1,BEDFORD HOSPITAL NHS TRUST,5.6525,19
I01966,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,5.9274,13
I01966,RMC,BOLTON NHS FOUNDATION TRUST,4.3975,19
I01966,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,4.2199,19
I01966,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,5.0322,19
I01966,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,3.7743,19
I01966,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,5.1123,19
I01966,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5.6597,19
I01966,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,4.9873,19
I01966,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,5.7179,19
I01966,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,3.2572,19
I01966,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,4.392,13
I01966,RJ6,CROYDON HEALTH SERVICES NHS TRUST,5.1353,19
I01966,RN7,DARTFORD AND GRAVESHAM NHS TRUST,3.7367,19
I01966,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,5.2213,19
I01966,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,3.7413,19
I01966,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,4.5743,19
I01966,RJN,EAST CHESHIRE NHS TRUST,5.2862,12
I01966,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,4.4407,19
I01966,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,5.065,13
I01966,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,5.7307,19
I01966,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,6.0848,19
I01966,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,5.2266,19
I01966,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,4.1246,19
I01966,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,6.0186,13
I01966,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,5.3489,19
I01966,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,4.8483,19
I01966,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,3.6371,13
I01966,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,6.197,19
I01966,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,4.6104,19
I01966,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4.1687,12
I01966,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,5.0189,19
I01966,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,5.749,19
I01966,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,6.7376,19
I01966,R1F,ISLE OF WIGHT NHS TRUST,5.9317,13
I01966,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5.5248,19
I01966,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,6.228,19
I01966,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,6.051,19
I01966,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,4.3595,19
I01966,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,5.4084,19
I01966,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,4.9723,19
I01966,RJ2,LEWISHAM AND GREENWICH NHS TRUST,4.3802,19
I01966,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4.8635,19
I01966,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,4.9359,19
I01966,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,4.5736,19
I01966,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,5.069,19
I01966,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,5.1785,19
I01966,RPA,MEDWAY NHS FOUNDATION TRUST,4.9673,19
I01966,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,4.907,12
I01966,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,5.021,19
I01966,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,4.5868,19
I01966,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,4.541,19
I01966,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4.7438,19
I01966,RVJ,NORTH BRISTOL NHS TRUST,5.3004,19
I01966,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,4.8419,13
I01966,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,4.2409,19
I01966,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,6.4289,19
I01966,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,4.247,13
I01966,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,4.6749,19
I01966,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,4.8182,19
I01966,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,5.23,19
I01966,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,4.7147,19
I01966,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,6.4307,19
I01966,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5.7031,19
I01966,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,5.5115,13
I01966,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,5.196,19
I01966,RHU,PORTSMOUTH HOSPITALS NHS TRUST,5.6637,19
I01966,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,3.8193,19
I01966,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,5.073,12
I01966,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,4.1292,13
I01966,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,5.4026,19
I01966,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,6.0593,19
I01966,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,4.7069,13
I01966,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,6.6351,13
I01966,RNZ,SALISBURY NHS FOUNDATION TRUST,4.222,19
I01966,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,5.1662,19
I01966,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,5.4273,19
I01966,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,5.5643,19
I01966,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,5.5086,19
I01966,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,4.6115,13
I01966,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,5.5663,19
I01966,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,5.235,19
I01966,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,5.4249,19
I01966,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,4.8843,19
I01966,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5.7132,19
I01966,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,4.8807,20
I01966,RWJ,STOCKPORT NHS FOUNDATION TRUST,4.3912,13
I01966,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,6.4498,19
I01966,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,5.7844,19
I01966,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,5.327,19
I01966,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,5.3114,19
I01966,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,3.8689,19
I01966,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,4.799,19
I01966,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,4.3908,19
I01966,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",4.1666,13
I01966,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,6.0206,19
I01966,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,4.3651,13
I01966,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,6.0481,19
I01966,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,4.1504,12
I01966,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,5.1594,19
I01966,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,6.1343,19
I01966,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,7.2739,19
I01966,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,4.4853,19
I01966,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,4.7748,13
I01966,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,3.9999,19
