INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01964,ENG,ENGLAND,1236324,9436012,13.1
I01964,RCF,AIREDALE NHS FOUNDATION TRUST,4615,33765,13.7
I01964,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,5045,45360,11.1
I01964,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",11030,84730,13
I01964,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6010,49130,12.2
I01964,R1H,BARTS HEALTH NHS TRUST,28485,176855,16.1
I01964,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13400,78560,17.1
I01964,RC1,BEDFORD HOSPITAL NHS TRUST,5635,36950,15.3
I01964,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,6735,56120,12
I01964,RMC,BOLTON NHS FOUNDATION TRUST,5600,61190,9.2
I01964,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,16225,96415,16.8
I01964,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,8645,70050,12.3
I01964,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,9325,63935,14.6
I01964,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,7310,71130,10.3
I01964,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9530,75815,12.6
I01964,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,15140,98030,15.4
I01964,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6430,51645,12.5
I01964,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,4590,49070,9.4
I01964,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,10430,80970,12.9
I01964,RJ6,CROYDON HEALTH SERVICES NHS TRUST,3200,35710,9
I01964,RN7,DARTFORD AND GRAVESHAM NHS TRUST,8310,57055,14.6
I01964,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,8120,74005,11
I01964,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,3880,29015,13.4
I01964,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,6355,68715,9.2
I01964,RJN,EAST CHESHIRE NHS TRUST,1455,20070,7.2
I01964,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,13930,110485,12.6
I01964,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,13015,90355,14.4
I01964,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,13010,111440,11.7
I01964,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,10680,64720,16.5
I01964,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,7980,63995,12.5
I01964,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,17680,126640,14
I01964,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,4115,32900,12.5
I01964,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,2425,24065,10.1
I01964,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,7925,94335,8.4
I01964,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,9210,62735,14.7
I01964,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,10280,97350,10.6
I01964,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,9145,69125,13.2
I01964,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,3805,28450,13.4
I01964,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,4625,45625,10.1
I01964,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,4680,85630,5.5
I01964,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,9315,111445,8.4
I01964,R1F,ISLE OF WIGHT NHS TRUST,1930,18270,10.6
I01964,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4620,34000,13.6
I01964,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,5915,51470,11.5
I01964,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,11720,113565,10.3
I01964,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7045,62265,11.3
I01964,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,8395,79350,10.6
I01964,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,11510,120875,9.5
I01964,RJ2,LEWISHAM AND GREENWICH NHS TRUST,10830,92655,11.7
I01964,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20735,117055,17.7
I01964,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,17600,106020,16.6
I01964,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,11695,84305,13.9
I01964,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,14920,78355,19
I01964,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,17840,177400,10.1
