INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01963,ENG,ENGLAND,51999,9436012,0.6
I01963,RCF,AIREDALE NHS FOUNDATION TRUST,*,33765,*
I01963,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,40,45360,0.1
I01963,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",35,84730,0
I01963,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,*,49130,*
I01963,R1H,BARTS HEALTH NHS TRUST,750,176855,0.4
I01963,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,945,78560,1.2
I01963,RC1,BEDFORD HOSPITAL NHS TRUST,0,36950,0
I01963,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,55,56120,0.1
I01963,RMC,BOLTON NHS FOUNDATION TRUST,545,61190,0.9
I01963,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,3390,96415,3.5
I01963,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,30,70050,0
I01963,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,600,63935,0.9
I01963,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15,71130,0
I01963,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,35,75815,0
I01963,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,495,98030,0.5
I01963,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,15,51645,0
I01963,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,55,49070,0.1
I01963,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,0,80970,0
I01963,RJ6,CROYDON HEALTH SERVICES NHS TRUST,95,35710,0.3
I01963,RN7,DARTFORD AND GRAVESHAM NHS TRUST,305,57055,0.5
